ResourceID,mmb_id_mat,card,order,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,tg:mmbdc:2_#1,e22_ProductionActors,1,au::115214:1,"Mayer van den Bergh, Ghislaine",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220359"",""au::115214"",""au::115214:1"",""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""Ghislaine Mayer van den Bergh""],""name"":""Ghislaine Mayer van den Bergh"",""ark"":""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""uri"":""/agents/people/12220359"",""id"":""au::115214:1"",""isCapacity"":false}"
6bd190f4-1853-589f-9ca1-4cd9a512b277,tg:mmbdc:3_#1,e22_ProductionActors,1,au::12085:1,"Mayer van den Bergh, Fritz",subjects (content of works),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
6bd190f4-1853-589f-9ca1-4cd9a512b277,tg:mmbdc:3_#1,e22_ProductionActors,2,au::115209:1,"Mayer van den Bergh, Oscar",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220354"",""au::115209"",""au::115209:1"",""ark:/83110/x0/968e2333-221e-5c1d-a457-519a0a7666aa"",""Oscar Mayer van den Bergh""],""name"":""Oscar Mayer van den Bergh"",""ark"":""ark:/83110/x0/968e2333-221e-5c1d-a457-519a0a7666aa"",""uri"":""/agents/people/12220354"",""id"":""au::115209:1"",""isCapacity"":false}"
f88733b4-7a74-5fa4-9d32-2e17575faa7b,tg:mmbdc:4_#1,e22_ProductionActors,1,au::12085:1,"Mayer van den Bergh, Fritz",subjects (content of works),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
f88733b4-7a74-5fa4-9d32-2e17575faa7b,tg:mmbdc:4_#1,e22_ProductionActors,2,au::115209:1,"Mayer van den Bergh, Oscar",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220354"",""au::115209"",""au::115209:1"",""ark:/83110/x0/968e2333-221e-5c1d-a457-519a0a7666aa"",""Oscar Mayer van den Bergh""],""name"":""Oscar Mayer van den Bergh"",""ark"":""ark:/83110/x0/968e2333-221e-5c1d-a457-519a0a7666aa"",""uri"":""/agents/people/12220354"",""id"":""au::115209:1"",""isCapacity"":false}"
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_ProductionActors,1,au::115214:1,"Mayer van den Bergh, Ghislaine",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220359"",""au::115214"",""au::115214:1"",""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""Ghislaine Mayer van den Bergh""],""name"":""Ghislaine Mayer van den Bergh"",""ark"":""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""uri"":""/agents/people/12220359"",""id"":""au::115214:1"",""isCapacity"":false}"
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_ProductionActors,2,au::115215:1,"Roest d'Alkemade, Robert de",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220360"",""au::115215"",""au::115215:1"",""ark:/83110/x0/9f911181-eea0-5c58-81da-9dd61f170d2b"",""Robert de Roest d'Alkemade""],""name"":""Robert de Roest d'Alkemade"",""ark"":""ark:/83110/x0/9f911181-eea0-5c58-81da-9dd61f170d2b"",""uri"":""/agents/people/12220360"",""id"":""au::115215:1"",""isCapacity"":false}"
52519509-91f6-51ff-b3f7-41a02116d2e7,tg:mmbdc:6_#1,e22_ProductionActors,1,au::12085:1,"Mayer van den Bergh, Fritz",subjects (content of works),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
52519509-91f6-51ff-b3f7-41a02116d2e7,tg:mmbdc:6_#1,e22_ProductionActors,2,au::115208:1,"Mayer, Emil",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220353"",""au::115208"",""au::115208:1"",""ark:/83110/x0/f2635dbf-a727-528c-adee-a89e8088bca4"",""Emil Mayer""],""name"":""Emil Mayer"",""ark"":""ark:/83110/x0/f2635dbf-a727-528c-adee-a89e8088bca4"",""uri"":""/agents/people/12220353"",""id"":""au::115208:1"",""isCapacity"":false}"
66461767-c6e9-5183-8ed0-53031e25ab9c,tg:mmbdc:7_#1,e22_ProductionActors,1,au::115216:1,"Mayer van den Bergh, Henriëtte Rosalie",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220363"",""au::115216"",""au::115216:1"",""ark:/83110/x0/a33eb06f-e33a-5dbe-afed-543e95bf1cb3"",""Henriëtte Rosalie Mayer van den Bergh""],""name"":""Henriëtte Rosalie Mayer van den Bergh"",""ark"":""ark:/83110/x0/a33eb06f-e33a-5dbe-afed-543e95bf1cb3"",""uri"":""/agents/people/12220363"",""id"":""au::115216:1"",""isCapacity"":false}"
43041bc9-a42e-59b2-9bca-dbabb16059b9,tg:mmbdc:8_#1,e22_ProductionActors,1,au::115208:1,"Mayer, Emil",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220353"",""au::115208"",""au::115208:1"",""ark:/83110/x0/f2635dbf-a727-528c-adee-a89e8088bca4"",""Emil Mayer""],""name"":""Emil Mayer"",""ark"":""ark:/83110/x0/f2635dbf-a727-528c-adee-a89e8088bca4"",""uri"":""/agents/people/12220353"",""id"":""au::115208:1"",""isCapacity"":false}"
ec82374f-68ed-587e-89c7-8d657c97fad2,tg:mmbdc:9_#1,e22_ProductionActors,1,au::115207:1,"Mayer van den Bergh, Henriëtte",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}"
