ResourceID,card,order,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,AA,0,Museum Mayer van den Bergh,tg:mmbdc:2_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,Doos A.IX,,files (document groupings),record identifiers,MMB.A.1190,,,
6bd190f4-1853-589f-9ca1-4cd9a512b277,AA,0,Museum Mayer van den Bergh,tg:mmbdc:3_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/6bd190f4-1853-589f-9ca1-4cd9a512b277,Doos A.IX,,files (document groupings),record identifiers,MMB.A.1191,,,
f88733b4-7a74-5fa4-9d32-2e17575faa7b,AA,0,Museum Mayer van den Bergh,tg:mmbdc:4_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/f88733b4-7a74-5fa4-9d32-2e17575faa7b,Doos A.IX,,files (document groupings),record identifiers,MMB.A.1192,,,
03e4637b-85a7-56bb-a14e-79f36c830407,AA,0,Museum Mayer van den Bergh,tg:mmbdc:5_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/03e4637b-85a7-56bb-a14e-79f36c830407,Doos A.IX,,files (document groupings),record identifiers,MMB.A.1193,,,
52519509-91f6-51ff-b3f7-41a02116d2e7,AA,0,Museum Mayer van den Bergh,tg:mmbdc:6_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/52519509-91f6-51ff-b3f7-41a02116d2e7,Doos A.IX,,files (document groupings),record identifiers,MMB.A.1194,,,
66461767-c6e9-5183-8ed0-53031e25ab9c,AA,0,Museum Mayer van den Bergh,tg:mmbdc:7_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/66461767-c6e9-5183-8ed0-53031e25ab9c,Doos A.IX,,obituaries,record identifiers,MMB.A.1195,,,
43041bc9-a42e-59b2-9bca-dbabb16059b9,AA,0,Museum Mayer van den Bergh,tg:mmbdc:8_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/43041bc9-a42e-59b2-9bca-dbabb16059b9,Doos A.IX,,obituaries,record identifiers,MMB.A.1196,,,
ec82374f-68ed-587e-89c7-8d657c97fad2,AA,0,Museum Mayer van den Bergh,tg:mmbdc:9_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/ec82374f-68ed-587e-89c7-8d657c97fad2,Doos A.IX,,obituaries,record identifiers,MMB.A.1197,,,
39634300-2e08-57c7-86c1-c80ade0e45e4,AA,0,Museum Mayer van den Bergh,tg:mmbdc:10_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/39634300-2e08-57c7-86c1-c80ade0e45e4,Doos A.IX,,obituaries,record identifiers,MMB.A.1198,,,
31283184-f32e-5752-acee-dfa5c3c2ffe0,AA,0,Museum Mayer van den Bergh,tg:mmbdc:11_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/31283184-f32e-5752-acee-dfa5c3c2ffe0,Doos A.IX,,obituaries,record identifiers,MMB.A.1199,,,
