ResourceID,mmb_id,card,source_field,source_date,Copyright Type,Copyright Revision Date
1509a781-cb9d-5760-8b8f-607e96b7195c,tg:mmbdc:7,e73_Copyrights,begindatum,1892,No Copyright - Public Domain Mark 1.0,2007
70605196-e141-5fb5-9962-2b1651f3e2a1,tg:mmbdc:8,e73_Copyrights,begindatum,1879,No Copyright - Public Domain Mark 1.0,1994
11be8398-f75a-5694-b7b2-2b0eedf24850,tg:mmbdc:9,e73_Copyrights,begindatum,1920,In Copyright,2035
9e60796d-39b4-5c78-a699-b150df0da6ca,tg:mmbdc:10,e73_Copyrights,begindatum,1901,No Known Copyright,2016
b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,tg:mmbdc:11,e73_Copyrights,begindatum,1913,In Copyright,2028
f4e49ea6-4484-51dd-93f6-ed1e84ddd978,tg:mmbdc:12,e73_Copyrights,begindatum,1879,No Copyright - Public Domain Mark 1.0,1994
e7151ec4-bfbb-5ecd-bdde-c2a6f38860f0,tg:mmbdc:108,e73_Copyrights,begindatum,1911,In Copyright,2026
975f495e-f7bc-5fad-a859-5f17f3ef3684,tg:mmbdc:112,e73_Copyrights,begindatum,1911,In Copyright,2026
bad7771a-af52-5c96-b542-662c29fb79d2,tg:mmbdc:52,e73_Copyrights,begindatum,1919,In Copyright,2034
2a3ffdb3-8266-56f8-bd56-c576231952e9,tg:mmbdc:53,e73_Copyrights,begindatum,1921,In Copyright,2036
dfd8430e-f99e-5696-aeb3-7536e33f6cf9,tg:mmbdc:54,e73_Copyrights,begindatum,1921,In Copyright,2036
b69aae14-ca78-53e2-aaec-fc1c967c1c4f,tg:mmbdc:55,e73_Copyrights,begindatum,1928,In Copyright,2043
ce0f7af4-da6d-5e66-aac0-e109583f47b2,tg:mmbdc:56,e73_Copyrights,begindatum,1907,No Known Copyright,2022
1383d707-43bc-571d-919e-7f0dd9994e4f,tg:mmbdc:82,e73_Copyrights,begindatum,1916,In Copyright,2031
ff62b6a8-4272-5068-98f5-9f0bf54f1803,tg:mmbdc:57,e73_Copyrights,begindatum,1906,No Known Copyright,2021
a5c8f42a-18aa-5603-bfe4-e31872c63d32,tg:mmbdc:59,e73_Copyrights,begindatum,1906,No Known Copyright,2021
a1fd1a6e-f524-5288-9021-ee6b2fc15c48,tg:mmbdc:61,e73_Copyrights,begindatum,1903,No Known Copyright,2018
299de83c-bbc7-527d-9297-04ee3a4e3eab,tg:mmbdc:93,e73_Copyrights,begindatum,1916,In Copyright,2031
e89f431c-7364-5c4a-a845-96c43fbb2673,tg:mmbdc:94,e73_Copyrights,begindatum,1905,No Known Copyright,2020
b383199c-2d93-59eb-8855-fa86ec97811f,tg:mmbdc:95,e73_Copyrights,begindatum,uuuu,Copyright Undetermined,
6355f5eb-9ad7-5f33-baf3-d86a14afcaf8,tg:mmbdc:96,e73_Copyrights,begindatum,uuuu,Copyright Undetermined,
969cb11b-cb9b-5e7f-8942-b598386487cc,tg:mmbdc:97,e73_Copyrights,begindatum,1916,In Copyright,2031
493ac90b-fa10-50e3-b7ec-8daf6fcce287,tg:mmbdc:98,e73_Copyrights,begindatum,1916,In Copyright,2031
8218acd3-4429-5d35-8f51-80631e753e87,tg:mmbdc:99,e73_Copyrights,begindatum,1916,In Copyright,2031
451148b0-73dd-5072-a62c-7894d342d278,tg:mmbdc:100,e73_Copyrights,begindatum,1918,In Copyright,2033
87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,tg:mmbdc:101,e73_Copyrights,begindatum,1917,In Copyright,2032
2f82e820-2bab-52cb-9dbf-5ef24a341dad,tg:mmbdc:102,e73_Copyrights,begindatum,1917,In Copyright,2032
f888f3d5-80db-5b5f-94aa-5a3d43548e52,tg:mmbdc:103,e73_Copyrights,begindatum,1917,In Copyright,2032
c328943a-46b9-5aca-9210-f61f26e379ec,tg:mmbdc:63,e73_Copyrights,begindatum,1906,No Known Copyright,2021
f0a19a94-019f-5ef5-836f-69f802b52d5c,tg:mmbdc:64,e73_Copyrights,begindatum,1901,No Known Copyright,2016
6c7ccc0d-5d67-5e6f-9fa4-b0973651bb16,tg:mmbdc:65,e73_Copyrights,begindatum,1904,No Known Copyright,2019
108756f8-64b4-506a-9f98-ceb3ef00390d,tg:mmbdc:66,e73_Copyrights,begindatum,1905,No Known Copyright,2020
c5a33844-8bfb-5e54-b6aa-d0281135b007,tg:mmbdc:67,e73_Copyrights,begindatum,1904,No Known Copyright,2019
25a4f489-f009-5fe5-9477-591efdb18ae3,tg:mmbdc:68,e73_Copyrights,begindatum,1904,No Known Copyright,2019
05df2589-1585-5594-bc8a-31b756a2b8f6,tg:mmbdc:69,e73_Copyrights,begindatum,1904,No Known Copyright,2019
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,tg:mmbdc:70,e73_Copyrights,begindatum,1904,No Known Copyright,2019
270def31-7396-5780-8a48-ea5ea6d86ed8,tg:mmbdc:71,e73_Copyrights,begindatum,1914,In Copyright,2029
93e90445-472a-5e69-8889-bb123cb5d599,tg:mmbdc:72,e73_Copyrights,begindatum,1904,No Known Copyright,2019
313eef31-e6d3-5dbf-8b35-988507c8e01e,tg:mmbdc:73,e73_Copyrights,begindatum,1905,No Known Copyright,2020
5cede916-f4cb-5135-8087-0f00e34b416b,tg:mmbdc:74,e73_Copyrights,begindatum,1905,No Known Copyright,2020
74a758b8-f555-5531-96c8-e79a63a7b8d3,tg:mmbdc:75,e73_Copyrights,begindatum,1906,No Known Copyright,2021
29da2038-6f05-5285-942a-fb63293810e5,tg:mmbdc:76,e73_Copyrights,begindatum,1907,No Known Copyright,2022
a6219f25-033c-593f-90d8-efb505fc4bb8,tg:mmbdc:77,e73_Copyrights,begindatum,1911,In Copyright,2026
92dc80d1-5388-5313-93c1-582e99f23e9f,tg:mmbdc:78,e73_Copyrights,begindatum,1916,In Copyright,2031
4a36f5c4-24d5-5047-9ee5-3219e07c78b6,tg:mmbdc:79,e73_Copyrights,begindatum,1914,In Copyright,2029
7a3ea516-bf4f-5143-aba7-213a091367fc,tg:mmbdc:80,e73_Copyrights,begindatum,1907,No Known Copyright,2022
22d8d29b-a2be-5a50-b646-5de42555bc3a,tg:mmbdc:81,e73_Copyrights,begindatum,1916,In Copyright,2031
342b234e-b819-5020-afef-c997a40c8b3d,tg:mmbdc:83,e73_Copyrights,begindatum,1918,In Copyright,2033
