ResourceID,card,order,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Title Language,Record Type,Description Type,Description Language,Description
e76e0866-39a5-5fff-969d-855d05005a4d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e76e0866-39a5-5fff-969d-855d05005a4d,object identifier,tg:mmbdc:2,record identifiers,MMB.A.1190,constructed titles,Notitie: Geboortedatum Ghislaine Mayer van den Bergh,Dutch (language),Documenten,,,
b69cc2df-8442-51a0-a796-7206b92e2201,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b69cc2df-8442-51a0-a796-7206b92e2201,object identifier,tg:mmbdc:3,record identifiers,MMB.A.1191,constructed titles,Notitie: Verheffing in de adelstand Fritz en Oscar Mayer van den Bergh,Dutch (language),Documenten,,,
4028c865-2608-5574-a8ff-779529f18cbe,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4028c865-2608-5574-a8ff-779529f18cbe,object identifier,tg:mmbdc:4,record identifiers,MMB.A.1192,constructed titles,Notitie: Wapenschild Mayer van den Bergh,Dutch (language),Documenten,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,object identifier,tg:mmbdc:5,record identifiers,MMB.A.1193,constructed titles,Uitnodiging: Huwelijk Ghislaine Mayer van den Bergh met Robert de Roest d'Alkemade,Dutch (language),Documenten,,,
484623ef-fa84-59f8-aaf9-6dadbecc8f89,AA,0,https://data.museummayervandenbergh.be/ark:/59511/484623ef-fa84-59f8-aaf9-6dadbecc8f89,object identifier,tg:mmbdc:6,record identifiers,MMB.A.1194,constructed titles,Notitie: Genealogie Mayer,Dutch (language),Documenten,,,
1509a781-cb9d-5760-8b8f-607e96b7195c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1509a781-cb9d-5760-8b8f-607e96b7195c,object identifier,tg:mmbdc:7,record identifiers,MMB.A.1195,constructed titles,Doodsbrief Henriëtte Rosalie Mayer van den Bergh,Dutch (language),Documenten,,,
70605196-e141-5fb5-9962-2b1651f3e2a1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/70605196-e141-5fb5-9962-2b1651f3e2a1,object identifier,tg:mmbdc:8,record identifiers,MMB.A.1196,constructed titles,Doodsbrief Emil Mayer,Dutch (language),Documenten,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,AA,0,https://data.museummayervandenbergh.be/ark:/59511/11be8398-f75a-5694-b7b2-2b0eedf24850,object identifier,tg:mmbdc:9,record identifiers,MMB.A.1197,constructed titles,Doodsbrief Henriëtte Mayer van den Bergh,Dutch (language),Documenten,,,
9e60796d-39b4-5c78-a699-b150df0da6ca,AA,0,https://data.museummayervandenbergh.be/ark:/59511/9e60796d-39b4-5c78-a699-b150df0da6ca,object identifier,tg:mmbdc:10,record identifiers,MMB.A.1198,constructed titles,Doodsbrief Fritz Mayer van den Bergh,Dutch (language),Documenten,,,
b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,object identifier,tg:mmbdc:11,record identifiers,MMB.A.1199,constructed titles,Doodsbrief Oscar Mayer van den Bergh,Dutch (language),Documenten,,,
