ResourceID,mmb_id_mat,card,order,Start Date,End Date
66461767-c6e9-5183-8ed0-53031e25ab9c,tg:mmbdc:7_#1,e22_ProductionTimeSpans,1,1892-02-16,
43041bc9-a42e-59b2-9bca-dbabb16059b9,tg:mmbdc:8_#1,e22_ProductionTimeSpans,1,1879-11-16,
ec82374f-68ed-587e-89c7-8d657c97fad2,tg:mmbdc:9_#1,e22_ProductionTimeSpans,1,1920-03-29,
39634300-2e08-57c7-86c1-c80ade0e45e4,tg:mmbdc:10_#1,e22_ProductionTimeSpans,1,1901-05-04,
31283184-f32e-5752-acee-dfa5c3c2ffe0,tg:mmbdc:11_#1,e22_ProductionTimeSpans,1,1913-08-08,
82ddac49-d293-5ad1-b8b2-f47291aeeea2,tg:mmbdc:12_#1,e22_ProductionTimeSpans,1,1879-09-17,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_ProductionTimeSpans,1,1911-03-27,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_ProductionTimeSpans,1,1911-03-31,
cacfe543-304c-5905-9679-60c5fdf3537f,tg:mmbdc:52_#1,e22_ProductionTimeSpans,1,1919-10-10,1920-11-25
64f0f355-c885-5e6d-bbff-7a33eafcf2b0,tg:mmbdc:53_#1,e22_ProductionTimeSpans,1,1921-04-29,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_ProductionTimeSpans,1,1921-01-19,
52713c0b-06fb-5d6d-9ce3-1942d28562eb,tg:mmbdc:55_#1,e22_ProductionTimeSpans,1,1928-08-01,
b68a3c8f-ca33-5a1d-8cf9-44ac3241ba2a,tg:mmbdc:56_#1,e22_ProductionTimeSpans,1,1907-08-10,1907-11-18
55732d1a-e5f9-5ffc-9bc5-97984bfefac1,tg:mmbdc:82_#1,e22_ProductionTimeSpans,1,1916-12-31,
4bc1f677-5dfb-5303-b2f5-cbffeb84c530,tg:mmbdc:57_#1,e22_ProductionTimeSpans,1,1906-07-30,1906-07-31
926ae845-ce4c-53c4-834e-c655edd31184,tg:mmbdc:59_#1,e22_ProductionTimeSpans,1,1906-07-15,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_ProductionTimeSpans,1,1903-07-01,
ebfe480f-d47c-5e85-8e4b-a392f93b56c6,tg:mmbdc:93_#1,e22_ProductionTimeSpans,1,1916-01-19,
e74e26e3-94de-55ef-ab62-8c1dc71facef,tg:mmbdc:94_#1,e22_ProductionTimeSpans,1,1905-03-30,1905-03-31
a7e666b1-8ab4-58dd-bd60-e36f1857c13c,tg:mmbdc:95_#1,e22_ProductionTimeSpans,1,uuuu-05-25,uuuu-06-11
6081eaf9-558c-5607-92dc-04d8aa5897a0,tg:mmbdc:96_#1,e22_ProductionTimeSpans,1,uuuu-04-01,uuuu-06u06
40826350-1b02-5180-ac0b-493757181ae6,tg:mmbdc:97_#1,e22_ProductionTimeSpans,1,1916-05-09,1916-05-18
16fdf550-a558-5c59-b552-9e20923211a7,tg:mmbdc:98_#1,e22_ProductionTimeSpans,1,1916-09-04,1916-10-20
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_ProductionTimeSpans,1,1916-12-09,1916-12-14
200b78aa-59d1-5d48-a3e9-a9698441da3e,tg:mmbdc:100_#1,e22_ProductionTimeSpans,1,1918-02-05,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,tg:mmbdc:101_#1,e22_ProductionTimeSpans,1,1917-10-29,1917-12-01
16ea225c-79b9-5577-b04b-7c7734dcef32,tg:mmbdc:102_#1,e22_ProductionTimeSpans,1,1917-07-23,1917-02-24
cd33b542-3106-54f0-8790-a0b54f937bdb,tg:mmbdc:103_#1,e22_ProductionTimeSpans,1,1917-03-20,
f664b0be-e2de-5c60-a369-b59445e5bc0e,tg:mmbdc:63_#1,e22_ProductionTimeSpans,1,1906-02-02,1918-12-31
b87bdabb-02a1-5d70-b4b6-36424dd65868,tg:mmbdc:64_#1,e22_ProductionTimeSpans,1,1901-10-11,
d8d85fc0-9e54-535d-856e-db378422ab52,tg:mmbdc:65_#1,e22_ProductionTimeSpans,1,1904-12-16,
