ResourceID,mmb_id_mat,card,order,Archive Brocade ID,Archive Widget
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,tg:mmbdc:2_#1,e22_Archives,1,MMB.A.I.E.3,
6bd190f4-1853-589f-9ca1-4cd9a512b277,tg:mmbdc:3_#1,e22_Archives,1,MMB.A.I.E.3,
f88733b4-7a74-5fa4-9d32-2e17575faa7b,tg:mmbdc:4_#1,e22_Archives,1,MMB.A.I.E.3,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Archives,1,MMB.A.I.E.3,
52519509-91f6-51ff-b3f7-41a02116d2e7,tg:mmbdc:6_#1,e22_Archives,1,MMB.A.I.E.3,
66461767-c6e9-5183-8ed0-53031e25ab9c,tg:mmbdc:7_#1,e22_Archives,1,MMB.A.I.E.3,
43041bc9-a42e-59b2-9bca-dbabb16059b9,tg:mmbdc:8_#1,e22_Archives,1,MMB.A.I.E.3,
ec82374f-68ed-587e-89c7-8d657c97fad2,tg:mmbdc:9_#1,e22_Archives,1,MMB.A.I.E.3,
39634300-2e08-57c7-86c1-c80ade0e45e4,tg:mmbdc:10_#1,e22_Archives,1,MMB.A.I.E.3,
31283184-f32e-5752-acee-dfa5c3c2ffe0,tg:mmbdc:11_#1,e22_Archives,1,MMB.A.I.E.3,
82ddac49-d293-5ad1-b8b2-f47291aeeea2,tg:mmbdc:12_#1,e22_Archives,1,MMB.A.I.E.3,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_Archives,1,MMB.A.I.B.2,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_Archives,1,MMB.A.I.B.2,
3bb41ecf-4b77-5b58-ba1d-857b2294033f,tg:mmbdc:109_#1,e22_Archives,1,MMB.A.I.C.1,
cacfe543-304c-5905-9679-60c5fdf3537f,tg:mmbdc:52_#1,e22_Archives,1,MMB.A.I.D.1.b,
64f0f355-c885-5e6d-bbff-7a33eafcf2b0,tg:mmbdc:53_#1,e22_Archives,1,MMB.A.I.D.1.b,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_Archives,1,MMB.A.I.D.1.b,
52713c0b-06fb-5d6d-9ce3-1942d28562eb,tg:mmbdc:55_#1,e22_Archives,1,MMB.A.I.D.1.b,
b68a3c8f-ca33-5a1d-8cf9-44ac3241ba2a,tg:mmbdc:56_#1,e22_Archives,1,MMB.A.I.D.1.b,
55732d1a-e5f9-5ffc-9bc5-97984bfefac1,tg:mmbdc:82_#1,e22_Archives,1,MMB.A.I.D.1.b,
4bc1f677-5dfb-5303-b2f5-cbffeb84c530,tg:mmbdc:57_#1,e22_Archives,1,MMB.A.I.D.2.a,
b0771155-f12c-5e03-8138-7b89dcef0d2c,tg:mmbdc:58_#1,e22_Archives,1,MMB.A.I.D.2.a,
926ae845-ce4c-53c4-834e-c655edd31184,tg:mmbdc:59_#1,e22_Archives,1,MMB.A.I.D.2.a,
af8ff991-c2ca-5569-8728-ffec3363ebe3,tg:mmbdc:60_#1,e22_Archives,1,MMB.A.I.D.2.a,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_Archives,1,MMB.A.I.D.2.a,
613e2555-cca9-5352-8b6c-194592251544,tg:mmbdc:62_#1,e22_Archives,1,MMB.A.I.D.2.a,
c6003b5b-752b-55a3-a09b-3eacaecf40fc,tg:mmbdc:84_#1,e22_Archives,1,MMB.A.I.D.2.a,
ebfe480f-d47c-5e85-8e4b-a392f93b56c6,tg:mmbdc:93_#1,e22_Archives,1,MMB.A.I.D.2.a,
e74e26e3-94de-55ef-ab62-8c1dc71facef,tg:mmbdc:94_#1,e22_Archives,1,MMB.A.I.D.2.a,
a7e666b1-8ab4-58dd-bd60-e36f1857c13c,tg:mmbdc:95_#1,e22_Archives,1,MMB.A.I.D.2.a,
6081eaf9-558c-5607-92dc-04d8aa5897a0,tg:mmbdc:96_#1,e22_Archives,1,MMB.A.I.D.2.a,
40826350-1b02-5180-ac0b-493757181ae6,tg:mmbdc:97_#1,e22_Archives,1,MMB.A.I.D.2.a,
