ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,tg:mmbdc:2_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
6bd190f4-1853-589f-9ca1-4cd9a512b277,tg:mmbdc:3_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
f88733b4-7a74-5fa4-9d32-2e17575faa7b,tg:mmbdc:4_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
52519509-91f6-51ff-b3f7-41a02116d2e7,tg:mmbdc:6_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
66461767-c6e9-5183-8ed0-53031e25ab9c,tg:mmbdc:7_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
43041bc9-a42e-59b2-9bca-dbabb16059b9,tg:mmbdc:8_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
ec82374f-68ed-587e-89c7-8d657c97fad2,tg:mmbdc:9_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
39634300-2e08-57c7-86c1-c80ade0e45e4,tg:mmbdc:10_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
31283184-f32e-5752-acee-dfa5c3c2ffe0,tg:mmbdc:11_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
82ddac49-d293-5ad1-b8b2-f47291aeeea2,tg:mmbdc:12_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,
3bb41ecf-4b77-5b58-ba1d-857b2294033f,tg:mmbdc:109_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,
cacfe543-304c-5905-9679-60c5fdf3537f,tg:mmbdc:52_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,
64f0f355-c885-5e6d-bbff-7a33eafcf2b0,tg:mmbdc:53_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,
