ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
22a58008-ac46-5798-818b-c310f25446e0,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000001114,referentienummer,False
22a58008-ac46-5798-818b-c310f25446e0,e73_LegacyInformation,1,brocade.id,tg:mpmbr:1130,brocade id,False
22a58008-ac46-5798-818b-c310f25446e0,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:1130/N,brocade url,False
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000585,referentienummer,False
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,e73_LegacyInformation,1,brocade.id,tg:mpmbr:598,brocade id,False
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:598/N,brocade url,False
e687756a-1c8c-551e-b0fb-6c08b0ae577e,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000001032,referentienummer,False
e687756a-1c8c-551e-b0fb-6c08b0ae577e,e73_LegacyInformation,1,brocade.id,tg:mpmbr:1048,brocade id,False
e687756a-1c8c-551e-b0fb-6c08b0ae577e,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:1048/N,brocade url,False
9e91f775-0904-5585-b362-570ab5b372a5,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000022,referentienummer,False
9e91f775-0904-5585-b362-570ab5b372a5,e73_LegacyInformation,1,brocade.id,tg:mpmbr:31,brocade id,False
9e91f775-0904-5585-b362-570ab5b372a5,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:31/N,brocade url,False
f4b540b0-7892-55b3-8543-47493244a9fa,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000001104,referentienummer,False
f4b540b0-7892-55b3-8543-47493244a9fa,e73_LegacyInformation,1,brocade.id,tg:mpmbr:1120,brocade id,False
f4b540b0-7892-55b3-8543-47493244a9fa,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:1120/N,brocade url,False
62f765f5-048a-5ea9-8e60-ea199cf30104,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000012,referentienummer,False
62f765f5-048a-5ea9-8e60-ea199cf30104,e73_LegacyInformation,1,brocade.id,tg:mpmbr:21,brocade id,False
62f765f5-048a-5ea9-8e60-ea199cf30104,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:21/N,brocade url,False
c1fbb556-4da2-5860-bf5b-55cd90bad767,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000575,referentienummer,False
c1fbb556-4da2-5860-bf5b-55cd90bad767,e73_LegacyInformation,1,brocade.id,tg:mpmbr:588,brocade id,False
c1fbb556-4da2-5860-bf5b-55cd90bad767,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:588/N,brocade url,False
ebd8f5f1-0bd8-5569-bba2-f5586eae54e0,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000001042,referentienummer,False
ebd8f5f1-0bd8-5569-bba2-f5586eae54e0,e73_LegacyInformation,1,brocade.id,tg:mpmbr:1058,brocade id,False
ebd8f5f1-0bd8-5569-bba2-f5586eae54e0,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:1058/N,brocade url,False
f0945d29-66a8-52b3-83b6-f60afea3058b,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000918,referentienummer,False
f0945d29-66a8-52b3-83b6-f60afea3058b,e73_LegacyInformation,1,brocade.id,tg:mpmbr:932,brocade id,False
f0945d29-66a8-52b3-83b6-f60afea3058b,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:932/N,brocade url,False
59ed0143-6353-5cd1-b3ac-c70971ae1d45,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000908,referentienummer,False
59ed0143-6353-5cd1-b3ac-c70971ae1d45,e73_LegacyInformation,1,brocade.id,tg:mpmbr:922,brocade id,False
59ed0143-6353-5cd1-b3ac-c70971ae1d45,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:922/N,brocade url,False
31d4b0dd-8efc-5e69-827b-d6e9e8a0a760,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000772,referentienummer,False
31d4b0dd-8efc-5e69-827b-d6e9e8a0a760,e73_LegacyInformation,1,brocade.id,tg:mpmbr:786,brocade id,False
31d4b0dd-8efc-5e69-827b-d6e9e8a0a760,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:786/N,brocade url,False
8a51d5f2-25f9-52f0-9767-d4c03f4c903f,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000782,referentienummer,False
8a51d5f2-25f9-52f0-9767-d4c03f4c903f,e73_LegacyInformation,1,brocade.id,tg:mpmbr:796,brocade id,False
8a51d5f2-25f9-52f0-9767-d4c03f4c903f,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:796/N,brocade url,False
42fd9d26-dffe-57ed-bf38-ca5dc95872d5,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000001229,referentienummer,False
42fd9d26-dffe-57ed-bf38-ca5dc95872d5,e73_LegacyInformation,1,brocade.id,tg:mpmbr:1246,brocade id,False
42fd9d26-dffe-57ed-bf38-ca5dc95872d5,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmbr:1246/N,brocade url,False
edeeecd3-d98d-5a00-9064-7746287c1d7d,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/br/000000632,referentienummer,False
edeeecd3-d98d-5a00-9064-7746287c1d7d,e73_LegacyInformation,1,brocade.id,tg:mpmbr:647,brocade id,False
