ResourceID,brocade.id,card,order,source_field,source_code,Annotation (nl),Annotation Language,Annotation Type
2b3afced-37d6-550a-a269-cadc5e903793,tg:mpmbr:1120_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
9612ddcd-3d2b-5378-a83f-0d62db605777,tg:mpmbr:786_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>'Summa quib[us] maximam partem pecuniarum exposui', Douai, 10 augustus [1591] (MPM Arch. 89 p. 465-468)</p>
","<p>'Summa quib[us] maximam partem pecuniarum exposui', Douai, 10 augustus [1591] (MPM Arch. 89 p. 465-468)</p>
",Nederlands,remarks
4acfefdf-02ca-521b-a7f4-ef2e792f72a2,tg:mpmbr:1015_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
8b2ab945-301e-513a-b384-d300551cc3bc,tg:mpmbr:948_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat 1 wit kantmonster</p>
","<p>Bevat 1 wit kantmonster</p>
",Nederlands,remarks
7349b10c-21ac-5783-96a7-768e5b50cc4a,tg:mpmbr:933_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat 1 zwart kantmonster</p>
","<p>Bevat 1 zwart kantmonster</p>
",Nederlands,remarks
f02d1603-c7de-56be-925e-67970dc73d00,tg:mpmbr:1193_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
50482453-eb8d-53e6-ad26-193261c8a5c4,tg:mpmbr:1123_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
803c7115-85a1-53ce-837f-09ed1c090836,tg:mpmbr:1064_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een monster van papier.</p>
","<p>Bevat een monster van papier.</p>
",Nederlands,remarks
90bb08bd-68e1-54dc-827f-0beb5d97edf0,tg:mpmbr:1226_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat twee rekeningen courant.</p>
","<p>Bevat twee rekeningen courant.</p>
",Nederlands,remarks
d8395d30-f8cd-593f-83fc-f14219695353,tg:mpmbr:989_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat 2 bijlagen: een vrachtbrief en een afschrift van een factuur</p>
","<p>Bevat 2 bijlagen: een vrachtbrief en een afschrift van een factuur</p>
",Nederlands,remarks
