ResourceID,brocade.id,card,order,source_field,Creation Time Span Source Note (nl)
22a58008-ac46-5798-818b-c310f25446e0,tg:mpmbr:1130,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16761106
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,tg:mpmbr:598,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16400718
e687756a-1c8c-551e-b0fb-6c08b0ae577e,tg:mpmbr:1048,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16750816
9e91f775-0904-5585-b362-570ab5b372a5,tg:mpmbr:31,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,17520427
f4b540b0-7892-55b3-8543-47493244a9fa,tg:mpmbr:1120,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16760821
62f765f5-048a-5ea9-8e60-ea199cf30104,tg:mpmbr:21,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,17261231
c1fbb556-4da2-5860-bf5b-55cd90bad767,tg:mpmbr:588,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16400606
ebd8f5f1-0bd8-5569-bba2-f5586eae54e0,tg:mpmbr:1058,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16751025
f0945d29-66a8-52b3-83b6-f60afea3058b,tg:mpmbr:932,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16111225
59ed0143-6353-5cd1-b3ac-c70971ae1d45,tg:mpmbr:922,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15730427
31d4b0dd-8efc-5e69-827b-d6e9e8a0a760,tg:mpmbr:786,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15910819
8a51d5f2-25f9-52f0-9767-d4c03f4c903f,tg:mpmbr:796,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15940210
42fd9d26-dffe-57ed-bf38-ca5dc95872d5,tg:mpmbr:1246,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16621225
