ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget (nl),Archive Identifier
1c108418-fa08-5e1e-86ac-2e3d94778ecf,tg:mpmbr:1130_#1,e22_Archives,1,isad:mpm:161,"dlod={""name"":""Vincent"",""ark"":""ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1"",""uri"":""/repositories/10/archival_objects/17228"",""id"":""isad:mpm:161"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""1655-1866"",""Formaat quarto""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Vincent"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1
b1881c81-94eb-52c3-8c38-7d738f2508f1,tg:mpmbr:598_#1,e22_Archives,1,isad:mpm:31,"dlod={""name"":""Philippe Chifflet"",""ark"":""ark:/11975/x0/9c60b173-c591-54e2-873c-9e03af7f7ba0"",""uri"":""/repositories/10/archival_objects/3318"",""id"":""isad:mpm:31"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""Selectie De Renette""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Philippe Chifflet"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9c60b173-c591-54e2-873c-9e03af7f7ba0
80edb321-1e94-5875-87a2-5572bdf754ac,tg:mpmbr:1048_#1,e22_Archives,1,isad:mpm:161,"dlod={""name"":""Vincent"",""ark"":""ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1"",""uri"":""/repositories/10/archival_objects/17228"",""id"":""isad:mpm:161"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""1655-1866"",""Formaat quarto""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Vincent"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1
62ab83a9-a0f4-5082-8760-ed27c6343a58,tg:mpmbr:31_#1,e22_Archives,1,isad:mpm:131,"dlod={""name"":""Lochner - Lyssens"",""ark"":""ark:/11975/x0/5c3f9b58-011b-5a96-bd07-c87c619d85e3"",""uri"":""/repositories/10/archival_objects/14018"",""id"":""isad:mpm:131"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""1655-1866"",""Formaat quarto""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Lochner - Lyssens"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/5c3f9b58-011b-5a96-bd07-c87c619d85e3
2b3afced-37d6-550a-a269-cadc5e903793,tg:mpmbr:1120_#1,e22_Archives,1,isad:mpm:161,"dlod={""name"":""Vincent"",""ark"":""ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1"",""uri"":""/repositories/10/archival_objects/17228"",""id"":""isad:mpm:161"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""1655-1866"",""Formaat quarto""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Vincent"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1
add6d4e6-72c0-59fb-ae1f-7b78f3fac968,tg:mpmbr:21_#1,e22_Archives,1,isad:mpm:136,"dlod={""name"":""Christophorus Maria Moretus - Franciscus Joannes Moretus"",""ark"":""ark:/11975/x0/594a1ab2-c684-551d-b8d9-e2bcc31cd9d8"",""uri"":""/repositories/10/archival_objects/14553"",""id"":""isad:mpm:136"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""1655-1866"",""Formaat quarto""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Christophorus Maria Moretus - Franciscus Joannes Moretus"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/594a1ab2-c684-551d-b8d9-e2bcc31cd9d8
bacee445-b518-5407-bd75-9170fd55d3f8,tg:mpmbr:588_#1,e22_Archives,1,isad:mpm:31,"dlod={""name"":""Philippe Chifflet"",""ark"":""ark:/11975/x0/9c60b173-c591-54e2-873c-9e03af7f7ba0"",""uri"":""/repositories/10/archival_objects/3318"",""id"":""isad:mpm:31"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""Selectie De Renette""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Philippe Chifflet"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9c60b173-c591-54e2-873c-9e03af7f7ba0
3ad1b541-5b1f-5830-908c-0a7ebfd14bda,tg:mpmbr:1058_#1,e22_Archives,1,isad:mpm:161,"dlod={""name"":""Vincent"",""ark"":""ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1"",""uri"":""/repositories/10/archival_objects/17228"",""id"":""isad:mpm:161"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""1655-1866"",""Formaat quarto""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Vincent"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9628d014-6ca5-5a56-aac6-baa92a2dabb1
92073088-e993-5cc3-83e0-66ab271c3247,tg:mpmbr:932_#1,e22_Archives,1,isad:mpm:42,"dlod={""name"":""Moretus"",""ark"":""ark:/11975/x0/97f6ffbf-59a4-5e2e-a562-d211455a7697"",""uri"":""/repositories/10/archival_objects/4495"",""id"":""isad:mpm:42"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""Selectie De Renette""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Moretus"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/97f6ffbf-59a4-5e2e-a562-d211455a7697
1621053a-516b-514c-b0d9-4d8861ea426c,tg:mpmbr:922_#1,e22_Archives,1,isad:mpm:42,"dlod={""name"":""Moretus"",""ark"":""ark:/11975/x0/97f6ffbf-59a4-5e2e-a562-d211455a7697"",""uri"":""/repositories/10/archival_objects/4495"",""id"":""isad:mpm:42"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Briefwisseling"",""Ingekomen brieven"",""Selectie De Renette""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Moretus"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/97f6ffbf-59a4-5e2e-a562-d211455a7697
