ResourceID,brocade.id,museum,card,ire.isaar.uuid,source_ire_type,Connected Subject Role,source_code,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget (nl),Connected Subject Identifier,Connected Subject Type
b98dfb4b-ddc7-5262-a97e-fca7bb5a7448,tg:mpmbr:118,mpm,e73_ConnectedSubjects,7f996130-10f3-540e-9cbc-c131aa3a5f75,ow,subjects (content of works),au::108458,au::108458:1,au::108458g:1,,"dlod={""suggest"":[""/agents/people/11605006"",""au::108458"",""au::108458:1"",""ark:/83110/x0/7f996130-10f3-540e-9cbc-c131aa3a5f75"",""Franciscus Joannes Moretus""],""name"":""Franciscus Joannes Moretus"",""ark"":""ark:/83110/x0/7f996130-10f3-540e-9cbc-c131aa3a5f75"",""uri"":""/agents/people/11605006"",""id"":""au::108458:1"",""isCapacity"":false}",ark:/83110/x0/7f996130-10f3-540e-9cbc-c131aa3a5f75,agent
dfbc8449-4bd8-5e9d-9648-84c7ec93135b,tg:mpmbr:950,mpm,e73_ConnectedSubjects,357ed5bb-4213-54c4-aabe-002b6187ed71,ow,subjects (content of works),au::2134,au::2134:1,au::2134g:1,,"dlod={""suggest"":[""/agents/corporate_entities/228338"",""au::2134"",""au::2134:1"",""ark:/83110/x0/357ed5bb-4213-54c4-aabe-002b6187ed71"",""Boekwezendag""],""name"":""Boekwezendag"",""ark"":""ark:/83110/x0/357ed5bb-4213-54c4-aabe-002b6187ed71"",""uri"":""/agents/corporate_entities/228338"",""id"":""au::2134:1"",""isCapacity"":false}",ark:/83110/x0/357ed5bb-4213-54c4-aabe-002b6187ed71,agent
e5ede363-fa92-5f5b-b3ae-f4ea7068d1e6,tg:mpmbr:949,mpm,e73_ConnectedSubjects,357ed5bb-4213-54c4-aabe-002b6187ed71,ow,subjects (content of works),au::2134,au::2134:1,au::2134g:1,,"dlod={""suggest"":[""/agents/corporate_entities/228338"",""au::2134"",""au::2134:1"",""ark:/83110/x0/357ed5bb-4213-54c4-aabe-002b6187ed71"",""Boekwezendag""],""name"":""Boekwezendag"",""ark"":""ark:/83110/x0/357ed5bb-4213-54c4-aabe-002b6187ed71"",""uri"":""/agents/corporate_entities/228338"",""id"":""au::2134:1"",""isCapacity"":false}",ark:/83110/x0/357ed5bb-4213-54c4-aabe-002b6187ed71,agent
a5c68bf9-2e58-5814-9d19-833e94233043,tg:mpmbr:38,mpm,e73_ConnectedSubjects,97c81a6e-882e-5e42-aafa-4ae11d1c596a,ow,subjects (content of works),au::109067,au::109067:1,au::109067g:1,,"dlod={""suggest"":[""/agents/people/11670169"",""au::109067"",""au::109067:1"",""ark:/83110/x0/97c81a6e-882e-5e42-aafa-4ae11d1c596a"",""François I Foppens""],""name"":""François I Foppens"",""ark"":""ark:/83110/x0/97c81a6e-882e-5e42-aafa-4ae11d1c596a"",""uri"":""/agents/people/11670169"",""id"":""au::109067:1"",""isCapacity"":false}",ark:/83110/x0/97c81a6e-882e-5e42-aafa-4ae11d1c596a,agent
679a9c5e-1fed-571c-9ec2-d03ce98744e1,tg:mpmbr:197,mpm,e73_ConnectedSubjects,a14646f0-adab-59b1-b3b8-28b3669e92cf,ow,subjects (content of works),au::108600,au::108600:1,au::108600g:1,,"dlod={""suggest"":[""/agents/people/11620200"",""au::108600"",""au::108600:1"",""ark:/83110/x0/a14646f0-adab-59b1-b3b8-28b3669e92cf"",""Melchior Moretus""],""name"":""Melchior Moretus"",""ark"":""ark:/83110/x0/a14646f0-adab-59b1-b3b8-28b3669e92cf"",""uri"":""/agents/people/11620200"",""id"":""au::108600:1"",""isCapacity"":false}",ark:/83110/x0/a14646f0-adab-59b1-b3b8-28b3669e92cf,agent
3a4a6e88-0d04-5884-bf3c-4042f10a12e3,tg:mpmbr:90,mpm,e73_ConnectedSubjects,cd8ab87a-4a20-5d51-a80d-d19c5dda2602,ow,subjects (content of works),au::108691,au::108691:1,au::108691g:1,,"dlod={""suggest"":[""/agents/people/11629937"",""au::108691"",""au::108691:1"",""ark:/83110/x0/cd8ab87a-4a20-5d51-a80d-d19c5dda2602"",""Catharina Maria Moretus""],""name"":""Catharina Maria Moretus"",""ark"":""ark:/83110/x0/cd8ab87a-4a20-5d51-a80d-d19c5dda2602"",""uri"":""/agents/people/11629937"",""id"":""au::108691:1"",""isCapacity"":false}",ark:/83110/x0/cd8ab87a-4a20-5d51-a80d-d19c5dda2602,agent
762447a9-824c-5a07-898e-ebc322400a02,tg:mpmbr:39,mpm,e73_ConnectedSubjects,97c81a6e-882e-5e42-aafa-4ae11d1c596a,ow,subjects (content of works),au::109067,au::109067:1,au::109067g:1,,"dlod={""suggest"":[""/agents/people/11670169"",""au::109067"",""au::109067:1"",""ark:/83110/x0/97c81a6e-882e-5e42-aafa-4ae11d1c596a"",""François I Foppens""],""name"":""François I Foppens"",""ark"":""ark:/83110/x0/97c81a6e-882e-5e42-aafa-4ae11d1c596a"",""uri"":""/agents/people/11670169"",""id"":""au::109067:1"",""isCapacity"":false}",ark:/83110/x0/97c81a6e-882e-5e42-aafa-4ae11d1c596a,agent
944fde02-ca7e-52ef-9822-84e51d718a70,tg:mpmbr:29,mpm,e73_ConnectedSubjects,3ffd5b0f-6d91-5849-8f14-ba88631bfa89,ow,subjects (content of works),au::108971,au::108971:1,au::108971g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11659897"",""au::108971"",""au::108971:1"",""ark:/83110/x0/3ffd5b0f-6d91-5849-8f14-ba88631bfa89"",""Kapucijnen""],""name"":""Kapucijnen"",""ark"":""ark:/83110/x0/3ffd5b0f-6d91-5849-8f14-ba88631bfa89"",""uri"":""/agents/corporate_entities/11659897"",""id"":""au::108971:1"",""isCapacity"":false}",ark:/83110/x0/3ffd5b0f-6d91-5849-8f14-ba88631bfa89,agent
505a532b-5a83-5aad-81e6-ee0fb6c50b6b,tg:mpmbr:1261,mpm,e73_ConnectedSubjects,a9b1626f-f649-52b2-8269-96bd81a05957,ow,subjects (content of works),au::114266,au::114266:1,au::114266g:1,,"dlod={""suggest"":[""/agents/people/12226462"",""au::114266"",""au::114266:1"",""ark:/83110/x0/a9b1626f-f649-52b2-8269-96bd81a05957"",""Caroline Moretus""],""name"":""Caroline Moretus"",""ark"":""ark:/83110/x0/a9b1626f-f649-52b2-8269-96bd81a05957"",""uri"":""/agents/people/12226462"",""id"":""au::114266:1"",""isCapacity"":false}",ark:/83110/x0/a9b1626f-f649-52b2-8269-96bd81a05957,agent
67c3fef9-eafb-5937-a0b6-b99140afee60,tg:mpmbr:89,mpm,e73_ConnectedSubjects,8067cbdb-b6a3-5f31-918d-92661adfcb4a,ow,subjects (content of works),au::108714,au::108714:1,au::108714g:1,,"dlod={""suggest"":[""/agents/people/11632398"",""au::108714"",""au::108714:1"",""ark:/83110/x0/8067cbdb-b6a3-5f31-918d-92661adfcb4a"",""Petrus Moretus""],""name"":""Petrus Moretus"",""ark"":""ark:/83110/x0/8067cbdb-b6a3-5f31-918d-92661adfcb4a"",""uri"":""/agents/people/11632398"",""id"":""au::108714:1"",""isCapacity"":false}",ark:/83110/x0/8067cbdb-b6a3-5f31-918d-92661adfcb4a,agent
