card,order,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location_begin  (nl),adm.uuid_mat,Volgnummer (nl),ResourceID,brocade.id,Source Note (nl),Source Note Type,Source Note Language
e22_Items,1,mpmbr,tg:mpmbr:1130_#1,Arch. 638,isad:mpm:161,10 Q 8 C,1c108418-fa08-5e1e-86ac-2e3d94778ecf,p. 512-515,1c108418-fa08-5e1e-86ac-2e3d94778ecf,tg:mpmbr:1130_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:598_#1,Arch. 79,isad:mpm:31,10 Q 2 G,b1881c81-94eb-52c3-8c38-7d738f2508f1,p. 649-652,b1881c81-94eb-52c3-8c38-7d738f2508f1,tg:mpmbr:598_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1048_#1,Arch. 638,isad:mpm:161,10 Q 8 C,80edb321-1e94-5875-87a2-5572bdf754ac,p. 306-307,80edb321-1e94-5875-87a2-5572bdf754ac,tg:mpmbr:1048_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:31_#1,Arch. 378,isad:mpm:131,10 Q 5 B,62ab83a9-a0f4-5082-8760-ed27c6343a58,,62ab83a9-a0f4-5082-8760-ed27c6343a58,tg:mpmbr:31_#1,Los stuk tussen fol. 170-171,remarks,Nederlands
e22_Items,1,mpmbr,tg:mpmbr:1120_#1,Arch. 638,isad:mpm:161,10 Q 8 C,2b3afced-37d6-550a-a269-cadc5e903793,p. 472-479,2b3afced-37d6-550a-a269-cadc5e903793,tg:mpmbr:1120_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:21_#1,Arch. 609,isad:mpm:136,10 Q 7 A,add6d4e6-72c0-59fb-ae1f-7b78f3fac968,pp. 204-207,add6d4e6-72c0-59fb-ae1f-7b78f3fac968,tg:mpmbr:21_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:588_#1,Arch. 79,isad:mpm:31,10 Q 2 G,bacee445-b518-5407-bd75-9170fd55d3f8,p. 609-612,bacee445-b518-5407-bd75-9170fd55d3f8,tg:mpmbr:588_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1058_#1,Arch. 638,isad:mpm:161,10 Q 8 C,3ad1b541-5b1f-5830-908c-0a7ebfd14bda,p. 334-337,3ad1b541-5b1f-5830-908c-0a7ebfd14bda,tg:mpmbr:1058_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:932_#1,Arch. 89,isad:mpm:42,10 Q 2 D,92073088-e993-5cc3-83e0-66ab271c3247,p. 293-294,92073088-e993-5cc3-83e0-66ab271c3247,tg:mpmbr:932_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:922_#1,Arch. 89,isad:mpm:42,10 Q 2 D,1621053a-516b-514c-b0d9-4d8861ea426c,p. 615-616,1621053a-516b-514c-b0d9-4d8861ea426c,tg:mpmbr:922_#1,,,
