ResourceID,brocade.id,card,order,source_field,source_code,Document status
e10f5563-8371-5890-87ef-ada5968c13cd,tg:mpmbr:842_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
b27e4c86-6ff6-521f-a70a-f92716c509ae,tg:mpmbr:317_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
47692671-422b-5b98-9d09-5d493fda0d0c,tg:mpmbr:874_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
87462acd-3d50-5438-ae62-fd31be78e026,tg:mpmbr:735_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
397b9630-3a98-56dc-8a61-ee8a541e7cf6,tg:mpmbr:696_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
8b259328-ce3c-57d3-93e4-f4a9e7395677,tg:mpmbr:314_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
1746e4da-ada0-5a5f-9c8a-c71a23c55f8a,tg:mpmbr:697_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
6def8303-582a-5b70-b59d-ec8a2a67bdce,tg:mpmbr:854_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
f86d3249-cf6c-5ccc-ab90-884fa5983b68,tg:mpmbr:116_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
a29154b9-b167-5782-8f61-9737bca6c54c,tg:mpmbr:872_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
42aca14e-60c4-5a0a-9a45-bdb6b8616349,tg:mpmbr:871_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
437e5099-b07b-5980-b098-a73f61f29803,tg:mpmbr:218_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
6d76d9a6-7147-5633-ac30-62439d4cf876,tg:mpmbr:870_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
1479c295-0741-59e0-bbac-b74bfaf79ecf,tg:mpmbr:699_#1,e22_DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
