ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:32,https://data.museumplantinmoretus.be/ark:/11975/00d08c3f-d02d-5604-bcb4-b1036cf771a6,Tekeningen,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4fd76eeb-db9b-45e3-9720-02fbdf95ac50"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f1eac969-275d-4690-bb84-dea2fd51c02b"", ""inverseOntologyProperty"": """"}]"
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,1751,No Copyright - Public Domain Mark 1.0,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationActors,,,au::15342,,,,mpm,0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,ar,,au::15342:1,au::15342g:1,,,,,mpmtk,Iconografie,artists (visual artists),,"dlod={""suggest"":[""/agents/people/1641594"",""au::15342"",""au::15342:1"",""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""Erasmus II Quellinus""],""name"":""Erasmus II Quellinus"",""ark"":""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""uri"":""/agents/people/1641594"",""id"":""au::15342:1"",""isCapacity"":false}",ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16360000,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16370000,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,1636,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Een gehelmde figuur, die leunt op het wapen van de stad Dole, biedt koning Filips IV de overwinningskrans aan",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ontwerp voor,,,,c:lvd:495262,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000015,referentienummer,False,,,,,,,,,,,,
