ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:113_#1,https://data.museumplantinmoretus.be/ark:/11975/00222043-3018-5b40-9224-e268a2b5e0a2,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_AnnotationsMaterial,1,kenmerken.mpmaccess,acai,Alfabetische index,Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Archives,1,,,,,,isad:mpm:202,"dlod={""name"":""Cahiers de Francfort"",""ark"":""ark:/11975/x0/9e98dde0-7e4e-5c97-9985-25659a064fc3"",""uri"":""/repositories/10/archival_objects/21615"",""id"":""isad:mpm:202"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar onderwerp"",""Frankfurter Buchmesse"",""Verkoop van boeken op de Buchmesse""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Cahiers de Francfort"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9e98dde0-7e4e-5c97-9985-25659a064fc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,"19,7 x 15,4",,,,,,,,,,,,"19,7 x 15,4 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,197,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,154,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,78,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,,94,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:113_#1,Arch. 1039,isad:mpm:202,10 R 8 B,00222043-3018-5b40-9224-e268a2b5e0a2,,,,,,,,,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_ObjectTypes,1,kenmerken.mpmtypere,redb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daybooks,,,,,,,,,
00222043-3018-5b40-9224-e268a2b5e0a2,tg:mpmre:113_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,open
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:674_#1,https://data.museumplantinmoretus.be/ark:/11975/004129c1-7161-55e4-96d4-792ff4f6a214,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_Archives,1,,,,,,isad:mpm:629,"dlod={""name"":""Kladboeken conservator(s)"",""ark"":""ark:/11975/x0/8e92652b-333d-5e64-97b9-2855f2822771"",""uri"":""/repositories/10/archival_objects/67304"",""id"":""isad:mpm:629"",""nameWithContext"":[""Conservator ~[Max Rooses](au::16015)~ en beheerder ~[Emmanuel Rosseels](au::16061)~"",""Briefwisseling"",""(Uitgaande) brieven""],""resourceName"":""Archief van ~[Museum Plantin-Moretus](au::13308)~"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/61205"",""resourceID"":""isad:mpm:572"",""capacity"":""Kladboeken conservator(s)"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/8e92652b-333d-5e64-97b9-2855f2822771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,"26,3 x 18,5",,,,,,,,,,,,"26,3 x 18,5 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,263,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,185,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,183,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:674_#1,MR 41.02,isad:mpm:629,,004129c1-7161-55e4-96d4-792ff4f6a214,,,,,,,,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_Marks,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Oud inventarisnummer: A 2</p>
",signatures (names),Nederlands,,,,,,,,,,,
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_ObjectTypes,1,kenmerken.mpmtypere,rebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,letter books,,,,,,,,,
