ResourceID,brocade.id,card,order,source_field,source_code,Production Technique Type,Product stadium,Keeper,Object Number,Object Identifier,source_date,Restriction Type
0015371b-0d8f-56b2-b49c-c2e5e5f7ea9c,tg:mpmbr:847_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:847_#1,https://data.museumplantinmoretus.be/ark:/11975/0015371b-0d8f-56b2-b49c-c2e5e5f7ea9c,,
0015371b-0d8f-56b2-b49c-c2e5e5f7ea9c,tg:mpmbr:847_#1,e22_ProductStadiums,1,kenmerken.mpmorighs,con,,drafts (documents),,,,,
0015371b-0d8f-56b2-b49c-c2e5e5f7ea9c,tg:mpmbr:847_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0015371b-0d8f-56b2-b49c-c2e5e5f7ea9c,tg:mpmbr:847_#1,e22_UsageRestrictions,,id/date,,,,,,,1608,open
0019b7f8-8e27-5f6d-aa15-e96b8715adaa,tg:mpmbr:173_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:173_#1,https://data.museumplantinmoretus.be/ark:/11975/0019b7f8-8e27-5f6d-aa15-e96b8715adaa,,
0019b7f8-8e27-5f6d-aa15-e96b8715adaa,tg:mpmbr:173_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0019b7f8-8e27-5f6d-aa15-e96b8715adaa,tg:mpmbr:173_#1,e22_UsageRestrictions,,id/date,,,,,,,1635,open
001c7f89-57f0-5582-a5b6-dbf51ef6b234,tg:mpmbr:1246_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1246_#1,https://data.museumplantinmoretus.be/ark:/11975/001c7f89-57f0-5582-a5b6-dbf51ef6b234,,
001c7f89-57f0-5582-a5b6-dbf51ef6b234,tg:mpmbr:1246_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
001c7f89-57f0-5582-a5b6-dbf51ef6b234,tg:mpmbr:1246_#1,e22_UsageRestrictions,,id/date,,,,,,,1662,open
