ResourceID,brocade.id,card,order,source_field,Description (nl),Description Type,Description Language
c285eabe-bdd8-5fa8-be09-e0d2398c5947,tg:mpmph:31,e73_Descriptions,,id.desc,"Fragment van [*Ars d'ottobre* 1559]
",descriptive note,Nederlands
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,e73_Descriptions,,id.desc,"Fragment van *Alphabetum Arabicum* (Rome, 1592) 
",descriptive note,Nederlands
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,e73_Descriptions,,id.desc,"*Epreuve des caracteres, qui se fondent dans la nouvelle fonderie de Corn. Nozeman et comp.* (Cornelius Nozeman, Haarlem 1756)",descriptive note,Nederlands
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_Descriptions,,id.desc,"*Specimen typorum Johannis Elsevirii, academiae Lugduno-Batavae typographi, quos in sua typographia habet* (Johannes Elzevier, Leiden 1658)",descriptive note,Nederlands
e272703b-d5a8-58f6-99cc-7b327f7488d7,tg:mpmph:108,e73_Descriptions,,id.desc,"*Proeve van letteren, welke gevonden worden ter boekdrukkeryë van Herdingh en du Mortier, te Leyden* (Herdingh en du Mortier, Leiden 1793)",descriptive note,Nederlands
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,tg:mpmph:53,e73_Descriptions,,id.desc,Romeinse epigrafie,descriptive note,Nederlands
7bdeae05-9a01-5c7a-baba-17b7d04d3200,tg:mpmph:43,e73_Descriptions,,id.desc,Twaalf archiefstukken,descriptive note,Nederlands
cf10feed-9f60-5d97-9a97-6f221a03c746,tg:mpmph:101,e73_Descriptions,,id.desc,"*Catalogus van een considerable party Grieksche, Hebreeuwsche, Romynsche, cursyfsche, Hoog- en Nederduytsche, en andere letteren, … Als meede twee door A. Smits gemaekte capitale druk-parssen … Alles by een verzameld en nagelaten zo door de wylen den heer Anthoni De Groot, als door den heer mr. Stephanus De Groot, ...* (Anthoni en Stephanus de Groot, A. Smits, 's-Gravenhage 1771)",descriptive note,Nederlands
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,tg:mpmph:28,e73_Descriptions,,id.desc,"Op de microfilm staan meerdere fragmenten uit diverse werken:    
1) *Liber Salmorum Davidis Regis* (Parijs, 1625)     
2) *Evangelium Sanctum …* (Rome, typ. Medicea, 1590)     
3) *Sanctum dei evangelium arab lat* (Rome, typ. Medicea, 1591)     
4) [uit een arabisch schrift, mogelijks prequel van 3) uit 1585]
",descriptive note,Nederlands
1f65494d-9c65-535d-bcb1-a04cf80de46f,tg:mpmph:38,e73_Descriptions,,id.desc,"Civilité Scheler: geschreven tekst met allerlei informatie over de Civilité
",descriptive note,Nederlands
b2b20816-1148-5965-89d9-95c6cfe2d0ab,tg:mpmph:91,e73_Descriptions,,id.desc,"*Proef van letteren, welke gegooten worden in de nieuwe letter-gietery van Izaak en Joh. Enschedé te Haerlem* (Izaak en Johannes Enschedé, Haarlem 1744)",descriptive note,Nederlands
05915d97-808a-5322-ab95-3721b82d4af5,tg:mpmph:81,e73_Descriptions,,id.desc,"*Épreuves des caractères de la fonderie de Mathias Rosart* (Mathias Rosart, Brussel 1789)",descriptive note,Nederlands
