card,order,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,adm.uuid_mat,ResourceID,brocade.id,Source Note,Source Note Type,Source Note Language
e22_Items,1,mpmph,tg:mpmph:31_#1,AV REPRO OD 12,isad:mpm:916,001ccf13-ea5e-5182-902a-d87234a810c5,001ccf13-ea5e-5182-902a-d87234a810c5,tg:mpmph:31_#1,,,
e22_Items,1,mpmph,tg:mpmph:21_#1,AV REPRO OD 2,isad:mpm:916,44c64192-38c7-592c-bad7-d324bbe2cc23,44c64192-38c7-592c-bad7-d324bbe2cc23,tg:mpmph:21_#1,,,
e22_Items,1,mpmph,tg:mpmph:88_#1,AV LP 39,isad:mpm:686,e34d429a-2a8b-5fe9-a31e-b09e056a56d9,e34d429a-2a8b-5fe9-a31e-b09e056a56d9,tg:mpmph:88_#1,20 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:98_#1,AV LP 49.1-49.2,isad:mpm:686,fe30a6aa-d431-5847-9e14-02977c4b1be2,fe30a6aa-d431-5847-9e14-02977c4b1be2,tg:mpmph:98_#1,"AV LP 49.1: 7 fotonegatieven    
AV LP 49.2: 14 fotopositieven (2 exemplaren)",remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:108_#1,AV LP 59,isad:mpm:686,79b70912-1571-534c-9854-e4a97180a755,79b70912-1571-534c-9854-e4a97180a755,tg:mpmph:108_#1,62 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:53_#1,AV REPRO OD 32,isad:mpm:916,9923cae1-3504-5e83-b3e0-c88424cb6e45,9923cae1-3504-5e83-b3e0-c88424cb6e45,tg:mpmph:53_#1,Gelinkt aan de records AV REPRO OD 35.1-35.4,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:43_#1,AV REPRO OD 23,isad:mpm:916,3a2fca02-413e-55d6-9884-53909ae05518,3a2fca02-413e-55d6-9884-53909ae05518,tg:mpmph:43_#1,,,
e22_Items,1,mpmph,tg:mpmph:101_#1,AV LP 52,isad:mpm:686,bb226f0f-bd14-5144-838a-8547f916a46c,bb226f0f-bd14-5144-838a-8547f916a46c,tg:mpmph:101_#1,46 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:28_#1,AV REPRO OD 9,isad:mpm:916,7c593b11-17ee-5c52-918e-2fc0f2fa9244,7c593b11-17ee-5c52-918e-2fc0f2fa9244,tg:mpmph:28_#1,,,
e22_Items,1,mpmph,tg:mpmph:38_#1,AV REPRO OD 18,isad:mpm:916,ec05a67f-760c-5f02-a723-d48b9bf3441f,ec05a67f-760c-5f02-a723-d48b9bf3441f,tg:mpmph:38_#1,,,
e22_Items,1,mpmph,tg:mpmph:91_#1,AV LP 42,isad:mpm:686,bd89fb79-515d-5c68-91f9-502ff423fd9a,bd89fb79-515d-5c68-91f9-502ff423fd9a,tg:mpmph:91_#1,30 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:81_#1,AV LP 32.1-32.2,isad:mpm:686,df382509-0db8-5e99-837f-966fcbc3e743,df382509-0db8-5e99-837f-966fcbc3e743,tg:mpmph:81_#1,"AV LP 32.1: titelpagina, voorwoord, folio 1-100 (104 stuks)     
AV LP 32.2: folio 101-144 + 18 bijlagen (61 stuks)

",remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:75_#1,AV LP 26,isad:mpm:686,7ba7b2c9-768c-5148-98cd-5b5669f97f16,7ba7b2c9-768c-5148-98cd-5b5669f97f16,tg:mpmph:75_#1,28 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:65_#1,AV LP 3,isad:mpm:686,2c9fb700-6b31-54c6-a149-fb65a510cc6f,2c9fb700-6b31-54c6-a149-fb65a510cc6f,tg:mpmph:65_#1,9 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:100_#1,AV LP 51,isad:mpm:686,4f444090-50f1-582a-9a2b-fa430307a70c,4f444090-50f1-582a-9a2b-fa430307a70c,tg:mpmph:100_#1,8 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:110_#1,AV LP 61,isad:mpm:686,70c21c45-3f92-5dc7-ae3c-8e650c96670a,70c21c45-3f92-5dc7-ae3c-8e650c96670a,tg:mpmph:110_#1,101 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:80_#1,AV LP 31,isad:mpm:686,e2184164-9516-51e5-817a-db86425e2ad1,e2184164-9516-51e5-817a-db86425e2ad1,tg:mpmph:80_#1,10 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:90_#1,AV LP 41,isad:mpm:686,57a9ed2e-e46e-52ec-b3e1-68bb09d369b1,57a9ed2e-e46e-52ec-b3e1-68bb09d369b1,tg:mpmph:90_#1,35 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:39_#1,AV REPRO OD 19,isad:mpm:916,39907cb5-f8d4-5341-b387-6d8aa2c722f2,39907cb5-f8d4-5341-b387-6d8aa2c722f2,tg:mpmph:39_#1,,,
e22_Items,1,mpmph,tg:mpmph:29_#1,AV REPRO OD 10,isad:mpm:916,6b687c2b-864c-5ca0-b6ee-59f294a812e8,6b687c2b-864c-5ca0-b6ee-59f294a812e8,tg:mpmph:29_#1,,,
e22_Items,1,mpmph,tg:mpmph:64_#1,AV LP 2,isad:mpm:686,53ec7d83-adc4-531a-9217-fe7d8ac4eb08,53ec7d83-adc4-531a-9217-fe7d8ac4eb08,tg:mpmph:64_#1,3 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:74_#1,AV LP 25,isad:mpm:686,24d14f81-9d39-5f8d-a31b-5f3c4e1645cb,24d14f81-9d39-5f8d-a31b-5f3c4e1645cb,tg:mpmph:74_#1,22 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:99_#1,AV LP 50,isad:mpm:686,378a644e-0606-528a-843b-6e916bf39902,378a644e-0606-528a-843b-6e916bf39902,tg:mpmph:99_#1,10 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:89_#1,AV LP 40,isad:mpm:686,83d22bbb-ed76-5e38-b341-abea61ef1beb,83d22bbb-ed76-5e38-b341-abea61ef1beb,tg:mpmph:89_#1,81 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:20_#1,AV REPRO OD 1,isad:mpm:916,cb2d75af-a232-5ddd-b4af-234ee4d38556,cb2d75af-a232-5ddd-b4af-234ee4d38556,tg:mpmph:20_#1,,,
e22_Items,1,mpmph,tg:mpmph:30_#1,AV REPRO OD 11,isad:mpm:916,153dd3ba-db9e-597c-8580-d4ba2fc79aa3,153dd3ba-db9e-597c-8580-d4ba2fc79aa3,tg:mpmph:30_#1,,,
e22_Items,1,mpmph,tg:mpmph:42_#1,AV REPRO OD 22,isad:mpm:916,af803315-1e49-5c5f-ae15-eb2878d2dedc,af803315-1e49-5c5f-ae15-eb2878d2dedc,tg:mpmph:42_#1,,,
e22_Items,1,mpmph,tg:mpmph:52_#1,AV REPRO OD 31,isad:mpm:916,03c8990c-ba3a-5c5e-9a2a-08360d5eb8e9,03c8990c-ba3a-5c5e-9a2a-08360d5eb8e9,tg:mpmph:52_#1,,,
e22_Items,1,mpmph,tg:mpmph:109_#1,AV LP 60,isad:mpm:686,66327336-304a-5178-94b7-50b003153994,66327336-304a-5178-94b7-50b003153994,tg:mpmph:109_#1,80 stuks,remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:92_#1,AV LP 43.1-43.2,isad:mpm:686,27cefa72-ec66-5eb1-a976-177cb107b710,27cefa72-ec66-5eb1-a976-177cb107b710,tg:mpmph:92_#1,"AV LP 43.1: 28 fotonegatieven    
AV LP 43.2: 56 fotopositieven (2 exemplaren)",remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:82_#1,AV LP 33.1-33.2,isad:mpm:686,61fe8a24-d55f-5153-9b1c-8648e22e318c,61fe8a24-d55f-5153-9b1c-8648e22e318c,tg:mpmph:82_#1,"AV LP 33.1: 25 stuks, maar kleiner formaat    
AV LP 33.2: 25 stuks, maar groter formaat    
Inhoud is hetzelfde",remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:49_#1,AV REPRO OD 28,isad:mpm:916,225c0427-0797-5af6-907b-9deae566cc07,225c0427-0797-5af6-907b-9deae566cc07,tg:mpmph:49_#1,,,
e22_Items,1,mpmph,tg:mpmph:59_#1,AV REPRO OD 34.4,isad:mpm:916,e6bfc5c3-6da1-5707-beec-1b71aaab4bf3,e6bfc5c3-6da1-5707-beec-1b71aaab4bf3,tg:mpmph:59_#1,,,
e22_Items,1,mpmph,tg:mpmph:102_#1,AV LP 53,isad:mpm:686,79a2ec62-c6aa-52e4-9625-17b25a00f7d1,79a2ec62-c6aa-52e4-9625-17b25a00f7d1,tg:mpmph:102_#1,17 stuks (fol. 1-17),remarks,Nederlands
e22_Items,1,mpmph,tg:mpmph:76_#1,AV LP 27,isad:mpm:686,192f248d-5931-5938-864c-9627fc72eee7,192f248d-5931-5938-864c-9627fc72eee7,tg:mpmph:76_#1,71 stuks,remarks,Nederlands
