ResourceID,brocade.id,card,order,Keeper,Object Number (nl),Object Identifier,Record Type
c285eabe-bdd8-5fa8-be09-e0d2398c5947,tg:mpmph:31,AA,0,Museum Plantin-Moretus,tg:mpmph:31,https://data.museumplantinmoretus.be/ark:/11975/c285eabe-bdd8-5fa8-be09-e0d2398c5947,Foto's
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,AA,0,Museum Plantin-Moretus,tg:mpmph:21,https://data.museumplantinmoretus.be/ark:/11975/32b561ba-598d-5dbe-9489-35948ec95d3c,Foto's
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,AA,0,Museum Plantin-Moretus,tg:mpmph:88,https://data.museumplantinmoretus.be/ark:/11975/037115d1-f4fd-5466-9669-a426c185e2ac,Foto's
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,AA,0,Museum Plantin-Moretus,tg:mpmph:98,https://data.museumplantinmoretus.be/ark:/11975/020d937c-b7b1-5ae0-9241-74fd925008ba,Foto's
e272703b-d5a8-58f6-99cc-7b327f7488d7,tg:mpmph:108,AA,0,Museum Plantin-Moretus,tg:mpmph:108,https://data.museumplantinmoretus.be/ark:/11975/e272703b-d5a8-58f6-99cc-7b327f7488d7,Foto's
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,tg:mpmph:53,AA,0,Museum Plantin-Moretus,tg:mpmph:53,https://data.museumplantinmoretus.be/ark:/11975/48a416aa-fd0c-5b4d-88b8-8491c78d09c4,Foto's
7bdeae05-9a01-5c7a-baba-17b7d04d3200,tg:mpmph:43,AA,0,Museum Plantin-Moretus,tg:mpmph:43,https://data.museumplantinmoretus.be/ark:/11975/7bdeae05-9a01-5c7a-baba-17b7d04d3200,Foto's
cf10feed-9f60-5d97-9a97-6f221a03c746,tg:mpmph:101,AA,0,Museum Plantin-Moretus,tg:mpmph:101,https://data.museumplantinmoretus.be/ark:/11975/cf10feed-9f60-5d97-9a97-6f221a03c746,Foto's
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,tg:mpmph:28,AA,0,Museum Plantin-Moretus,tg:mpmph:28,https://data.museumplantinmoretus.be/ark:/11975/69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,Foto's
1f65494d-9c65-535d-bcb1-a04cf80de46f,tg:mpmph:38,AA,0,Museum Plantin-Moretus,tg:mpmph:38,https://data.museumplantinmoretus.be/ark:/11975/1f65494d-9c65-535d-bcb1-a04cf80de46f,Foto's
b2b20816-1148-5965-89d9-95c6cfe2d0ab,tg:mpmph:91,AA,0,Museum Plantin-Moretus,tg:mpmph:91,https://data.museumplantinmoretus.be/ark:/11975/b2b20816-1148-5965-89d9-95c6cfe2d0ab,Foto's
05915d97-808a-5322-ab95-3721b82d4af5,tg:mpmph:81,AA,0,Museum Plantin-Moretus,tg:mpmph:81,https://data.museumplantinmoretus.be/ark:/11975/05915d97-808a-5322-ab95-3721b82d4af5,Foto's
12f6e1a1-833b-5a83-84fa-b7faf7a7386e,tg:mpmph:75,AA,0,Museum Plantin-Moretus,tg:mpmph:75,https://data.museumplantinmoretus.be/ark:/11975/12f6e1a1-833b-5a83-84fa-b7faf7a7386e,Foto's
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,AA,0,Museum Plantin-Moretus,tg:mpmph:65,https://data.museumplantinmoretus.be/ark:/11975/c6ce51c0-0db0-5a1f-9fb7-361349dd4840,Foto's
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,AA,0,Museum Plantin-Moretus,tg:mpmph:100,https://data.museumplantinmoretus.be/ark:/11975/f022dc4f-36b1-5a66-80aa-9944797a9e37,Foto's
