ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type
c285eabe-bdd8-5fa8-be09-e0d2398c5947,tg:mpmph:31,e73_Copyrights,1960,2075,In Copyright
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,e73_Copyrights,1960,2075,In Copyright
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,e73_Copyrights,1960,2075,In Copyright
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_Copyrights,1960,2075,In Copyright
e272703b-d5a8-58f6-99cc-7b327f7488d7,tg:mpmph:108,e73_Copyrights,1960,2075,In Copyright
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,tg:mpmph:53,e73_Copyrights,1960,2075,In Copyright
7bdeae05-9a01-5c7a-baba-17b7d04d3200,tg:mpmph:43,e73_Copyrights,1960,2075,In Copyright
cf10feed-9f60-5d97-9a97-6f221a03c746,tg:mpmph:101,e73_Copyrights,1960,2075,In Copyright
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,tg:mpmph:28,e73_Copyrights,1960,2075,In Copyright
1f65494d-9c65-535d-bcb1-a04cf80de46f,tg:mpmph:38,e73_Copyrights,1960,2075,In Copyright
b2b20816-1148-5965-89d9-95c6cfe2d0ab,tg:mpmph:91,e73_Copyrights,1960,2075,In Copyright
05915d97-808a-5322-ab95-3721b82d4af5,tg:mpmph:81,e73_Copyrights,1960,2075,In Copyright
12f6e1a1-833b-5a83-84fa-b7faf7a7386e,tg:mpmph:75,e73_Copyrights,1960,2075,In Copyright
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,e73_Copyrights,1960,2075,In Copyright
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,e73_Copyrights,1960,2075,In Copyright
b4182975-61f9-5203-a727-dd5c0ad07f18,tg:mpmph:110,e73_Copyrights,1960,2075,In Copyright
2d0bf567-5768-5791-b31c-86e0269b9dd9,tg:mpmph:80,e73_Copyrights,1960,2075,In Copyright
742c8708-ac9b-5dd4-aed5-96cfafdf58d6,tg:mpmph:90,e73_Copyrights,1960,2075,In Copyright
ca1cf717-87de-593d-879d-bbc322cc0af3,tg:mpmph:39,e73_Copyrights,1960,2075,In Copyright
98ede7e9-04cf-5572-9050-3c38ff08333c,tg:mpmph:29,e73_Copyrights,1960,2075,In Copyright
9ec5ab15-587a-5306-91c2-1fec1c22f42b,tg:mpmph:64,e73_Copyrights,1960,2075,In Copyright
46878d5c-014a-56a9-a7f8-35748ffb9d8a,tg:mpmph:74,e73_Copyrights,1960,2075,In Copyright
68a09ff2-b4bf-5cc1-979b-96655a7771a5,tg:mpmph:16,e73_Copyrights,1939,2054,In Copyright
bbe4a999-e119-5460-a0bd-2ef6005b0c19,tg:mpmph:99,e73_Copyrights,1960,2075,In Copyright
136b5024-824a-5852-aade-a50bef89e1b1,tg:mpmph:89,e73_Copyrights,1960,2075,In Copyright
81aaae21-7028-5bcd-9dbb-dbccaa22064f,tg:mpmph:20,e73_Copyrights,1960,2075,In Copyright
446ac2b9-2e36-563c-9e73-2d747408702a,tg:mpmph:30,e73_Copyrights,1960,2075,In Copyright
ad8368fa-2ee2-55e7-b70e-b62a812b56ae,tg:mpmph:42,e73_Copyrights,1960,2075,In Copyright
22cdd8f7-6cf3-55fe-aa04-5b7efa7b9ff4,tg:mpmph:52,e73_Copyrights,1960,2075,In Copyright
1616a1ee-ecef-5dc0-a725-4482623bfc55,tg:mpmph:109,e73_Copyrights,1960,2075,In Copyright
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,e73_Copyrights,1960,2075,In Copyright
c417b291-2b00-5e32-8b8b-dbc7063baecb,tg:mpmph:82,e73_Copyrights,1960,2075,In Copyright
88418fac-2c30-5ae1-b7f8-659da144e16c,tg:mpmph:49,e73_Copyrights,1960,2075,In Copyright
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,e73_Copyrights,1960,2075,In Copyright
0601325c-d473-5b61-888a-cfab9bd292d6,tg:mpmph:102,e73_Copyrights,1960,2075,In Copyright
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,e73_Copyrights,1939,2054,In Copyright
