ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
c285eabe-bdd8-5fa8-be09-e0d2398c5947,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000020,referentienummer,False
c285eabe-bdd8-5fa8-be09-e0d2398c5947,e73_LegacyInformation,1,brocade.id,tg:mpmph:31,brocade id,False
c285eabe-bdd8-5fa8-be09-e0d2398c5947,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:31/N,brocade url,False
32b561ba-598d-5dbe-9489-35948ec95d3c,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000010,referentienummer,False
32b561ba-598d-5dbe-9489-35948ec95d3c,e73_LegacyInformation,1,brocade.id,tg:mpmph:21,brocade id,False
32b561ba-598d-5dbe-9489-35948ec95d3c,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:21/N,brocade url,False
037115d1-f4fd-5466-9669-a426c185e2ac,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000077,referentienummer,False
037115d1-f4fd-5466-9669-a426c185e2ac,e73_LegacyInformation,1,brocade.id,tg:mpmph:88,brocade id,False
037115d1-f4fd-5466-9669-a426c185e2ac,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:88/N,brocade url,False
020d937c-b7b1-5ae0-9241-74fd925008ba,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000087,referentienummer,False
020d937c-b7b1-5ae0-9241-74fd925008ba,e73_LegacyInformation,1,brocade.id,tg:mpmph:98,brocade id,False
020d937c-b7b1-5ae0-9241-74fd925008ba,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:98/N,brocade url,False
e272703b-d5a8-58f6-99cc-7b327f7488d7,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000097,referentienummer,False
e272703b-d5a8-58f6-99cc-7b327f7488d7,e73_LegacyInformation,1,brocade.id,tg:mpmph:108,brocade id,False
e272703b-d5a8-58f6-99cc-7b327f7488d7,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:108/N,brocade url,False
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000042,referentienummer,False
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,e73_LegacyInformation,1,brocade.id,tg:mpmph:53,brocade id,False
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:53/N,brocade url,False
7bdeae05-9a01-5c7a-baba-17b7d04d3200,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000032,referentienummer,False
7bdeae05-9a01-5c7a-baba-17b7d04d3200,e73_LegacyInformation,1,brocade.id,tg:mpmph:43,brocade id,False
7bdeae05-9a01-5c7a-baba-17b7d04d3200,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:43/N,brocade url,False
cf10feed-9f60-5d97-9a97-6f221a03c746,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000090,referentienummer,False
cf10feed-9f60-5d97-9a97-6f221a03c746,e73_LegacyInformation,1,brocade.id,tg:mpmph:101,brocade id,False
cf10feed-9f60-5d97-9a97-6f221a03c746,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:101/N,brocade url,False
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000017,referentienummer,False
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,e73_LegacyInformation,1,brocade.id,tg:mpmph:28,brocade id,False
