ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier
001ccf13-ea5e-5182-902a-d87234a810c5,tg:mpmph:31_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:31_#1,https://data.museumplantinmoretus.be/ark:/11975/001ccf13-ea5e-5182-902a-d87234a810c5
44c64192-38c7-592c-bad7-d324bbe2cc23,tg:mpmph:21_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:21_#1,https://data.museumplantinmoretus.be/ark:/11975/44c64192-38c7-592c-bad7-d324bbe2cc23
e34d429a-2a8b-5fe9-a31e-b09e056a56d9,tg:mpmph:88_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:88_#1,https://data.museumplantinmoretus.be/ark:/11975/e34d429a-2a8b-5fe9-a31e-b09e056a56d9
fe30a6aa-d431-5847-9e14-02977c4b1be2,tg:mpmph:98_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:98_#1,https://data.museumplantinmoretus.be/ark:/11975/fe30a6aa-d431-5847-9e14-02977c4b1be2
79b70912-1571-534c-9854-e4a97180a755,tg:mpmph:108_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:108_#1,https://data.museumplantinmoretus.be/ark:/11975/79b70912-1571-534c-9854-e4a97180a755
9923cae1-3504-5e83-b3e0-c88424cb6e45,tg:mpmph:53_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:53_#1,https://data.museumplantinmoretus.be/ark:/11975/9923cae1-3504-5e83-b3e0-c88424cb6e45
3a2fca02-413e-55d6-9884-53909ae05518,tg:mpmph:43_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:43_#1,https://data.museumplantinmoretus.be/ark:/11975/3a2fca02-413e-55d6-9884-53909ae05518
bb226f0f-bd14-5144-838a-8547f916a46c,tg:mpmph:101_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:101_#1,https://data.museumplantinmoretus.be/ark:/11975/bb226f0f-bd14-5144-838a-8547f916a46c
7c593b11-17ee-5c52-918e-2fc0f2fa9244,tg:mpmph:28_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:28_#1,https://data.museumplantinmoretus.be/ark:/11975/7c593b11-17ee-5c52-918e-2fc0f2fa9244
ec05a67f-760c-5f02-a723-d48b9bf3441f,tg:mpmph:38_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:38_#1,https://data.museumplantinmoretus.be/ark:/11975/ec05a67f-760c-5f02-a723-d48b9bf3441f
bd89fb79-515d-5c68-91f9-502ff423fd9a,tg:mpmph:91_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:91_#1,https://data.museumplantinmoretus.be/ark:/11975/bd89fb79-515d-5c68-91f9-502ff423fd9a
df382509-0db8-5e99-837f-966fcbc3e743,tg:mpmph:81_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:81_#1,https://data.museumplantinmoretus.be/ark:/11975/df382509-0db8-5e99-837f-966fcbc3e743
7ba7b2c9-768c-5148-98cd-5b5669f97f16,tg:mpmph:75_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:75_#1,https://data.museumplantinmoretus.be/ark:/11975/7ba7b2c9-768c-5148-98cd-5b5669f97f16
2c9fb700-6b31-54c6-a149-fb65a510cc6f,tg:mpmph:65_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:65_#1,https://data.museumplantinmoretus.be/ark:/11975/2c9fb700-6b31-54c6-a149-fb65a510cc6f
4f444090-50f1-582a-9a2b-fa430307a70c,tg:mpmph:100_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:100_#1,https://data.museumplantinmoretus.be/ark:/11975/4f444090-50f1-582a-9a2b-fa430307a70c
70c21c45-3f92-5dc7-ae3c-8e650c96670a,tg:mpmph:110_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:110_#1,https://data.museumplantinmoretus.be/ark:/11975/70c21c45-3f92-5dc7-ae3c-8e650c96670a
e2184164-9516-51e5-817a-db86425e2ad1,tg:mpmph:80_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:80_#1,https://data.museumplantinmoretus.be/ark:/11975/e2184164-9516-51e5-817a-db86425e2ad1
57a9ed2e-e46e-52ec-b3e1-68bb09d369b1,tg:mpmph:90_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:90_#1,https://data.museumplantinmoretus.be/ark:/11975/57a9ed2e-e46e-52ec-b3e1-68bb09d369b1
39907cb5-f8d4-5341-b387-6d8aa2c722f2,tg:mpmph:39_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:39_#1,https://data.museumplantinmoretus.be/ark:/11975/39907cb5-f8d4-5341-b387-6d8aa2c722f2
6b687c2b-864c-5ca0-b6ee-59f294a812e8,tg:mpmph:29_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:29_#1,https://data.museumplantinmoretus.be/ark:/11975/6b687c2b-864c-5ca0-b6ee-59f294a812e8
53ec7d83-adc4-531a-9217-fe7d8ac4eb08,tg:mpmph:64_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:64_#1,https://data.museumplantinmoretus.be/ark:/11975/53ec7d83-adc4-531a-9217-fe7d8ac4eb08
24d14f81-9d39-5f8d-a31b-5f3c4e1645cb,tg:mpmph:74_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:74_#1,https://data.museumplantinmoretus.be/ark:/11975/24d14f81-9d39-5f8d-a31b-5f3c4e1645cb
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:16_#1,https://data.museumplantinmoretus.be/ark:/11975/441c824c-45cf-515d-a021-27e089d7928a
378a644e-0606-528a-843b-6e916bf39902,tg:mpmph:99_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:99_#1,https://data.museumplantinmoretus.be/ark:/11975/378a644e-0606-528a-843b-6e916bf39902
83d22bbb-ed76-5e38-b341-abea61ef1beb,tg:mpmph:89_#1,AA,0,Museum Plantin-Moretus,tg:mpmph:89_#1,https://data.museumplantinmoretus.be/ark:/11975/83d22bbb-ed76-5e38-b341-abea61ef1beb
