ResourceID,brocade.id,card,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,Places,1,id/place.place,[Haarlem?],remarks,Nederlands,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,Places,1,id/place.place,[Leiden],remarks,Nederlands,,
e272703b-d5a8-58f6-99cc-7b327f7488d7,tg:mpmph:108,Places,1,id/place.place,[Amsterdam],remarks,Nederlands,,
b2b20816-1148-5965-89d9-95c6cfe2d0ab,tg:mpmph:91,Places,1,id/place.place,[Haarlem],remarks,Nederlands,,
05915d97-808a-5322-ab95-3721b82d4af5,tg:mpmph:81,Places,1,id/place.place,[Amsterdam],remarks,Nederlands,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,tg:mpmph:100,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
b4182975-61f9-5203-a727-dd5c0ad07f18,tg:mpmph:110,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
742c8708-ac9b-5dd4-aed5-96cfafdf58d6,tg:mpmph:90,Places,1,id/place.place,[Haarlem],remarks,Nederlands,,
68a09ff2-b4bf-5cc1-979b-96655a7771a5,tg:mpmph:16,Places,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
136b5024-824a-5852-aade-a50bef89e1b1,tg:mpmph:89,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
1616a1ee-ecef-5dc0-a725-4482623bfc55,tg:mpmph:109,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,Places,1,id/place.place,[Leiden],remarks,Nederlands,,
c417b291-2b00-5e32-8b8b-dbc7063baecb,tg:mpmph:82,Places,1,id/place.place,['s-Gravenhage],remarks,Nederlands,,
0601325c-d473-5b61-888a-cfab9bd292d6,tg:mpmph:102,Places,1,id/place.place,[Amsterdam],remarks,Nederlands,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,Places,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
446b3528-00c5-567d-b487-16c664daba1b,tg:mpmph:66,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
