ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_Dimensions,kenmerken.mpmformatph,180,hoogte,millimeter
441c824c-45cf-515d-a021-27e089d7928a,tg:mpmph:16_#1,e22_Dimensions,kenmerken.mpmformatph,246,breedte,millimeter
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_Dimensions,kenmerken.mpmformatph,175,hoogte,millimeter
c69d0e47-9009-53bb-ad77-2e33fd199b30,tg:mpmph:14_#1,e22_Dimensions,kenmerken.mpmformatph,233,breedte,millimeter
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_Dimensions,kenmerken.mpmformatph,94,hoogte,millimeter
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_Dimensions,kenmerken.mpmformatph,153,breedte,millimeter
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_Dimensions,kenmerken.mpmformatph,182,hoogte,millimeter
8f71b843-ee7e-5121-bd20-f1741e59f3ed,tg:mpmph:11_#1,e22_Dimensions,kenmerken.mpmformatph,240,breedte,millimeter
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_Dimensions,kenmerken.mpmformatph,112,hoogte,millimeter
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,e22_Dimensions,kenmerken.mpmformatph,175,breedte,millimeter
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_Dimensions,kenmerken.mpmformatph,175,hoogte,millimeter
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_Dimensions,kenmerken.mpmformatph,234,breedte,millimeter
