ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget (nl),Archive Identifier
001ccf13-ea5e-5182-902a-d87234a810c5,tg:mpmph:31_#1,e22_Archives,1,isad:mpm:916,"dlod={""name"":""Microfilms"",""ark"":""ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a"",""uri"":""/repositories/10/archival_objects/98013"",""id"":""isad:mpm:916"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig"",""Oude drukken""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Microfilms"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a
44c64192-38c7-592c-bad7-d324bbe2cc23,tg:mpmph:21_#1,e22_Archives,1,isad:mpm:916,"dlod={""name"":""Microfilms"",""ark"":""ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a"",""uri"":""/repositories/10/archival_objects/98013"",""id"":""isad:mpm:916"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig"",""Oude drukken""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Microfilms"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a
e34d429a-2a8b-5fe9-a31e-b09e056a56d9,tg:mpmph:88_#1,e22_Archives,1,isad:mpm:686,"dlod={""name"":""Letterproeven"",""ark"":""ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7"",""uri"":""/repositories/10/archival_objects/73403"",""id"":""isad:mpm:686"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Letterproeven"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7
fe30a6aa-d431-5847-9e14-02977c4b1be2,tg:mpmph:98_#1,e22_Archives,1,isad:mpm:686,"dlod={""name"":""Letterproeven"",""ark"":""ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7"",""uri"":""/repositories/10/archival_objects/73403"",""id"":""isad:mpm:686"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Letterproeven"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7
79b70912-1571-534c-9854-e4a97180a755,tg:mpmph:108_#1,e22_Archives,1,isad:mpm:686,"dlod={""name"":""Letterproeven"",""ark"":""ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7"",""uri"":""/repositories/10/archival_objects/73403"",""id"":""isad:mpm:686"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Letterproeven"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7
9923cae1-3504-5e83-b3e0-c88424cb6e45,tg:mpmph:53_#1,e22_Archives,1,isad:mpm:916,"dlod={""name"":""Microfilms"",""ark"":""ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a"",""uri"":""/repositories/10/archival_objects/98013"",""id"":""isad:mpm:916"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig"",""Oude drukken""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Microfilms"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a
3a2fca02-413e-55d6-9884-53909ae05518,tg:mpmph:43_#1,e22_Archives,1,isad:mpm:916,"dlod={""name"":""Microfilms"",""ark"":""ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a"",""uri"":""/repositories/10/archival_objects/98013"",""id"":""isad:mpm:916"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig"",""Oude drukken""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Microfilms"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a
bb226f0f-bd14-5144-838a-8547f916a46c,tg:mpmph:101_#1,e22_Archives,1,isad:mpm:686,"dlod={""name"":""Letterproeven"",""ark"":""ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7"",""uri"":""/repositories/10/archival_objects/73403"",""id"":""isad:mpm:686"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Letterproeven"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/61fc57dd-5655-512b-a053-589c838f25a7
7c593b11-17ee-5c52-918e-2fc0f2fa9244,tg:mpmph:28_#1,e22_Archives,1,isad:mpm:916,"dlod={""name"":""Microfilms"",""ark"":""ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a"",""uri"":""/repositories/10/archival_objects/98013"",""id"":""isad:mpm:916"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig"",""Oude drukken""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Microfilms"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a
ec05a67f-760c-5f02-a723-d48b9bf3441f,tg:mpmph:38_#1,e22_Archives,1,isad:mpm:916,"dlod={""name"":""Microfilms"",""ark"":""ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a"",""uri"":""/repositories/10/archival_objects/98013"",""id"":""isad:mpm:916"",""nameWithContext"":[""Reproducties van letterspecimens"",""Volledig"",""Oude drukken""],""resourceName"":""Archief van ~[Hendrik Vervliet](au::19884)~"",""resourceArk"":""ark:/11975/x0/c9613ffc-fc5a-5703-95ce-079104a04a0b"",""resourceURI"":""/repositories/10/resources/71691"",""resourceID"":""isad:mpm:670"",""capacity"":""Microfilms"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/f7d5d700-e526-5453-8387-9d3fc72a6b4a
