ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Title Language,Record Type,Description Type,Description Language,Description
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,object identifier,tg:mmbdc:5,record identifiers,MMB.A.1193,constructed titles,Uitnodiging: Huwelijk Ghislaine Mayer van den Bergh met Robert de Roest d'Alkemade,Dutch (language),Documenten,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_Copyrights,tg:mmbdc:5,,begindatum,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_MaterialRecords,tg:mmbdc:5,1,,,,,,,03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,"[{""resourceId"": ""03e4637b-85a7-56bb-a14e-79f36c830407"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5daeb31b-e2f7-4d9e-9795-e9fdc6b189f8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,object identifier,tg:mmbdc:44,record identifiers,MMB.A.1284,constructed titles,Uitnodiging voor een diner en menu,Dutch (language),Documenten,descriptive note,Nederlands,Diner die plaatsvond in de 'Taveerne geheeten den Aenghenaemen Hoff in tsoo-geseydt Oudt Antwerpen'
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_Copyrights,tg:mmbdc:44,,begindatum,,,,,,,,,1894,No Known Copyright,2009,,,,,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_MaterialRecords,tg:mmbdc:44,1,,,,,,,6a5231b7-ae21-565f-9c19-f9f5624a6ddd,tg:mmbdc:44_#1,"[{""resourceId"": ""6a5231b7-ae21-565f-9c19-f9f5624a6ddd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e5b3ad9-51af-4aed-8b4d-8e09b534b52e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
01387253-bbda-50a3-8790-18c69b47734d,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/01387253-bbda-50a3-8790-18c69b47734d,object identifier,tg:mmbdc:1,record identifiers,MMB.A.1189,constructed titles,Communiekaartje,Dutch (language),Documenten,,,
01387253-bbda-50a3-8790-18c69b47734d,e73_Copyrights,tg:mmbdc:1,,begindatum,,,,,,,,,1902,No Known Copyright,2017,,,,,,,,,,,,
01387253-bbda-50a3-8790-18c69b47734d,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
01387253-bbda-50a3-8790-18c69b47734d,e73_MaterialRecords,tg:mmbdc:1,1,,,,,,,276ac32f-6efb-5018-81e5-6c720c63ec86,tg:mmbdc:1_#1,"[{""resourceId"": ""276ac32f-6efb-5018-81e5-6c720c63ec86"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6bae2ca4-5147-4f26-bf83-9476c3e85dad"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0476e0a0-d09a-5804-ba82-deb196a90f13,object identifier,tg:mmbdc:159,record identifiers,MMB.A.2498,constructed titles,Inventaris: Werken uit de collectie Micheli,Dutch (language),Documenten,descriptive note,Nederlands,Collectie aangekocht in Parijs 1898
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_Copyrights,tg:mmbdc:159,,begindatum,,,,,,,,,1898,No Known Copyright,2013,,,,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_MaterialRecords,tg:mmbdc:159,1,,,,,,,97ba37de-55f5-57ce-ad51-8119e6255eda,tg:mmbdc:159_#1,"[{""resourceId"": ""97ba37de-55f5-57ce-ad51-8119e6255eda"", ""ontologyProperty"": """", ""resourceXresourceId"": ""34c0c020-55d2-4183-9186-aae333d3a3b5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/05df2589-1585-5594-bc8a-31b756a2b8f6,object identifier,tg:mmbdc:69,record identifiers,MMB.A.1460,constructed titles,Rekening bureaubenodigdheden voor de Sint Henricusstichting,Dutch (language),Documenten,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_Copyrights,tg:mmbdc:69,,begindatum,,,,,,,,,1904,No Known Copyright,2019,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_MaterialRecords,tg:mmbdc:69,1,,,,,,,46e853d2-29f4-57b5-b107-bff761144d70,tg:mmbdc:69_#1,"[{""resourceId"": ""46e853d2-29f4-57b5-b107-bff761144d70"", ""ontologyProperty"": """", ""resourceXresourceId"": ""711980c5-ba25-4de0-831a-36bac82cdc9b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
