ResourceID,mmb_id_mat,card,order,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,Image URL,Image Manifest,Image Manifest Type,Image URL Type,au_code,au_name,Production Actor Role,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Material,Carrier Type,Material Colour,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
021df5ca-73c7-53b1-be94-f706e7de97ed,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:9_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/021df5ca-73c7-53b1-be94-f706e7de97ed,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2508,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/M1BcUbrY9XPRU8QgSUmcP51V,https://dams.antwerpen.be/iiif/M1BcUbrY9XPRU8QgSUmcP51V/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:12_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2511,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
