ResourceID,mmb_id_mat,card,order,Image URL,Image Manifest,Image Manifest Type,Image URL Type
533382a9-575a-5833-b604-67b59652ea7c,tg:mmbbr:1578_#1,e22_Images,1,https://dams.antwerpen.be/asset/DcY2ZSSf7pNNXqfhbjwm3Z3H,https://dams.antwerpen.be/iiif/DcY2ZSSf7pNNXqfhbjwm3Z3H/manifest,DAMS Manifest,DAMS Image
7944777a-a83c-5fd7-bf35-e6d3ae388e28,tg:mmbbr:1579_#1,e22_Images,1,https://dams.antwerpen.be/asset/IXRWkCgAQeIXGWkYUmUuXv44,https://dams.antwerpen.be/iiif/IXRWkCgAQeIXGWkYUmUuXv44/manifest,DAMS Manifest,DAMS Image
d8bb9d6f-75a1-5daf-a48a-ca84518e1b1f,tg:mmbbr:1580_#1,e22_Images,1,https://dams.antwerpen.be/asset/V1ZsCoOUncWtMaZfbUdzqerb,https://dams.antwerpen.be/iiif/V1ZsCoOUncWtMaZfbUdzqerb/manifest,DAMS Manifest,DAMS Image
dd5be8f3-22bd-5806-9f32-d74ba1e4fe17,tg:mmbbr:1654_#1,e22_Images,1,https://dams.antwerpen.be/asset/K1p8HVfbhWnUuCfsOIPCdBfY,https://dams.antwerpen.be/iiif/K1p8HVfbhWnUuCfsOIPCdBfY/manifest,DAMS Manifest,DAMS Image
23e37905-4232-5923-9d60-da3fd825788d,tg:mmbbr:1655_#1,e22_Images,1,https://dams.antwerpen.be/asset/V28LfXYjWVKOTDLdldQ1ZRHj,https://dams.antwerpen.be/iiif/V28LfXYjWVKOTDLdldQ1ZRHj/manifest,DAMS Manifest,DAMS Image
a83726a1-58bf-5d52-88b3-b5e78eef6895,tg:mmbbr:1640_#1,e22_Images,1,https://dams.antwerpen.be/asset/g1W7KI6MUWT8NwPRwfLCCcCf,https://dams.antwerpen.be/iiif/g1W7KI6MUWT8NwPRwfLCCcCf/manifest,DAMS Manifest,DAMS Image
92390240-7df4-58f8-bafa-48e3f9386a5f,tg:mmbbr:1641_#1,e22_Images,1,https://dams.antwerpen.be/asset/b2RYFbXRdkWmdLcGlsclzXJW,https://dams.antwerpen.be/iiif/b2RYFbXRdkWmdLcGlsclzXJW/manifest,DAMS Manifest,DAMS Image
c62a18b1-ed1d-5259-855d-467af4a25e06,tg:mmbbr:1642_#1,e22_Images,1,https://dams.antwerpen.be/asset/iPGmHMaxYIk8aYaeBhkXfCAJ,https://dams.antwerpen.be/iiif/iPGmHMaxYIk8aYaeBhkXfCAJ/manifest,DAMS Manifest,DAMS Image
914b0932-c2dd-541c-ae11-f33af13d5bb8,tg:mmbbr:1643_#1,e22_Images,1,https://dams.antwerpen.be/asset/T9AQUr4FeaAggEKKSaqxsaQO,https://dams.antwerpen.be/iiif/T9AQUr4FeaAggEKKSaqxsaQO/manifest,DAMS Manifest,DAMS Image
8da6f9c9-7af6-566d-aa5d-c3354a78528d,tg:mmbbr:1644_#1,e22_Images,1,https://dams.antwerpen.be/asset/K1h7LpMNasUKgtSfGdb5qzc2,https://dams.antwerpen.be/iiif/K1h7LpMNasUKgtSfGdb5qzc2/manifest,DAMS Manifest,DAMS Image
