ResourceID,mmb_id_mat,card,order,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget
533382a9-575a-5833-b604-67b59652ea7c,tg:mmbbr:1578_#1,e22_ProductionActors,1,au::115207:1,"Mayer van den Bergh, Henriëtte",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}"
533382a9-575a-5833-b604-67b59652ea7c,tg:mmbbr:1578_#1,e22_ProductionActors,2,au::13948:1,"Offel, Edmond van",recipients (people),,"dlod={""suggest"":[""/agents/people/1492436"",""au::13948"",""au::13948:1"",""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""Edmond van Offel""],""name"":""Edmond van Offel"",""ark"":""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""uri"":""/agents/people/1492436"",""id"":""au::13948:1"",""isCapacity"":false}"
7944777a-a83c-5fd7-bf35-e6d3ae388e28,tg:mmbbr:1579_#1,e22_ProductionActors,1,au::115207:1,"Mayer van den Bergh, Henriëtte",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}"
7944777a-a83c-5fd7-bf35-e6d3ae388e28,tg:mmbbr:1579_#1,e22_ProductionActors,2,au::13948:1,"Offel, Edmond van",recipients (people),,"dlod={""suggest"":[""/agents/people/1492436"",""au::13948"",""au::13948:1"",""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""Edmond van Offel""],""name"":""Edmond van Offel"",""ark"":""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""uri"":""/agents/people/1492436"",""id"":""au::13948:1"",""isCapacity"":false}"
d8bb9d6f-75a1-5daf-a48a-ca84518e1b1f,tg:mmbbr:1580_#1,e22_ProductionActors,1,au::115207:1,"Mayer van den Bergh, Henriëtte",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}"
d8bb9d6f-75a1-5daf-a48a-ca84518e1b1f,tg:mmbbr:1580_#1,e22_ProductionActors,2,au::13948:1,"Offel, Edmond van",recipients (people),,"dlod={""suggest"":[""/agents/people/1492436"",""au::13948"",""au::13948:1"",""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""Edmond van Offel""],""name"":""Edmond van Offel"",""ark"":""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""uri"":""/agents/people/1492436"",""id"":""au::13948:1"",""isCapacity"":false}"
dd5be8f3-22bd-5806-9f32-d74ba1e4fe17,tg:mmbbr:1654_#1,e22_ProductionActors,1,au::12085:1,"Mayer van den Bergh, Fritz",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
dd5be8f3-22bd-5806-9f32-d74ba1e4fe17,tg:mmbbr:1654_#1,e22_ProductionActors,2,au::13948:1,"Offel, Edmond van",recipients (people),,"dlod={""suggest"":[""/agents/people/1492436"",""au::13948"",""au::13948:1"",""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""Edmond van Offel""],""name"":""Edmond van Offel"",""ark"":""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""uri"":""/agents/people/1492436"",""id"":""au::13948:1"",""isCapacity"":false}"
23e37905-4232-5923-9d60-da3fd825788d,tg:mmbbr:1655_#1,e22_ProductionActors,1,au::12085:1,"Mayer van den Bergh, Fritz",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
23e37905-4232-5923-9d60-da3fd825788d,tg:mmbbr:1655_#1,e22_ProductionActors,2,au::13948:1,"Offel, Edmond van",recipients (people),,"dlod={""suggest"":[""/agents/people/1492436"",""au::13948"",""au::13948:1"",""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""Edmond van Offel""],""name"":""Edmond van Offel"",""ark"":""ark:/83110/x0/7b2e75b2-d5fd-5e1a-8389-2558e3bbd0dc"",""uri"":""/agents/people/1492436"",""id"":""au::13948:1"",""isCapacity"":false}"
