ResourceID,mmb_id,card,source_field,source_date,Copyright Type,Copyright Revision Date
97a23410-3c6f-5dc2-8f3f-6615bfcbbc0f,tg:mmbbr:1579,e73_Copyrights,begindatum,1901,No Known Copyright,2016
880622da-d084-5086-bfd9-1c02532f5898,tg:mmbbr:1580,e73_Copyrights,begindatum,1901,No Known Copyright,2016
46b4d285-0acc-5415-a751-9ad3fb24246d,tg:mmbbr:1655,e73_Copyrights,begindatum,uuuu,Copyright Undetermined,
528b3328-2900-5880-98fa-15f34402e479,tg:mmbbr:1641,e73_Copyrights,begindatum,1895,No Known Copyright,2010
842354d0-e967-56cb-ac2f-b15846f60c3c,tg:mmbbr:1642,e73_Copyrights,begindatum,1895,No Known Copyright,2010
be1b49ba-639d-5df5-86dd-1ae3554bc41e,tg:mmbbr:1643,e73_Copyrights,begindatum,1900,No Known Copyright,2015
d3badfc9-d911-586c-b934-b5cf745e33e0,tg:mmbbr:1644,e73_Copyrights,begindatum,1898,No Known Copyright,2013
f9444421-69f1-5f84-b4de-81709dd1ad3a,tg:mmbbr:1645,e73_Copyrights,begindatum,1900,No Known Copyright,2015
15ba2f17-7c39-576d-9624-8c2466ee53e3,tg:mmbbr:1646,e73_Copyrights,begindatum,uuuu,Copyright Undetermined,
33488051-8dd5-50f6-a419-219ae1c03436,tg:mmbbr:2537,e73_Copyrights,begindatum,1865,No Copyright - Public Domain Mark 1.0,1980
d6d6d0bc-ad90-544f-ac68-cf55ea45d4a4,tg:mmbbr:2538,e73_Copyrights,begindatum,1853,No Copyright - Public Domain Mark 1.0,1968
edbbcd41-0cfc-5d1d-897a-3250066999a0,tg:mmbbr:2539,e73_Copyrights,begindatum,1872,No Copyright - Public Domain Mark 1.0,1987
8c20518f-4b96-5830-89f0-bca6ca8328c3,tg:mmbbr:2540,e73_Copyrights,begindatum,uuuu,Copyright Undetermined,
ca6f1b8f-80ed-5de5-9906-79a999cf2155,tg:mmbbr:2542,e73_Copyrights,begindatum,1872,No Copyright - Public Domain Mark 1.0,1987
4e6358fd-11e3-5251-ab7d-90eea01d38c1,tg:mmbbr:2544,e73_Copyrights,begindatum,1881,No Copyright - Public Domain Mark 1.0,1996
12d7283a-bd25-5788-8e96-18afb55e0529,tg:mmbbr:2545,e73_Copyrights,begindatum,1870,No Copyright - Public Domain Mark 1.0,1985
66ffda5f-c3b3-5947-8924-6fee7751192f,tg:mmbbr:2546,e73_Copyrights,begindatum,1874,No Copyright - Public Domain Mark 1.0,1989
75c348f5-8141-5650-aff9-fa488aa048de,tg:mmbbr:2547,e73_Copyrights,begindatum,1876,No Copyright - Public Domain Mark 1.0,1991
052e6e88-8c3b-5624-9bb5-96f192471e83,tg:mmbbr:2548,e73_Copyrights,begindatum,1853,No Copyright - Public Domain Mark 1.0,1968
70cf22c0-d89d-5ac3-9670-3f354c523390,tg:mmbbr:2549,e73_Copyrights,begindatum,1853,No Copyright - Public Domain Mark 1.0,1968
ef441917-ec66-5dfb-81dc-38f0ecd4ce39,tg:mmbbr:2522,e73_Copyrights,begindatum,1853,No Copyright - Public Domain Mark 1.0,1968
1920c57b-9033-5162-88bd-b696bb6a5631,tg:mmbbr:2523,e73_Copyrights,begindatum,1853,No Copyright - Public Domain Mark 1.0,1968
91348b3a-ac3e-54e1-8b68-e27fdaf9fd67,tg:mmbbr:2526,e73_Copyrights,begindatum,1872,No Copyright - Public Domain Mark 1.0,1987
a380cd2a-a437-5cee-afaf-bedd5f100314,tg:mmbbr:2528,e73_Copyrights,begindatum,1872,No Copyright - Public Domain Mark 1.0,1987
557d8927-2ab9-59a0-bc4b-007137dac68f,tg:mmbbr:2531,e73_Copyrights,begindatum,1879,No Copyright - Public Domain Mark 1.0,1994
974d8792-1798-5f8c-b991-eaf9f7744145,tg:mmbbr:2532,e73_Copyrights,begindatum,1873,No Copyright - Public Domain Mark 1.0,1988
911f9409-234d-5510-b4a7-e1490de07ce7,tg:mmbbr:2535,e73_Copyrights,begindatum,1870,No Copyright - Public Domain Mark 1.0,1985
6e29b545-baaf-57e3-aeea-9f00c1246ea6,tg:mmbbr:2536,e73_Copyrights,begindatum,1872,No Copyright - Public Domain Mark 1.0,1987
