ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type
ead18356-4451-5d74-b7da-1a2a23288625,e73_ExternalRelations,tg:mmbbr:1654,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0618,gerelateerd object,uniform resource locators
ead18356-4451-5d74-b7da-1a2a23288625,e73_ExternalRelations,tg:mmbbr:1654,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/ucucfKBAUbkhLbGbd0GAre5e,gerelateerd object,DAMS Archief
97e33dbc-7d55-53e1-ac59-f18338944a33,e73_ExternalRelations,tg:mmbbr:1640,2,externe relaties 2 [gerelateerde objecten],https://rkd.nl,/nl/explore/images/2142,gerelateerd object,RKDimages
be1b49ba-639d-5df5-86dd-1ae3554bc41e,e73_ExternalRelations,tg:mmbbr:1643,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0232,gerelateerd object,uniform resource locators
be1b49ba-639d-5df5-86dd-1ae3554bc41e,e73_ExternalRelations,tg:mmbbr:1643,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/a1JcPAMUDqgEFaMTML9QDI7I,gerelateerd object,DAMS Archief
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_ExternalRelations,tg:mmbbr:1645,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/U2iTQGSV85hWeQOpWcvGncbw,gerelateerd object,DAMS Archief
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_ExternalRelations,tg:mmbbr:1645,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/toXBavd9IWHFUtgTXTwuGCGM,gerelateerd object,DAMS Archief
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_ExternalRelations,tg:mmbbr:1645,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/asset/Y1UKdNnWXJbWYfZcglqoNEvU,gerelateerd object,DAMS Archief
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_ExternalRelations,tg:mmbbr:1645,5,externe relaties 5 [gerelateerde objecten],https://dams.antwerpen.be,/asset/a1JcPAMUDqgEFaMTML9QDI7I,gerelateerd object,DAMS Archief
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_ExternalRelations,tg:mmbbr:1645,6,externe relaties 6 [gerelateerde objecten],https://dams.antwerpen.be,/asset/L1oLFdJBkVXQs4bDlWa6NNYl,gerelateerd object,DAMS Archief
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_ExternalRelations,tg:mmbbr:1645,7,externe relaties 7 [gerelateerde objecten],https://collections.vam.ac.uk,/item/O70483/st-george-previously-known-as-statuette-mill%C3%A1n-pedro,gerelateerd object,uniform resource locators
eae7745a-9f9c-5e6c-9cc3-5e9a1d0b4825,e73_ExternalRelations,tg:mmbbr:3,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0876,gerelateerd object,uniform resource locators
eae7745a-9f9c-5e6c-9cc3-5e9a1d0b4825,e73_ExternalRelations,tg:mmbbr:3,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/G2VMrWRFYvFGIOOTLPNElwYs,gerelateerd object,DAMS Archief
c2f2bae1-a67b-513f-b735-cb3d5b36eb63,e73_ExternalRelations,tg:mmbbr:4,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0876,gerelateerd object,uniform resource locators
c2f2bae1-a67b-513f-b735-cb3d5b36eb63,e73_ExternalRelations,tg:mmbbr:4,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/G2VMrWRFYvFGIOOTLPNElwYs,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/X2MIIPWUSP4oEZMV7YkRkaBG,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/G2VMrWRFYvFGIOOTLPNElwYs,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/zoeken?search=MMB.0848&fts=0,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,5,externe relaties 5 [gerelateerde objecten],https://dams.antwerpen.be,/zoeken?search=MMB.0871&fts=0,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,6,externe relaties 6 [gerelateerde objecten],https://dams.antwerpen.be,/zoeken?search=MMB.0873&fts=0,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,7,externe relaties 7 [gerelateerde objecten],https://dams.antwerpen.be,/asset/O1lOJUKynW9TNBbCignKsrGR,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,8,externe relaties 8 [gerelateerde objecten],https://dams.antwerpen.be,/asset/v1efdUKPQVacSRYbiZ2EoL9K,gerelateerd object,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_ExternalRelations,tg:mmbbr:5,9,externe relaties 9 [gerelateerde objecten],https://dams.antwerpen.be,/asset/M1l4mEHUSvWQVmZcKj2gSOyh,gerelateerd object,DAMS Archief
ab07241e-2ffd-56cf-8d97-168c23b93822,e73_ExternalRelations,tg:mmbbr:6,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0887,gerelateerd object,uniform resource locators
ab07241e-2ffd-56cf-8d97-168c23b93822,e73_ExternalRelations,tg:mmbbr:6,g_o_2,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0884,gerelateerd object,uniform resource locators
ab07241e-2ffd-56cf-8d97-168c23b93822,e73_ExternalRelations,tg:mmbbr:6,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/k2JbrQGMASILgKbBQc3g8hlB,gerelateerd object,DAMS Archief
ab07241e-2ffd-56cf-8d97-168c23b93822,e73_ExternalRelations,tg:mmbbr:6,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/N1RmEBirmWJBZQMbOksS5vo8,gerelateerd object,DAMS Archief
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,e73_ExternalRelations,tg:mmbbr:7,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0887,gerelateerd object,uniform resource locators
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,e73_ExternalRelations,tg:mmbbr:7,g_o_2,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0884,gerelateerd object,uniform resource locators
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,e73_ExternalRelations,tg:mmbbr:7,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/k2JbrQGMASILgKbBQc3g8hlB,gerelateerd object,DAMS Archief
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,e73_ExternalRelations,tg:mmbbr:7,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/N1RmEBirmWJBZQMbOksS5vo8,gerelateerd object,DAMS Archief
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,e73_ExternalRelations,tg:mmbbr:8,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/D1NSXRcqCyZbocSgWDPdGjML,gerelateerd object,DAMS Archief
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,e73_ExternalRelations,tg:mmbbr:8,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/K2deXnYTYQWeRcZNMnyP5GcS,gerelateerd object,DAMS Archief
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,e73_ExternalRelations,tg:mmbbr:8,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/asset/X16fIGgcKAJQKUlTtNKUcwZ9,gerelateerd object,DAMS Archief
6e37c57a-1e06-5e63-a473-510ab3bb0a35,e73_ExternalRelations,tg:mmbbr:9,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0897,gerelateerd object,uniform resource locators
6e37c57a-1e06-5e63-a473-510ab3bb0a35,e73_ExternalRelations,tg:mmbbr:9,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/K2AIgIbBGujaPSebVTgq4wjR,gerelateerd object,DAMS Archief
1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,e73_ExternalRelations,tg:mmbbr:12,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0215.1-2,gerelateerd object,uniform resource locators
