ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget
533382a9-575a-5833-b604-67b59652ea7c,tg:mmbbr:1578_#1,e22_Acquisitions,1,1955/58 geschonken door Edmond van Offel,
7944777a-a83c-5fd7-bf35-e6d3ae388e28,tg:mmbbr:1579_#1,e22_Acquisitions,1,1955/58 geschonken door Edmond van Offel,
d8bb9d6f-75a1-5daf-a48a-ca84518e1b1f,tg:mmbbr:1580_#1,e22_Acquisitions,1,1955/58 geschonken door Edmond van Offel,
dd5be8f3-22bd-5806-9f32-d74ba1e4fe17,tg:mmbbr:1654_#1,e22_Acquisitions,1,1955/58 geschonken door Edmond van Offel,
23e37905-4232-5923-9d60-da3fd825788d,tg:mmbbr:1655_#1,e22_Acquisitions,1,1955/58 geschonken door Edmond van Offel,
a83726a1-58bf-5d52-88b3-b5e78eef6895,tg:mmbbr:1640_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
92390240-7df4-58f8-bafa-48e3f9386a5f,tg:mmbbr:1641_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
c62a18b1-ed1d-5259-855d-467af4a25e06,tg:mmbbr:1642_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
914b0932-c2dd-541c-ae11-f33af13d5bb8,tg:mmbbr:1643_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
8da6f9c9-7af6-566d-aa5d-c3354a78528d,tg:mmbbr:1644_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
d4259130-52a7-53d6-8742-9ed455db0170,tg:mmbbr:1645_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
28698971-dff1-5b81-a8dc-d07432a0cb4c,tg:mmbbr:1646_#1,e22_Acquisitions,1,"1957 geschonken door Jacques Lavalleye, KULeuven",
45083a79-fd12-500a-8368-1a201235a0bf,tg:mmbbr:2537_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
43bd35c3-4138-599b-abaf-de0e03418bdc,tg:mmbbr:2538_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
b0e8ba61-903b-53f5-9528-30b4e331482e,tg:mmbbr:2539_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
0eac17e0-d434-5322-a17b-d908f80a2548,tg:mmbbr:2540_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
f5eab361-413f-5bb2-9abc-cb8619f79276,tg:mmbbr:2541_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
5e39a9a8-03dc-56b1-8362-c974ca01654a,tg:mmbbr:2542_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
af38c568-bccc-53c1-b17f-e36de2940d9f,tg:mmbbr:2543_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
b922a63d-f6cb-5500-8527-36c16c414a19,tg:mmbbr:2544_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
f074578c-a7c3-54c5-9e92-6532875aaa5a,tg:mmbbr:2545_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
b96d7858-4aea-50e5-a9ed-1cdb374d457d,tg:mmbbr:2546_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
10b4a9f4-dbd0-59e9-a902-0807ebc1f9c1,tg:mmbbr:2547_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
03543d4e-975d-5ce9-a024-6fe4ba7a33a5,tg:mmbbr:2548_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
a36da619-880e-5f7a-8303-1852aa0bb76c,tg:mmbbr:2549_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 1001)",
0e8a9dfd-f1ab-5102-87c8-c93650ae0c75,tg:mmbbr:2522_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 984)",
8ecede66-7f72-580c-9604-4a5e9ce9f942,tg:mmbbr:2523_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 984)",
7a937e79-b931-55e9-a88f-0956b3007458,tg:mmbbr:2524_#1,e22_Acquisitions,1,"Verzameling graaf Gustave della Faille de Leverghem (1871-1966), vriend van Henriëtte Mayer van den Bergh. 2021 aangekocht van dh. della Faille, kleinzoon van Gustave, via veilinghuis Arenberg Auctions, Brussel (lot 984)",
