ResourceID,card,order,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
cdc2238a-bb75-5563-95b0-c8fd10288b1c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/cdc2238a-bb75-5563-95b0-c8fd10288b1c,object identifier,tg:mmbbr:1578,record identifiers,MMB.A.1578,descriptive note,Nederlands,In verband met tekeningen en betalingen,Brieven
97a23410-3c6f-5dc2-8f3f-6615bfcbbc0f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/97a23410-3c6f-5dc2-8f3f-6615bfcbbc0f,object identifier,tg:mmbbr:1579,record identifiers,MMB.A.1579,descriptive note,Nederlands,In verband met de publicatie van de Rhijnsche Legenden,Brieven
880622da-d084-5086-bfd9-1c02532f5898,AA,0,https://data.museummayervandenbergh.be/ark:/59511/880622da-d084-5086-bfd9-1c02532f5898,object identifier,tg:mmbbr:1580,record identifiers,MMB.A.1580,descriptive note,Nederlands,In verband met de tekeningen voor de Rhijnsche Legenden,Brieven
ead18356-4451-5d74-b7da-1a2a23288625,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ead18356-4451-5d74-b7da-1a2a23288625,object identifier,tg:mmbbr:1654,record identifiers,MMB.A.1654,descriptive note,Nederlands,In verband met de tekeningen voor de Rhijnsche Legenden en de vraag om voor het frontispice motieven uit het Breviarium te kopiëren,Brieven
46b4d285-0acc-5415-a751-9ad3fb24246d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/46b4d285-0acc-5415-a751-9ad3fb24246d,object identifier,tg:mmbbr:1655,record identifiers,MMB.A.1655,descriptive note,Nederlands,Het sturen van een legende op basis waarvan twee tekeningen zullen worden gemaakt,Brieven
97e33dbc-7d55-53e1-ac59-f18338944a33,AA,0,https://data.museummayervandenbergh.be/ark:/59511/97e33dbc-7d55-53e1-ac59-f18338944a33,object identifier,tg:mmbbr:1640,record identifiers,MMB.A.1640,descriptive note,Nederlands,"De beschrijving van een schilderij met Madonna, een kartuizer, Hl. Barbara en Hl. Elisabeth, toegeschreven aan Jan van Eyck en in het bezit van Gustave de Rothschild",Brieven
528b3328-2900-5880-98fa-15f34402e479,AA,0,https://data.museummayervandenbergh.be/ark:/59511/528b3328-2900-5880-98fa-15f34402e479,object identifier,tg:mmbbr:1641,record identifiers,MMB.A.1641,descriptive note,Nederlands,Vraag om advies over een recent gekocht 'bassin en émail champlevé' en inlichting over de aankoop van een 'feuillet de dyptique' voor 500 fr.,Brieven
842354d0-e967-56cb-ac2f-b15846f60c3c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/842354d0-e967-56cb-ac2f-b15846f60c3c,object identifier,tg:mmbbr:1642,record identifiers,MMB.A.1642,descriptive note,Nederlands,In verband met tapisserieën die Isabelle Errera wil kopen,Brieven
be1b49ba-639d-5df5-86dd-1ae3554bc41e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/be1b49ba-639d-5df5-86dd-1ae3554bc41e,object identifier,tg:mmbbr:1643,record identifiers,MMB.A.1643,descriptive note,Nederlands,Vraag om advies over een eikenhouten beeld [Ecclesia of Barbara] dat Fritz werd aangeboden voor 500 fr.,Brieven
d3badfc9-d911-586c-b934-b5cf745e33e0,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d3badfc9-d911-586c-b934-b5cf745e33e0,object identifier,tg:mmbbr:1644,record identifiers,MMB.A.1644,descriptive note,Nederlands,Het sturen van geld en van enkele objecten. De aankoop van een stoel in X-vorm van het begin van de 16de eeuw,Brieven
