ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,e73_Copyrights,1715,1830,No Copyright - Public Domain Mark 1.0
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,e73_Copyrights,1563,1678,No Copyright - Public Domain Mark 1.0
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,e73_Copyrights,1873,1988,No Copyright - Public Domain Mark 1.0
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,e73_Copyrights,1869,1984,No Copyright - Public Domain Mark 1.0
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,e73_Copyrights,1666,1781,No Copyright - Public Domain Mark 1.0
37ac54a3-dbd8-57c5-a087-f9ce10695b74,tg:mpmak:364,e73_Copyrights,1668,1783,No Copyright - Public Domain Mark 1.0
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,e73_Copyrights,1643,1758,No Copyright - Public Domain Mark 1.0
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,e73_Copyrights,1643,1758,No Copyright - Public Domain Mark 1.0
b6304530-6a87-5347-9b7d-b19b2c8b3058,tg:mpmak:108,e73_Copyrights,1681,1796,No Copyright - Public Domain Mark 1.0
104e5c79-fa17-5407-9624-7a1a766e5e7a,tg:mpmak:118,e73_Copyrights,1688,1803,No Copyright - Public Domain Mark 1.0
d50ee4cb-6651-5557-acce-2d595c5b4a1c,tg:mpmak:53,e73_Copyrights,1570,1685,No Copyright - Public Domain Mark 1.0
4273c440-cdfe-501d-8c83-ff13c44d9749,tg:mpmak:43,e73_Copyrights,1758,1873,No Copyright - Public Domain Mark 1.0
ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,tg:mpmak:233,e73_Copyrights,1633,1748,No Copyright - Public Domain Mark 1.0
0cad9f75-d711-50d7-bc82-e732f4934b9b,tg:mpmak:223,e73_Copyrights,1605,1720,No Copyright - Public Domain Mark 1.0
17ce37f3-2c79-57d4-8960-c47e070940c8,tg:mpmak:155,e73_Copyrights,1670,1785,No Copyright - Public Domain Mark 1.0
43482195-5159-578d-b5da-b82690322996,tg:mpmak:145,e73_Copyrights,1665,1780,No Copyright - Public Domain Mark 1.0
3edf4793-aa96-512e-975f-546d5ff7d2c8,tg:mpmak:390,e73_Copyrights,1668,1783,No Copyright - Public Domain Mark 1.0
2e9d3b70-cc3d-565d-90fc-598ac9a3b00e,tg:mpmak:137,e73_Copyrights,1670,1785,No Copyright - Public Domain Mark 1.0
8c420f55-ad09-5eba-91f5-85eae0f79b7f,tg:mpmak:127,e73_Copyrights,1663,1778,No Copyright - Public Domain Mark 1.0
