ResourceID,brocade.id,card,order,source_field,Creation Time Span Source Note
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,17150430
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15630000
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18730101
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18690331
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16660205
37ac54a3-dbd8-57c5-a087-f9ce10695b74,tg:mpmak:364,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16681119
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16430703
b6304530-6a87-5347-9b7d-b19b2c8b3058,tg:mpmak:108,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16810000
104e5c79-fa17-5407-9624-7a1a766e5e7a,tg:mpmak:118,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16881013
d50ee4cb-6651-5557-acce-2d595c5b4a1c,tg:mpmak:53,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15700000
4273c440-cdfe-501d-8c83-ff13c44d9749,tg:mpmak:43,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,17580704
ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,tg:mpmak:233,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16330000
0cad9f75-d711-50d7-bc82-e732f4934b9b,tg:mpmak:223,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16051222
17ce37f3-2c79-57d4-8960-c47e070940c8,tg:mpmak:155,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16701002
43482195-5159-578d-b5da-b82690322996,tg:mpmak:145,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16650210
3edf4793-aa96-512e-975f-546d5ff7d2c8,tg:mpmak:390,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16681201
2e9d3b70-cc3d-565d-90fc-598ac9a3b00e,tg:mpmak:137,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16700419
8c420f55-ad09-5eba-91f5-85eae0f79b7f,tg:mpmak:127,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16630910
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,tg:mpmak:251,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15400825
ee03d7d3-9891-50f0-88a7-8c71fd256cb0,tg:mpmak:329,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16880625
6cc8acae-f468-5e80-8700-90f800c03146,tg:mpmak:241,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16841027
3b749a05-ba0f-586b-bfed-d9180bd7252e,tg:mpmak:277,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,17400000
7a0698d6-a204-5490-b8e0-fffb8f14ba6b,tg:mpmak:267,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,17491206
3567426e-85da-51f2-90f1-203e03078b84,tg:mpmak:101,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18700627
1c0f4bb8-29f1-5153-80ea-b6be81c3aec6,tg:mpmak:28,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,15550000
1c0f4bb8-29f1-5153-80ea-b6be81c3aec6,tg:mpmak:28,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,15560000
3906361b-e3e2-54d1-b0f2-dc134a472714,tg:mpmak:38,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,16650410
