ResourceID,brocade.id,card,Other Identifier,Other Identifier Type
f88a115a-1a28-5e85-9e12-b51fab4d5def,tg:mpmre:598_#1,e22_OtherIdentifiers,SCH HF BA 214,repository numbers
1d1cc434-0582-5643-a587-45364dc90095,tg:mpmre:588_#1,e22_OtherIdentifiers,SCH HF BA 209,repository numbers
ac838e66-2fb4-547a-abc9-c38e3531e696,tg:mpmre:625_#1,e22_OtherIdentifiers,SCH HF BA 254,repository numbers
cb92203f-956f-5abb-8bb3-7799d15d0964,tg:mpmre:591_#1,e22_OtherIdentifiers,SCH HF BA 211,repository numbers
cc9c4bb5-7674-54d8-9ab4-560331770aa9,tg:mpmre:603_#1,e22_OtherIdentifiers,SCH HF BA 234,repository numbers
402a9f5d-5fcd-506b-abe0-4acd765305fd,tg:mpmre:613_#1,e22_OtherIdentifiers,SCH HF BA 241,repository numbers
c7399c77-ff02-58b7-9dce-c570ee7cd44b,tg:mpmre:590_#1,e22_OtherIdentifiers,SCH HF BA 210,repository numbers
7ede5857-8c47-54d8-8897-8f5795bc6fd9,tg:mpmre:612_#1,e22_OtherIdentifiers,SCH HF BA 240,repository numbers
70b14304-15cb-5427-a502-6e95c6089102,tg:mpmre:602_#1,e22_OtherIdentifiers,SCH HF BA 233,repository numbers
0878c35e-ba82-5608-af4c-a18351be640f,tg:mpmre:589_#1,e22_OtherIdentifiers,SCH HF BA 209,repository numbers
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_OtherIdentifiers,SCH HF BA 215,repository numbers
65400673-1e96-59be-b850-6742df215676,tg:mpmre:624_#1,e22_OtherIdentifiers,SCH HF BA 253,repository numbers
ee51f26a-14ed-5b2b-9649-e2cedc7d8416,tg:mpmre:592_#1,e22_OtherIdentifiers,SCH HF BA 213,repository numbers
9f936cd1-75e2-5206-9335-0b143b125bd6,tg:mpmre:626_#1,e22_OtherIdentifiers,SCH HF BA 255,repository numbers
e6b8e3d2-3dee-50fd-86d5-325ff4abc197,tg:mpmre:619_#1,e22_OtherIdentifiers,SCH HF BA 248,repository numbers
3674090b-6916-5d02-860a-b07418a78e6e,tg:mpmre:609_#1,e22_OtherIdentifiers,SCH HF BA 238,repository numbers
a9f2c7cf-0d98-5e13-b555-311d56bd01ab,tg:mpmre:627_#1,e22_OtherIdentifiers,SCH HF BA 257,repository numbers
83ff68d3-5a46-569d-a2fb-75404897f4d7,tg:mpmre:608_#1,e22_OtherIdentifiers,SCH HF BA 237,repository numbers
47a41aad-8482-5b9a-8310-0a9346c43d90,tg:mpmre:618_#1,e22_OtherIdentifiers,SCH HF BA 247,repository numbers
