ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
c8bf8ac0-1f7e-5b35-bf4d-6770c004df77,tg:mpmak:215,e73_Descriptions,1,note.mpmcontent,"<p>Bekenne ick ondergeschreven ontfangen te hebben uijt handen van Mons.r Balthazar Moretus de Jonge voor rekening van Mons.r Jean Leonard de Oude de somme van een handert guldens waer voor bedancke In Amsterdam Adij 9 septemb.r 1671 N. Visscher</p>
",descriptive note,Nederlands
9db14626-047b-5887-9f8e-9b455b83aad0,tg:mpmak:222,e73_Descriptions,1,note.mpmcontent,"<p>Privilege toegekend voor:</p>
<ul>
<li>L'institution d'une fille noble par Jehan Michel Bruto</li>
<li>Flores de Seneca</li>
<li>Le premier volume de Roland furieux traduit d'Italien en Francois</li>
</ul>
",descriptive note,Nederlands
ab2614b9-7fe3-56a0-9c21-e19d4e04ed05,tg:mpmak:274,e73_Descriptions,1,note.mpmcontent,"<p>Enig agendapunt: aanstelling van een onderpastoor</p>
",descriptive note,Nederlands
19737f0b-bfb9-540e-ad6e-be624d3d480b,tg:mpmak:280,e73_Descriptions,,id.desc,Afschrift van het huwelijkscontract tussen Balthasar II Moretus en Anna Goos in aanwezigheid van beide families gesloten door notaris Hendrick Fighe,descriptive note,Nederlands
7868fa85-f20b-5104-8780-af682c5f4901,tg:mpmak:76,e73_Descriptions,,id.desc,"Rekest van de vennoten van de katoendrukkerij van Dambrugge aan Karel Alexander van Lotharingen, gouverneur-generaal van de Oostenrijkse Nederlanden, inzake de vrijwaring van het octrooi van de katoendrukkerij tegen concurrentie uit het graafschap Vlaanderen",descriptive note,Nederlands
d71c5094-f7f7-5c7b-ab12-f0ef129a81a3,tg:mpmak:220,e73_Descriptions,1,note.mpmcontent,"<p>De rectozijde bevat het afschrift van de rekening-courant voor de weduwe Cossée (geboren M.P. De Pestre), de versozijde het afschrift van de rekening-courant voor Julien De Pestre</p>
",descriptive note,Nederlands
504988df-231b-522d-bab8-c750ecb6c68a,tg:mpmak:366,e73_Descriptions,2,note.mpmcontent,"<p>Keizer Jozef II geeft in dit octrooi als hertog van Brabant de toelating aan de twee nog minderjarige kinderen van Maria Theresa Borrekens om hun goederen zelfstandig te beheren zonder tussenkomst van een voogd</p>
",descriptive note,Nederlands
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,e73_Descriptions,1,note.mpmcontent,"<p>Privilege toegekend voor:</p>
<ul>
<li>Christelijcke onderwijsinge ende gebeden getrocken uijt de H. Schrifture</li>
<li>Fondamenten oft Grondt regels om [...] de nederduytsche spelkonst [...] te leeren</li>
<li>Koopmans gerief oft Comptoir almanach voor het jaar 1757 (in octavo longo en sextodecimo)</li>
<li>De cathechismus oft Christelijcke leeringe gedeijlt in vijf deelen ende 41 lessen</li>
</ul>
",descriptive note,Nederlands
d1fe45a6-7401-53b4-ba72-c4acc9a1c4d8,tg:mpmak:106,e73_Descriptions,1,note.mpmcontent,"<p>Bevat een overzicht van de wederzijdse aankopen tussen 04/07/1665 en 13/08/1669</p>
",descriptive note,Nederlands
89e77b32-f536-54a4-9244-c8350f761c98,tg:mpmak:387,e73_Descriptions,3,note.mpmcontent,"<p>Inscripties op de achterkant: &quot;Is te weten dat de tseuentich guld. erfl. die te quyten stonden anno 1582 vanden erfhouder tzeuentich guld. erfl. zur witte van desen begrepen, afgelost ende gequeten zyn den XIIIIe january 1595, blyckend de quittinghe ten seluen dage by sr. Martin Perez de Baron zur schepene Plassaert&quot;; &quot;C [  ] Carolus guldenen erfflyck op een groot huys gelegen de Vrydachs merct, verschynen te kersauondt etc.</p>
",descriptive note,Nederlands
