ResourceID,brocade.id,card,order,source_field,Title,Title Type,Title Language
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,e73_Titles,1,id.title/ti,Ordinantie voor de ghesellen der Plantynsche druckerye,titles proper,Dutch (language)
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,e73_Titles,2,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij,constructed titles,Dutch (language)
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,e73_Titles,1,id.title/ti,"Statuten, articulen, ende pointen, gheadviseert ende gheaccordeert, die sonder arghelist sullen moeten onderhouden wesen van alle de ghene die in dese druckerye, ghenaemt den Gulden Passer, sullen willen hanteren",titles proper,Dutch (language)
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,e73_Titles,2,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij,constructed titles,Dutch (language)
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,e73_Titles,1,id.title/ti,Factuur van E. Linde & Co.,titles proper,Dutch (language)
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,e73_Titles,1,id.title/ti,Staat van de geretourneerde prenten aan Henry Graves & Co.,titles proper,Dutch (language)
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,e73_Titles,2,id.title/in,Note des gravures retournées,incipits,French (language)
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,e73_Titles,1,id.title/ti,Factuur voor de levering van 114 balen papier,titles proper,Dutch (language)
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,e73_Titles,2,id.title/in,"Facture van 114 balen papier. Vercoght en in Vranckrijck gelevert aen de heer Balthasar Moretus coopman tot Antwerpen, welcke aldaar voor zijne reek[eningh]e en rizico gepakt staan",incipits,Dutch (language)
37ac54a3-dbd8-57c5-a087-f9ce10695b74,tg:mpmak:364,e73_Titles,1,id.title/ti,Staat van de verzendingen van liturgische boeken naar de hiëronymieten te Madrid,titles proper,Dutch (language)
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,e73_Titles,1,id.title/ti,Rekening-courant voor Kaspar I Förster,titles proper,Dutch (language)
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,e73_Titles,2,id.title/in,D[omi]n[u]s Gaspar Forsterus bibliopola Gedanensis debet Balthasari Moreto,incipits,Latin (language)
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,e73_Titles,1,id.title/ti,Rekening-courant voor Theodoor Moerentorf,titles proper,Dutch (language)
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,e73_Titles,2,id.title/in,R[everen]dus P[ater] Theodorus Moretus soc[ieta]tis Jesu sacerdos Pragae debet Balthasari Moreto Antverp[iensi]s,incipits,Latin (language)
b6304530-6a87-5347-9b7d-b19b2c8b3058,tg:mpmak:108,e73_Titles,1,id.title/ti,Uittreksel van de langdurig openstaande schulden van de Parijse boekhandelaren,titles proper,Dutch (language)
104e5c79-fa17-5407-9624-7a1a766e5e7a,tg:mpmak:118,e73_Titles,1,id.title/ti,Rekening-courant voor Michiel Cnobbaert,titles proper,Dutch (language)
