ResourceID,brocade.id,card,order,source_field,source_code,Production Technique Type
955c8891-01e7-56df-81bf-ec8854c454e2,tg:mpmhs:21_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
6b78bb1d-221c-5a10-af46-5c6b365440bf,tg:mpmhs:17_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
feaac8e1-bce6-5114-95d4-8a63b322b283,tg:mpmhs:5_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
9a65e24a-d957-5dca-bdaa-4bb0355530e9,tg:mpmhs:16_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
917ecd69-8ffe-5b85-a1f9-aed4bce35212,tg:mpmhs:22_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
0d032749-a386-512b-9f93-8475951f67c0,tg:mpmhs:15_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
b698b051-d9a5-521b-ba51-8281ecf76642,tg:mpmhs:19_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
70874e1f-dcd8-581b-980a-ccf4295c9007,tg:mpmhs:18_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
19355cb7-917f-5216-8e50-835437475d64,tg:mpmhs:11_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
2496020e-5dd4-58b4-9a51-cac11bbbed9e,tg:mpmhs:13_#1,e22_ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
