ResourceID,brocade.id,card,order,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,e73_ExternalRelations,1,transcripts,Ordonnantie I,Nederlands,remarks,c:lvd:109739,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,e73_ExternalRelations,1,transcripts,Ordonnantie A,Nederlands,remarks,c:lvd:109739,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
1c0f4bb8-29f1-5153-80ea-b6be81c3aec6,tg:mpmak:28,e73_ExternalRelations,1,gerelateerde publicatie,,,,c:stcv:12914587,https://anet.be/record/stcvopac/,Publicaties in de STCV catalogus
1c0f4bb8-29f1-5153-80ea-b6be81c3aec6,tg:mpmak:28,e73_ExternalRelations,2,transcripts,Ordonnantie G,Nederlands,remarks,c:lvd:109739,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,e73_ExternalRelations,1,transcripts,Met Franse vertaling van de instructie,Nederlands,remarks,c:lvd:1083197,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
4312ab52-9639-54cf-9ca5-8f972615d209,tg:mpmak:29,e73_ExternalRelations,1,transcripts,Ordonnantie H,Nederlands,remarks,c:lvd:109739,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
4312ab52-9639-54cf-9ca5-8f972615d209,tg:mpmak:29,e73_ExternalRelations,2,transcripts,,,,c:lvd:14010235,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,tg:mpmak:16,e73_ExternalRelations,1,transcripts,Ordonnantie M,Nederlands,remarks,c:lvd:109739,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
5652dd86-752e-542e-b882-a71c4178234e,tg:mpmak:30,e73_ExternalRelations,1,transcripts,Ordonnantie H,Nederlands,remarks,c:lvd:109739,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
9db14626-047b-5887-9f8e-9b455b83aad0,tg:mpmak:222,e73_ExternalRelations,1,gerelateerde publicatie,,,,c:lvd:712701,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
