ResourceID,brocade.id,card,order,source_field,source_code,Object Type
c3a3aad4-e5a2-53ae-9122-1374e1ae944f,tg:mpmak:31_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
518c1b18-f962-5208-9fb5-be34ac12df7e,tg:mpmak:21_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
275b3693-75f8-58c2-8561-a99b57cea1e7,tg:mpmak:43_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
0ef04bfb-d376-5bdf-8593-fe5b547a9d7c,tg:mpmak:223_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
3a0d553d-744c-5c6d-989d-b6a751ee2f76,tg:mpmak:251_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,aksc,schepenbrief
ecf35748-5370-5832-a75e-de73a1a86e8a,tg:mpmak:329_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
1a6b3062-b70c-5cb4-97d4-d2e8aa798a61,tg:mpmak:241_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
89940c61-c2b9-554d-ad10-0e7b03501e01,tg:mpmak:277_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
283897f3-2e36-5d94-afff-66f35bc05551,tg:mpmak:267_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
5c4d648a-72b3-5492-8f79-3531f4dc64dc,tg:mpmak:28_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
a6ee8554-d3b2-521f-b64a-763c041711f4,tg:mpmak:215_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
306cf274-dd00-5d1b-905f-fc02fde07819,tg:mpmak:205_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
518a0509-88c9-5a96-a853-143976d131f6,tg:mpmak:75_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
e3aa4abf-dcb9-51da-8584-dbbb282cb693,tg:mpmak:65_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akvr,waybills
1855121a-e71c-5e6e-a834-eec5280ed8d5,tg:mpmak:330_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
efb3f135-265f-5660-bc2d-225c29012869,tg:mpmak:258_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
6fd233d2-710f-5251-88fe-057785371d4a,tg:mpmak:352_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
8c030446-4339-5be8-aea8-98340c746544,tg:mpmak:342_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
7a908658-6625-53b6-91a7-5151a0095e76,tg:mpmak:283_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
5d2e47e0-8eb0-5a0a-8abb-ed769be292a8,tg:mpmak:29_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akak,notarial documents
228c60c3-2e37-58ba-b32a-26f9ba45f62e,tg:mpmak:259_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
65ee47b3-7851-5944-b6a0-55f7325f85cd,tg:mpmak:331_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,receipts (financial records)
66675b92-5682-5431-ae3a-177b8bd3ebe8,tg:mpmak:64_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akvr,waybills
