ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier
c3a3aad4-e5a2-53ae-9122-1374e1ae944f,tg:mpmak:31_#1,e22_Archives,1,isad:mpm:245,"dlod={""name"":""Arbeidsreglementen van de drukkerij"",""ark"":""ark:/11975/x0/31820dc6-da01-5d94-acc8-0c80648912e4"",""uri"":""/repositories/10/archival_objects/26216"",""id"":""isad:mpm:245"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Drukkerij"",""Werklieden""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Arbeidsreglementen van de drukkerij"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/31820dc6-da01-5d94-acc8-0c80648912e4
518c1b18-f962-5208-9fb5-be34ac12df7e,tg:mpmak:21_#1,e22_Archives,1,isad:mpm:245,"dlod={""name"":""Arbeidsreglementen van de drukkerij"",""ark"":""ark:/11975/x0/31820dc6-da01-5d94-acc8-0c80648912e4"",""uri"":""/repositories/10/archival_objects/26216"",""id"":""isad:mpm:245"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Drukkerij"",""Werklieden""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Arbeidsreglementen van de drukkerij"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/31820dc6-da01-5d94-acc8-0c80648912e4
fa0627da-a5b7-5bd6-8ce9-2d120f03351e,tg:mpmak:88_#1,e22_Archives,1,isad:mpm:327,"dlod={""name"":""Ingekomen facturen"",""ark"":""ark:/11975/x0/56ffa028-a0bd-5998-af97-fbd54e7b53e5"",""uri"":""/repositories/10/archival_objects/34990"",""id"":""isad:mpm:327"",""nameWithContext"":[""Boekhouding"",""Financiële stukken geordend naar vorm""],""resourceName"":""Archief van ~[Tessaro](au::107537)~"",""resourceArk"":""ark:/11975/x0/7ba5d8a9-0b05-5d43-b02f-8eb1a4f2ae9a"",""resourceURI"":""/repositories/10/resources/34134"",""resourceID"":""isad:mpm:319"",""capacity"":""Ingekomen facturen"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/56ffa028-a0bd-5998-af97-fbd54e7b53e5
0d8d0b6e-d645-57fc-9af7-b196e23f6d43,tg:mpmak:98_#1,e22_Archives,1,isad:mpm:328,"dlod={""name"":""Afschriften van uitgaande facturen"",""ark"":""ark:/11975/x0/8d175429-531f-545e-8f83-b2e1228b56a3"",""uri"":""/repositories/10/archival_objects/35097"",""id"":""isad:mpm:328"",""nameWithContext"":[""Boekhouding"",""Financiële stukken geordend naar vorm""],""resourceName"":""Archief van ~[Tessaro](au::107537)~"",""resourceArk"":""ark:/11975/x0/7ba5d8a9-0b05-5d43-b02f-8eb1a4f2ae9a"",""resourceURI"":""/repositories/10/resources/34134"",""resourceID"":""isad:mpm:319"",""capacity"":""Afschriften van uitgaande facturen"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/8d175429-531f-545e-8f83-b2e1228b56a3
7dbc0109-9400-5aa6-a13f-f2ee88d17a9b,tg:mpmak:374_#1,e22_Archives,1,isad:mpm:787,"dlod={""name"":""Facturen"",""ark"":""ark:/11975/x0/a017b735-f4ac-5e05-b447-2bba96b5ec3a"",""uri"":""/repositories/10/archival_objects/84210"",""id"":""isad:mpm:787"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar vorm""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Facturen"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/a017b735-f4ac-5e05-b447-2bba96b5ec3a
70d1c9b5-908a-5dcf-8e46-389c70937186,tg:mpmak:364_#1,e22_Archives,1,isad:mpm:229,"dlod={""name"":""1645-1690"",""ark"":""ark:/11975/x0/2a9f9265-9414-5b60-b96a-c20b3178c765"",""uri"":""/repositories/10/archival_objects/24504"",""id"":""isad:mpm:229"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar onderwerp"",""Boekhandel met Spanje"",""Transacties met de ~[Ordo Sancti Hieronymi](au::108342:2)~""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""1645-1690"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/2a9f9265-9414-5b60-b96a-c20b3178c765
f2c9bdf9-f5f1-5143-b3fa-4024286a1279,tg:mpmak:316_#1,e22_Archives,1,isad:mpm:334,"dlod={""name"":""Afschriften en concepten van uitgaande rekening-couranten"",""ark"":""ark:/11975/x0/35f9f09f-ba76-509b-b868-6bceea05751d"",""uri"":""/repositories/10/archival_objects/35739"",""id"":""isad:mpm:334"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar vorm"",""Verzekeringspolissen""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Afschriften en concepten van uitgaande rekening-couranten"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/35f9f09f-ba76-509b-b868-6bceea05751d
3b630bd9-b1b4-5851-b403-777b8cf78913,tg:mpmak:306_#1,e22_Archives,1,isad:mpm:334,"dlod={""name"":""Afschriften en concepten van uitgaande rekening-couranten"",""ark"":""ark:/11975/x0/35f9f09f-ba76-509b-b868-6bceea05751d"",""uri"":""/repositories/10/archival_objects/35739"",""id"":""isad:mpm:334"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar vorm"",""Verzekeringspolissen""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Afschriften en concepten van uitgaande rekening-couranten"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/35f9f09f-ba76-509b-b868-6bceea05751d
400f4e32-734d-5a98-bdbd-e473c1e1838b,tg:mpmak:108_#1,e22_Archives,1,isad:mpm:221,"dlod={""name"":""Debiteuren"",""ark"":""ark:/11975/x0/dbb5bacc-e11d-5c98-b960-5a16f322f85e"",""uri"":""/repositories/10/archival_objects/23648"",""id"":""isad:mpm:221"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Registers"",""Grootboeken""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Debiteuren"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/dbb5bacc-e11d-5c98-b960-5a16f322f85e
18c4a3e8-2707-5693-9b12-e053146e7728,tg:mpmak:118_#1,e22_Archives,1,isad:mpm:334,"dlod={""name"":""Afschriften en concepten van uitgaande rekening-couranten"",""ark"":""ark:/11975/x0/35f9f09f-ba76-509b-b868-6bceea05751d"",""uri"":""/repositories/10/archival_objects/35739"",""id"":""isad:mpm:334"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Boekhouding"",""Financiële stukken geordend naar vorm"",""Verzekeringspolissen""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Afschriften en concepten van uitgaande rekening-couranten"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/35f9f09f-ba76-509b-b868-6bceea05751d
