card,order,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,ResourceID,brocade.id,Source Note,Source Note Type,Source Note Language
e22_Items,1,mpmak,tg:mpmak:31_#1,R 63.8 IV,isad:mpm:245,15 H 2 I,c3a3aad4-e5a2-53ae-9122-1374e1ae944f,8,c3a3aad4-e5a2-53ae-9122-1374e1ae944f,tg:mpmak:31_#1,,,
e22_Items,1,mpmak,tg:mpmak:21_#1,R 63.8 IV,isad:mpm:245,15 H 2 I,518c1b18-f962-5208-9fb5-be34ac12df7e,3,518c1b18-f962-5208-9fb5-be34ac12df7e,tg:mpmak:21_#1,,,
e22_Items,1,mpmak,tg:mpmak:88_#1,Arch. TS A stuk 1,isad:mpm:327,15 R 1 A,fa0627da-a5b7-5bd6-8ce9-2d120f03351e,,fa0627da-a5b7-5bd6-8ce9-2d120f03351e,tg:mpmak:88_#1,Tussen fol. 65 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:98_#1,Arch. TS A stuk 14,isad:mpm:328,15 R 1 A,0d8d0b6e-d645-57fc-9af7-b196e23f6d43,,0d8d0b6e-d645-57fc-9af7-b196e23f6d43,tg:mpmak:98_#1,Tussen fol. 185 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:374_#1,Arch. 363,isad:mpm:787,10 Q 5 A,7dbc0109-9400-5aa6-a13f-f2ee88d17a9b,18,7dbc0109-9400-5aa6-a13f-f2ee88d17a9b,tg:mpmak:374_#1,los stuk tussen opening 73,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:364_#1,Arch. 363,isad:mpm:229,10 Q 5 A,70d1c9b5-908a-5dcf-8e46-389c70937186,8,70d1c9b5-908a-5dcf-8e46-389c70937186,tg:mpmak:364_#1,los stuk tussen opening 37,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:316_#1,Arch. 133,isad:mpm:334,10 Q 1 D,f2c9bdf9-f5f1-5143-b3fa-4024286a1279,los stuk tussen fol. 282 links-rechts,f2c9bdf9-f5f1-5143-b3fa-4024286a1279,tg:mpmak:316_#1,,,
e22_Items,1,mpmak,tg:mpmak:306_#1,Arch. 134,isad:mpm:334,10 Q 3 D,3b630bd9-b1b4-5851-b403-777b8cf78913,los stuk tussen fol. 389 links-rechts,3b630bd9-b1b4-5851-b403-777b8cf78913,tg:mpmak:306_#1,,,
e22_Items,1,mpmak,tg:mpmak:108_#1,Arch. 322,isad:mpm:221,10 Q 5 D,400f4e32-734d-5a98-bdbd-e473c1e1838b,,400f4e32-734d-5a98-bdbd-e473c1e1838b,tg:mpmak:108_#1,Los stuk tussen fol. 1 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:118_#1,Arch. 322,isad:mpm:334,10 Q 5 D,18c4a3e8-2707-5693-9b12-e053146e7728,,18c4a3e8-2707-5693-9b12-e053146e7728,tg:mpmak:118_#1,Ingebonden tussen fol. 332 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:53_#1,Arch. 42,isad:mpm:256,10 Q 1 C,3b8e935c-a566-5e70-b272-66513e86ad80,,3b8e935c-a566-5e70-b272-66513e86ad80,tg:mpmak:53_#1,Zevende stuk van de lias met losse stukken,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:43_#1,Arch. 817,isad:mpm:275,10 R 8 F,275b3693-75f8-58c2-8561-a99b57cea1e7,,275b3693-75f8-58c2-8561-a99b57cea1e7,tg:mpmak:43_#1,Los stuk tussen fol. 119 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:233_#1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,b10125f1-615e-5828-bcc5-2df0c11aa0b2,B.h.1.2,b10125f1-615e-5828-bcc5-2df0c11aa0b2,tg:mpmak:233_#1,,,
e22_Items,1,mpmak,tg:mpmak:223_#1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,0ef04bfb-d376-5bdf-8593-fe5b547a9d7c,B.a.5.1,0ef04bfb-d376-5bdf-8593-fe5b547a9d7c,tg:mpmak:223_#1,,,
e22_Items,1,mpmak,tg:mpmak:155_#1,Arch. 319,isad:mpm:334,10 Q 5 D,4152b2e1-1228-57b9-810e-c312055660bf,,4152b2e1-1228-57b9-810e-c312055660bf,tg:mpmak:155_#1,Los stuk 4 tussen fol. 196 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:145_#1,Arch. 319,isad:mpm:333,10 Q 5 D,3be0a24b-66b7-5d84-884d-9eca42fbdff1,,3be0a24b-66b7-5d84-884d-9eca42fbdff1,tg:mpmak:145_#1,Los stuk 1 tussen fol. 144 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:390_#1,Arch. 363,isad:mpm:333,10 Q 5 A,05a67dd5-9401-5b16-82bd-5f69ba47fa4f,26,05a67dd5-9401-5b16-82bd-5f69ba47fa4f,tg:mpmak:390_#1,los stuk tussen opening 77,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:137_#1,Arch. 321,isad:mpm:334,10 Q 5 D,68fe5aeb-854d-5a8f-8036-2b02fa1020d8,,68fe5aeb-854d-5a8f-8036-2b02fa1020d8,tg:mpmak:137_#1,Los stuk 1 tussen fol. 168 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:127_#1,Arch. 321,isad:mpm:334,10 Q 5 D,f7aca78c-8533-503a-aa85-4ddc1ccdbe94,,f7aca78c-8533-503a-aa85-4ddc1ccdbe94,tg:mpmak:127_#1,Los stuk 4 tussen fol. 131 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:251_#1,Arch. 1460,isad:mpm:351,10 R 3 B,3a0d553d-744c-5c6d-989d-b6a751ee2f76,1,3a0d553d-744c-5c6d-989d-b6a751ee2f76,tg:mpmak:251_#1,,,
e22_Items,1,mpmak,tg:mpmak:329_#1,Arch. 669,isad:mpm:421,10 Q 8 A,ecf35748-5370-5832-a75e-de73a1a86e8a,los stuk tussen fol. 50-51,ecf35748-5370-5832-a75e-de73a1a86e8a,tg:mpmak:329_#1,,,
e22_Items,1,mpmak,tg:mpmak:241_#1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,1a6b3062-b70c-5cb4-97d4-d2e8aa798a61,B.k.6,1a6b3062-b70c-5cb4-97d4-d2e8aa798a61,tg:mpmak:241_#1,,,
e22_Items,1,mpmak,tg:mpmak:339_#1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,962a9a7a-a143-5def-bd44-00c3539ff5c4,los stuk 2 tussen p. 148-149,962a9a7a-a143-5def-bd44-00c3539ff5c4,tg:mpmak:339_#1,,,
e22_Items,1,mpmak,tg:mpmak:277_#1,Arch. 280,isad:mpm:370,10 Q 4 B,89940c61-c2b9-554d-ad10-0e7b03501e01,los stuk 15,89940c61-c2b9-554d-ad10-0e7b03501e01,tg:mpmak:277_#1,,,
e22_Items,1,mpmak,tg:mpmak:267_#1,Arch. 479,isad:mpm:275,10 Q 6 C,283897f3-2e36-5d94-afff-66f35bc05551,,283897f3-2e36-5d94-afff-66f35bc05551,tg:mpmak:267_#1,Los stuk 2,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:111_#1,Arch. 322,isad:mpm:334,10 Q 5 D,5518afa6-79a4-54a2-b0a6-f82100d78236,,5518afa6-79a4-54a2-b0a6-f82100d78236,tg:mpmak:111_#1,Los stuk 3 tussen fol. 47 links-rechts,remarks,Nederlands
e22_Items,1,mpmak,tg:mpmak:101_#1,Arch. TS B stuk 3,isad:mpm:328,15 R 1 A,a8c204c0-37c6-5f61-8eaf-9f2be080ea73,,a8c204c0-37c6-5f61-8eaf-9f2be080ea73,tg:mpmak:101_#1,,,
e22_Items,1,mpmak,tg:mpmak:28_#1,2 4,isad:mpm:245,10 L 5 E,5c4d648a-72b3-5492-8f79-3531f4dc64dc,,5c4d648a-72b3-5492-8f79-3531f4dc64dc,tg:mpmak:28_#1,,,
