ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,mpm,mpmak,Tekstdrager,e73_CreationActors,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,mpm,mpmak,Tekstdrager,e73_CreationActors,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,mpm,mpmak,Tekstdrager,e73_CreationActors,eaf8fd64-b776-5396-93d4-4fcc4e470b26,av,originators (administrative),au::107537,au::107537:1,au::107537g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11506459"",""au::107537"",""au::107537:1"",""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""Tessaro""],""name"":""Tessaro"",""ark"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""uri"":""/agents/corporate_entities/11506459"",""id"":""au::107537:1"",""isCapacity"":false}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,mpm,mpmak,Tekstdrager,e73_CreationActors,24b878eb-2b26-5c63-b768-231ab9943808,opd,writers (clerical workers),au::109040,au::109040:1,au::109040g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11667280"",""au::109040"",""au::109040:1"",""ark:/83110/x0/24b878eb-2b26-5c63-b768-231ab9943808"",""E. Linde \u0026 Co.""],""name"":""E. Linde \u0026 Co."",""ark"":""ark:/83110/x0/24b878eb-2b26-5c63-b768-231ab9943808"",""uri"":""/agents/corporate_entities/11667280"",""id"":""au::109040:1"",""isCapacity"":false}",ark:/83110/x0/24b878eb-2b26-5c63-b768-231ab9943808
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,mpm,mpmak,Tekstdrager,e73_CreationActors,eaf8fd64-b776-5396-93d4-4fcc4e470b26,av,originators (administrative),au::107537,au::107537:1,au::107537g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11506459"",""au::107537"",""au::107537:1"",""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""Tessaro""],""name"":""Tessaro"",""ark"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""uri"":""/agents/corporate_entities/11506459"",""id"":""au::107537:1"",""isCapacity"":false}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,mpm,mpmak,Tekstdrager,e73_CreationActors,19d0c4cd-48e5-52f4-80f9-400ba31fc2e9,va,recipients (people),au::109047,au::109047:1,au::109047g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11668029"",""au::109047"",""au::109047:1"",""ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9"",""Henry Graves \u0026 Co.""],""name"":""Henry Graves \u0026 Co."",""ark"":""ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9"",""uri"":""/agents/corporate_entities/11668029"",""id"":""au::109047:1"",""isCapacity"":false}",ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,mpm,mpmak,Tekstdrager,e73_CreationActors,eaf8fd64-b776-5396-93d4-4fcc4e470b26,opd,writers (clerical workers),au::107537,au::107537:1,au::107537g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11506459"",""au::107537"",""au::107537:1"",""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""Tessaro""],""name"":""Tessaro"",""ark"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""uri"":""/agents/corporate_entities/11506459"",""id"":""au::107537:1"",""isCapacity"":false}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,mpm,mpmak,Tekstdrager,e73_CreationActors,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,va,recipients (people),au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,mpm,mpmak,Tekstdrager,e73_CreationActors,f2b7efeb-1e92-5e47-9b29-b2a5cb0d56d7,opd,writers (clerical workers),au::114018:1,au::114018:1,au::114018g:1,,"dlod={""suggest"":[""/agents/people/12199926"",""au::114018"",""au::114018:1"",""ark:/83110/x0/b936bc3c-78fa-534d-a18e-b9b3422e2c18"",""Gerrit Verduyn""],""name"":""Gerrit Verduyn"",""ark"":""ark:/83110/x0/b936bc3c-78fa-534d-a18e-b9b3422e2c18"",""uri"":""/agents/people/12199926"",""id"":""au::114018:1"",""isCapacity"":false}",ark:/83110/x0/b936bc3c-78fa-534d-a18e-b9b3422e2c18
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,mpm,mpmak,Tekstdrager,e73_CreationActors,7e42ba19-e39b-58c3-ae94-e5a49268569b,opd,writers (clerical workers),au::113582,au::113582:1,au::113582g:1,,"dlod={""suggest"":[""/agents/people/12153274"",""au::113582"",""au::113582:1"",""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""Levinus Vincent""],""name"":""Levinus Vincent"",""ark"":""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""uri"":""/agents/people/12153274"",""id"":""au::113582:1"",""isCapacity"":false}",ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b
37ac54a3-dbd8-57c5-a087-f9ce10695b74,tg:mpmak:364,mpm,mpmak,Tekstdrager,e73_CreationActors,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,av,originators (administrative),au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
37ac54a3-dbd8-57c5-a087-f9ce10695b74,tg:mpmak:364,mpm,mpmak,Tekstdrager,e73_CreationActors,1f2250e6-b2c2-5656-b8e0-da62660dc801,va,recipients (people),au::108342,au::108342:1,au::108342g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11592594"",""au::108342"",""au::108342:1"",""ark:/83110/x0/1f2250e6-b2c2-5656-b8e0-da62660dc801"",""Ordo Sancti Hieronymi""],""name"":""Ordo Sancti Hieronymi"",""ark"":""ark:/83110/x0/1f2250e6-b2c2-5656-b8e0-da62660dc801"",""uri"":""/agents/corporate_entities/11592594"",""id"":""au::108342:1"",""isCapacity"":false}",ark:/83110/x0/1f2250e6-b2c2-5656-b8e0-da62660dc801
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,mpm,mpmak,Tekstdrager,e73_CreationActors,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,mpm,mpmak,Tekstdrager,e73_CreationActors,b56659c4-babb-5e58-8fd8-33576adb8af4,va,recipients (people),au::112106,au::112106:1,au::112106g:1,,"dlod={""suggest"":[""/agents/people/11995342"",""au::112106"",""au::112106:1"",""ark:/83110/x0/b56659c4-babb-5e58-8fd8-33576adb8af4"",""Kaspar I Förster""],""name"":""Kaspar I Förster"",""ark"":""ark:/83110/x0/b56659c4-babb-5e58-8fd8-33576adb8af4"",""uri"":""/agents/people/11995342"",""id"":""au::112106:1"",""isCapacity"":false}",ark:/83110/x0/b56659c4-babb-5e58-8fd8-33576adb8af4
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,mpm,mpmak,Tekstdrager,e73_CreationActors,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,mpm,mpmak,Tekstdrager,e73_CreationActors,5c61b8af-f181-542c-858a-7010dcaa8f47,va,recipients (people),au::108844,au::108844:1,au::108844g:1,,"dlod={""suggest"":[""/agents/people/11646308"",""au::108844"",""au::108844:1"",""ark:/83110/x0/5c61b8af-f181-542c-858a-7010dcaa8f47"",""Theodoor Moerentorf""],""name"":""Theodoor Moerentorf"",""ark"":""ark:/83110/x0/5c61b8af-f181-542c-858a-7010dcaa8f47"",""uri"":""/agents/people/11646308"",""id"":""au::108844:1"",""isCapacity"":false}",ark:/83110/x0/5c61b8af-f181-542c-858a-7010dcaa8f47
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,mpm,mpmak,Tekstdrager,e73_CreationActors,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,opd,writers (clerical workers),au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
b6304530-6a87-5347-9b7d-b19b2c8b3058,tg:mpmak:108,mpm,mpmak,Tekstdrager,e73_CreationActors,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
