ResourceID,brocade.id,card,order,Mark Text,Mark Type,Mark Language
c624da0f-9413-5d25-83e4-4f6e89cf1d62,tg:mpmre:31_#1,e22_Marks,1,<p>Yy</p> ,signatures (names),Nederlands
449b8283-39ad-563d-b071-a2cf9cad7360,tg:mpmre:647_#1,e22_Marks,1,<p>B</p> ,signatures (names),Nederlands
6935253a-e0ed-5bcf-96a4-e62adfadcf4f,tg:mpmre:459_#1,e22_Marks,1,<ul> <li></li> </ul> ,signatures (names),Nederlands
6c18d29b-d7b3-5f28-af2d-097500060fee,tg:mpmre:88_#1,e22_Marks,1,<p>EE</p> ,signatures (names),Nederlands
95e1b9f3-6d68-5bc2-8ae4-b689e4cba7c0,tg:mpmre:98_#1,e22_Marks,1,<p>PP</p> ,signatures (names),Nederlands
420e9b16-e8f8-5674-bfbb-833b6e2b2e96,tg:mpmre:374_#1,e22_Marks,1,<p>EEE</p> ,signatures (names),Nederlands
07d1e3fd-f94c-555b-8288-da30ce90335c,tg:mpmre:364_#1,e22_Marks,1,<p>SS²</p> ,signatures (names),Nederlands
77d2a0a8-984b-5149-9e05-b16d817465c8,tg:mpmre:316_#1,e22_Marks,1,<p>A</p> ,signatures (names),Nederlands
e7581e6b-439a-549c-926e-238231806a42,tg:mpmre:306_#1,e22_Marks,1,<p>G</p> ,signatures (names),Nederlands
4c5ab5e9-481c-5a44-99fc-ce9b5c500a45,tg:mpmre:635_#1,e22_Marks,3,<ul> <li></li> </ul> ,signatures (names),Nederlands
3f4fc7fe-cdf0-5157-af7b-b1fc78ea5682,tg:mpmre:108_#1,e22_Marks,1,<p>AAA</p> ,signatures (names),Nederlands
ceb36b45-e9f4-5e88-a6e8-29f273d94ae1,tg:mpmre:482_#1,e22_Marks,1,<p>KK</p> ,signatures (names),Nederlands
f3eab46a-d3b5-5cf6-a1b4-66dbe96e1ce0,tg:mpmre:53_#1,e22_Marks,1,<p>VV</p> ,signatures (names),Nederlands
d8f8ab02-27ba-596c-a4b2-f3d7ad1ba158,tg:mpmre:43_#1,e22_Marks,1,<p>LL</p> ,signatures (names),Nederlands
4774f9b4-06d4-5a44-9e4b-6e7ea301bd33,tg:mpmre:155_#1,e22_Marks,1,<p>A</p> ,signatures (names),Nederlands
52ed0ca0-2481-525b-bc4e-7e2bf60c60f9,tg:mpmre:678_#1,e22_Marks,3,<p>Oud inventarisnummer: B 3</p> ,signatures (names),Nederlands
135a48de-341d-59c5-8012-e2462bd0a8f5,tg:mpmre:390_#1,e22_Marks,1,<p>XXX</p> ,signatures (names),Nederlands
186570fd-adf4-50a6-b051-a05359c4210f,tg:mpmre:380_#1,e22_Marks,1,<p>LLL</p> ,signatures (names),Nederlands
77993095-b79f-5da5-9e0a-8ef6014209f2,tg:mpmre:329_#1,e22_Marks,1,<p>Gg</p> ,signatures (names),Nederlands
a19f21e4-ab71-533f-a434-507d2a05e56d,tg:mpmre:339_#1,e22_Marks,1,<p>Rr</p> ,signatures (names),Nederlands
a665d66e-698d-503a-a656-f336eaca956a,tg:mpmre:404_#1,e22_Marks,1,<p>MMMM</p> ,signatures (names),Nederlands
75b48691-368b-5e19-b161-631f7e61ca87,tg:mpmre:414_#1,e22_Marks,1,<p>YYYY</p> ,signatures (names),Nederlands
a19eca97-273b-5fb8-a2f1-4304cddd3733,tg:mpmre:422_#1,e22_Marks,1,<p>LLLLL-MMMMM</p> ,signatures (names),Nederlands
c28d1b8f-410f-5354-be14-151662db6d71,tg:mpmre:432_#1,e22_Marks,1,<p>[I]-A-B-C</p> ,signatures (names),Nederlands
d750dfb7-a95f-53a4-b697-ab2dd64aaccf,tg:mpmre:111_#1,e22_Marks,1,<p>DDD</p> ,signatures (names),Nederlands
cc61c9e5-950c-5fe9-bcf9-73ad3fab5465,tg:mpmre:38_#1,e22_Marks,1,<p>FF</p> ,signatures (names),Nederlands
5ca04e1c-dd45-57ee-92d9-5a15d12dfaa8,tg:mpmre:91_#1,e22_Marks,1,<p>HH</p> ,signatures (names),Nederlands
7bdf099d-c7a4-5d30-ad46-4d55be3ec928,tg:mpmre:81_#1,e22_Marks,1,<p>Xx</p> ,signatures (names),Nederlands
d96672bc-ae32-567b-bbbb-8c8ff528e7e1,tg:mpmre:389_#1,e22_Marks,1,<p>VVV</p> ,signatures (names),Nederlands
72b61267-b021-5a53-9959-a6b86dbc5d7f,tg:mpmre:399_#1,e22_Marks,1,<p>GGGG</p> ,signatures (names),Nederlands
7ecd684c-c64c-5750-8056-1cafe55960c4,tg:mpmre:75_#1,e22_Marks,1,<p>Pp</p> ,signatures (names),Nederlands
402a9f5d-5fcd-506b-abe0-4acd765305fd,tg:mpmre:613_#1,e22_Marks,2,<p>D</p> ,signatures (names),Nederlands
