ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
b53c42cd-4ff0-5756-8452-1bee8457fa4b,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000022,referentienummer,False
b53c42cd-4ff0-5756-8452-1bee8457fa4b,e73_LegacyInformation,1,brocade.id,tg:mpmak:31,brocade id,False
b53c42cd-4ff0-5756-8452-1bee8457fa4b,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:31/N,brocade url,False
bb17c032-6f60-5f0b-912e-e40b04b34c92,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000012,referentienummer,False
bb17c032-6f60-5f0b-912e-e40b04b34c92,e73_LegacyInformation,1,brocade.id,tg:mpmak:21,brocade id,False
bb17c032-6f60-5f0b-912e-e40b04b34c92,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:21/N,brocade url,False
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000077,referentienummer,False
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,e73_LegacyInformation,1,brocade.id,tg:mpmak:88,brocade id,False
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:88/N,brocade url,False
15565c71-b2cd-5925-96bd-2d1dc9c6594c,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000087,referentienummer,False
15565c71-b2cd-5925-96bd-2d1dc9c6594c,e73_LegacyInformation,1,brocade.id,tg:mpmak:98,brocade id,False
15565c71-b2cd-5925-96bd-2d1dc9c6594c,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:98/N,brocade url,False
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000362,referentienummer,False
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,e73_LegacyInformation,1,brocade.id,tg:mpmak:374,brocade id,False
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:374/N,brocade url,False
37ac54a3-dbd8-57c5-a087-f9ce10695b74,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000352,referentienummer,False
37ac54a3-dbd8-57c5-a087-f9ce10695b74,e73_LegacyInformation,1,brocade.id,tg:mpmak:364,brocade id,False
37ac54a3-dbd8-57c5-a087-f9ce10695b74,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:364/N,brocade url,False
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000304,referentienummer,False
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,e73_LegacyInformation,1,brocade.id,tg:mpmak:316,brocade id,False
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:316/N,brocade url,False
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000294,referentienummer,False
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,e73_LegacyInformation,1,brocade.id,tg:mpmak:306,brocade id,False
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:306/N,brocade url,False
b6304530-6a87-5347-9b7d-b19b2c8b3058,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000096,referentienummer,False
b6304530-6a87-5347-9b7d-b19b2c8b3058,e73_LegacyInformation,1,brocade.id,tg:mpmak:108,brocade id,False
b6304530-6a87-5347-9b7d-b19b2c8b3058,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:108/N,brocade url,False
104e5c79-fa17-5407-9624-7a1a766e5e7a,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000106,referentienummer,False
104e5c79-fa17-5407-9624-7a1a766e5e7a,e73_LegacyInformation,1,brocade.id,tg:mpmak:118,brocade id,False
104e5c79-fa17-5407-9624-7a1a766e5e7a,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:118/N,brocade url,False
d50ee4cb-6651-5557-acce-2d595c5b4a1c,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000044,referentienummer,False
d50ee4cb-6651-5557-acce-2d595c5b4a1c,e73_LegacyInformation,1,brocade.id,tg:mpmak:53,brocade id,False
d50ee4cb-6651-5557-acce-2d595c5b4a1c,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:53/N,brocade url,False
4273c440-cdfe-501d-8c83-ff13c44d9749,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000034,referentienummer,False
4273c440-cdfe-501d-8c83-ff13c44d9749,e73_LegacyInformation,1,brocade.id,tg:mpmak:43,brocade id,False
4273c440-cdfe-501d-8c83-ff13c44d9749,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmak:43/N,brocade url,False
ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ak/000000221,referentienummer,False
ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,e73_LegacyInformation,1,brocade.id,tg:mpmak:233,brocade id,False
