ResourceID,brocade.id,museum,card,ire.isaar.uuid,source_ire_type,Original Entity Type,source_code,ire.isaar.id,place_au_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type
2810c6b7-d599-5a48-a38b-814476bfbf8a,tg:mpmdc:21,mpm,e73_OriginalBrocade,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,vb,keywords,au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,agent
20e1bf91-fdc4-5157-8bd1-e006b969f6d9,tg:mpmdc:17,mpm,e73_OriginalBrocade,afa18253-aa01-563f-9f3b-60a6b123fd95,vb,keywords,au::109679,au::109679:1,au::109679g:1,,"dlod={""suggest"":[""/agents/people/11735653"",""au::109679"",""au::109679:1"",""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""Cornelius Hackius""],""name"":""Cornelius Hackius"",""ark"":""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""uri"":""/agents/people/11735653"",""id"":""au::109679:1"",""isCapacity"":false}",ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95,agent
8e1b43fd-0985-57be-9cd0-7a2e4317c720,tg:mpmdc:16,mpm,e73_OriginalBrocade,afa18253-aa01-563f-9f3b-60a6b123fd95,vb,keywords,au::109679,au::109679:1,au::109679g:1,,"dlod={""suggest"":[""/agents/people/11735653"",""au::109679"",""au::109679:1"",""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""Cornelius Hackius""],""name"":""Cornelius Hackius"",""ark"":""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""uri"":""/agents/people/11735653"",""id"":""au::109679:1"",""isCapacity"":false}",ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95,agent
8e1b43fd-0985-57be-9cd0-7a2e4317c720,tg:mpmdc:16,mpm,e73_OriginalBrocade,cd710af1-520a-5f4c-beac-82e8929ab5bd,vb,keywords,au::109680,au::109680:1,au::109680g:1,,"dlod={""suggest"":[""/agents/people/11735760"",""au::109680"",""au::109680:1"",""ark:/83110/x0/cd710af1-520a-5f4c-beac-82e8929ab5bd"",""Petrus Hackius""],""name"":""Petrus Hackius"",""ark"":""ark:/83110/x0/cd710af1-520a-5f4c-beac-82e8929ab5bd"",""uri"":""/agents/people/11735760"",""id"":""au::109680:1"",""isCapacity"":false}",ark:/83110/x0/cd710af1-520a-5f4c-beac-82e8929ab5bd,agent
9dcd5578-2ab6-59fb-83bc-43c7dfb65a12,tg:mpmdc:15,mpm,e73_OriginalBrocade,f4439d69-4a5f-5e51-bf4c-226d47651dee,vb,keywords,au::107606,au::107606:1,au::107606g:1,,"dlod={""suggest"":[""/agents/people/11513842"",""au::107606"",""au::107606:1"",""ark:/83110/x0/f4439d69-4a5f-5e51-bf4c-226d47651dee"",""Johannes Janssonius van Waesbergen""],""name"":""Johannes Janssonius van Waesbergen"",""ark"":""ark:/83110/x0/f4439d69-4a5f-5e51-bf4c-226d47651dee"",""uri"":""/agents/people/11513842"",""id"":""au::107606:1"",""isCapacity"":false}",ark:/83110/x0/f4439d69-4a5f-5e51-bf4c-226d47651dee,agent
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,e73_OriginalBrocade,ed92ae07-76bf-599a-b066-d324a8da32fd,vb,keywords,au::17942,au::17942:1,au::17942g:1,,"dlod={""suggest"":[""/agents/people/1919794"",""au::17942"",""au::17942:1"",""ark:/83110/x0/ed92ae07-76bf-599a-b066-d324a8da32fd"",""Maria de Sweert""],""name"":""Maria de Sweert"",""ark"":""ark:/83110/x0/ed92ae07-76bf-599a-b066-d324a8da32fd"",""uri"":""/agents/people/1919794"",""id"":""au::17942:1"",""isCapacity"":false}",ark:/83110/x0/ed92ae07-76bf-599a-b066-d324a8da32fd,agent
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,e73_OriginalBrocade,7e0b8111-6d6a-5224-8df5-18ef038bd6e6,vb,keywords,au::106907,au::106907:1,au::106907g:1,,"dlod={""suggest"":[""/agents/people/11439049"",""au::106907"",""au::106907:1"",""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""Jan II Moretus""],""name"":""Jan II Moretus"",""ark"":""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""uri"":""/agents/people/11439049"",""id"":""au::106907:1"",""isCapacity"":false}",ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6,agent
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,e73_OriginalBrocade,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,vb,keywords,au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,agent
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,e73_OriginalBrocade,c168acff-a59e-552b-9822-11b3f97f4b55,vb,keywords,au::108419,au::108419:1,au::108419g:1,,"dlod={""suggest"":[""/agents/people/11600833"",""au::108419"",""au::108419:1"",""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""Anna Goos""],""name"":""Anna Goos"",""ark"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""uri"":""/agents/people/11600833"",""id"":""au::108419:1"",""isCapacity"":false}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55,agent
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,e73_OriginalBrocade,ef8de797-30b0-597d-b7a3-d4745423e3be,vb,keywords,au::108564,au::108564:1,au::108564g:1,,"dlod={""suggest"":[""/agents/people/11616348"",""au::108564"",""au::108564:1"",""ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be"",""Balthasar III Moretus""],""name"":""Balthasar III Moretus"",""ark"":""ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be"",""uri"":""/agents/people/11616348"",""id"":""au::108564:1"",""isCapacity"":false}",ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be,agent
