ResourceID,brocade.id,card,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type
154e4d39-79d5-5e53-ab54-2ed6c73dbfd6,tg:mpmak:17,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2622,transcripts,uniform resource locators
7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,tg:mpmak:20,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpm:2031,transcripts,uniform resource locators
99003766-9415-5d2b-98e7-d79b7807c2bb,tg:mpmak:15,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2689,transcripts,uniform resource locators
461ccabb-60ef-5a33-a0a1-7e7f0b7e5d43,tg:mpmak:86,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:37,transcripts,uniform resource locators
2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,tg:mpmak:36,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:3099,transcripts,uniform resource locators
ee2776b8-9a6c-5094-a710-c7449ca5d9d1,tg:mpmak:37,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2632,transcripts,uniform resource locators
f2b05e2a-b1a9-54d7-9387-1d86b7797784,tg:mpmak:35,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2629,transcripts,uniform resource locators
794a2bcb-507f-5a1b-a6f0-d6dfa6a83b6d,tg:mpmak:356,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2623,transcripts,uniform resource locators
49378a0a-2619-5dbd-a108-29fc6540440c,tg:mpmak:34,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2637,transcripts,uniform resource locators
8c180d74-a495-5b32-9dd8-bce196ece45f,tg:mpmdc:7,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:34,transcripts,uniform resource locators
c5f8aaf2-3016-53be-8059-0957cd19e07b,tg:mpmdc:6,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2738,transcripts,uniform resource locators
d4076924-1de4-5aca-add3-a04c03b4ae16,tg:mpmdc:18,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:266,transcripts,uniform resource locators
053eaefd-b76e-5d9c-ba1f-1de30dc50179,tg:mpmre:17,e73_ExternalRelationsExtras,1,doc.mpmtranscription,https://anet.be/docstore/,d:mpmdoc:2628,transcripts,uniform resource locators
