ResourceID,brocade.id,card,order,source_field,Format Number,Format Unit Type,Format Number Type
c3a3aad4-e5a2-53ae-9122-1374e1ae944f,tg:mpmak:31_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
518c1b18-f962-5208-9fb5-be34ac12df7e,tg:mpmak:21_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
fa0627da-a5b7-5bd6-8ce9-2d120f03351e,tg:mpmak:88_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
fa0627da-a5b7-5bd6-8ce9-2d120f03351e,tg:mpmak:88_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
0d8d0b6e-d645-57fc-9af7-b196e23f6d43,tg:mpmak:98_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
0d8d0b6e-d645-57fc-9af7-b196e23f6d43,tg:mpmak:98_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
7dbc0109-9400-5aa6-a13f-f2ee88d17a9b,tg:mpmak:374_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
7dbc0109-9400-5aa6-a13f-f2ee88d17a9b,tg:mpmak:374_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
70d1c9b5-908a-5dcf-8e46-389c70937186,tg:mpmak:364_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
70d1c9b5-908a-5dcf-8e46-389c70937186,tg:mpmak:364_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
f2c9bdf9-f5f1-5143-b3fa-4024286a1279,tg:mpmak:316_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
f2c9bdf9-f5f1-5143-b3fa-4024286a1279,tg:mpmak:316_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
3b630bd9-b1b4-5851-b403-777b8cf78913,tg:mpmak:306_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
3b630bd9-b1b4-5851-b403-777b8cf78913,tg:mpmak:306_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
400f4e32-734d-5a98-bdbd-e473c1e1838b,tg:mpmak:108_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
400f4e32-734d-5a98-bdbd-e473c1e1838b,tg:mpmak:108_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
18c4a3e8-2707-5693-9b12-e053146e7728,tg:mpmak:118_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,2,folios (leaves),aantal beschreven
18c4a3e8-2707-5693-9b12-e053146e7728,tg:mpmak:118_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,2,folios (leaves),aantal totaal
3b8e935c-a566-5e70-b272-66513e86ad80,tg:mpmak:53_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
3b8e935c-a566-5e70-b272-66513e86ad80,tg:mpmak:53_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
275b3693-75f8-58c2-8561-a99b57cea1e7,tg:mpmak:43_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
275b3693-75f8-58c2-8561-a99b57cea1e7,tg:mpmak:43_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
b10125f1-615e-5828-bcc5-2df0c11aa0b2,tg:mpmak:233_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
b10125f1-615e-5828-bcc5-2df0c11aa0b2,tg:mpmak:233_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
0ef04bfb-d376-5bdf-8593-fe5b547a9d7c,tg:mpmak:223_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,2,folios (leaves),aantal beschreven
0ef04bfb-d376-5bdf-8593-fe5b547a9d7c,tg:mpmak:223_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,2,folios (leaves),aantal totaal
4152b2e1-1228-57b9-810e-c312055660bf,tg:mpmak:155_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
4152b2e1-1228-57b9-810e-c312055660bf,tg:mpmak:155_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
3be0a24b-66b7-5d84-884d-9eca42fbdff1,tg:mpmak:145_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
3be0a24b-66b7-5d84-884d-9eca42fbdff1,tg:mpmak:145_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
05a67dd5-9401-5b16-82bd-5f69ba47fa4f,tg:mpmak:390_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,14,folios (leaves),aantal beschreven
05a67dd5-9401-5b16-82bd-5f69ba47fa4f,tg:mpmak:390_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,14,folios (leaves),aantal totaal
68fe5aeb-854d-5a8f-8036-2b02fa1020d8,tg:mpmak:137_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
68fe5aeb-854d-5a8f-8036-2b02fa1020d8,tg:mpmak:137_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
f7aca78c-8533-503a-aa85-4ddc1ccdbe94,tg:mpmak:127_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
f7aca78c-8533-503a-aa85-4ddc1ccdbe94,tg:mpmak:127_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
3a0d553d-744c-5c6d-989d-b6a751ee2f76,tg:mpmak:251_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
3a0d553d-744c-5c6d-989d-b6a751ee2f76,tg:mpmak:251_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
ecf35748-5370-5832-a75e-de73a1a86e8a,tg:mpmak:329_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
ecf35748-5370-5832-a75e-de73a1a86e8a,tg:mpmak:329_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
1a6b3062-b70c-5cb4-97d4-d2e8aa798a61,tg:mpmak:241_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
1a6b3062-b70c-5cb4-97d4-d2e8aa798a61,tg:mpmak:241_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
962a9a7a-a143-5def-bd44-00c3539ff5c4,tg:mpmak:339_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
962a9a7a-a143-5def-bd44-00c3539ff5c4,tg:mpmak:339_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
89940c61-c2b9-554d-ad10-0e7b03501e01,tg:mpmak:277_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
89940c61-c2b9-554d-ad10-0e7b03501e01,tg:mpmak:277_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
283897f3-2e36-5d94-afff-66f35bc05551,tg:mpmak:267_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
283897f3-2e36-5d94-afff-66f35bc05551,tg:mpmak:267_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
5518afa6-79a4-54a2-b0a6-f82100d78236,tg:mpmak:111_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios (leaves),aantal beschreven
5518afa6-79a4-54a2-b0a6-f82100d78236,tg:mpmak:111_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios (leaves),aantal totaal
