ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier,Record Type
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,AA,0,Museum Plantin-Moretus,tg:mpmak:31,https://data.museumplantinmoretus.be/ark:/11975/b53c42cd-4ff0-5756-8452-1bee8457fa4b,Akten
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,AA,0,Museum Plantin-Moretus,tg:mpmak:21,https://data.museumplantinmoretus.be/ark:/11975/bb17c032-6f60-5f0b-912e-e40b04b34c92,Akten
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,AA,0,Museum Plantin-Moretus,tg:mpmak:88,https://data.museumplantinmoretus.be/ark:/11975/69c52a2b-c539-5ae1-a5e8-43300bc8a62b,Akten
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,AA,0,Museum Plantin-Moretus,tg:mpmak:98,https://data.museumplantinmoretus.be/ark:/11975/15565c71-b2cd-5925-96bd-2d1dc9c6594c,Akten
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,AA,0,Museum Plantin-Moretus,tg:mpmak:374,https://data.museumplantinmoretus.be/ark:/11975/887eb1b7-bfa3-57b9-8b95-1e1326b3f246,Akten
37ac54a3-dbd8-57c5-a087-f9ce10695b74,tg:mpmak:364,AA,0,Museum Plantin-Moretus,tg:mpmak:364,https://data.museumplantinmoretus.be/ark:/11975/37ac54a3-dbd8-57c5-a087-f9ce10695b74,Akten
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,tg:mpmak:316,AA,0,Museum Plantin-Moretus,tg:mpmak:316,https://data.museumplantinmoretus.be/ark:/11975/3f795fa8-cc5d-5283-b74a-0c34a482ecb5,Akten
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,tg:mpmak:306,AA,0,Museum Plantin-Moretus,tg:mpmak:306,https://data.museumplantinmoretus.be/ark:/11975/6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,Akten
b6304530-6a87-5347-9b7d-b19b2c8b3058,tg:mpmak:108,AA,0,Museum Plantin-Moretus,tg:mpmak:108,https://data.museumplantinmoretus.be/ark:/11975/b6304530-6a87-5347-9b7d-b19b2c8b3058,Akten
104e5c79-fa17-5407-9624-7a1a766e5e7a,tg:mpmak:118,AA,0,Museum Plantin-Moretus,tg:mpmak:118,https://data.museumplantinmoretus.be/ark:/11975/104e5c79-fa17-5407-9624-7a1a766e5e7a,Akten
