ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget (nl),Creation Actor Identifier
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,mpm,mpmtk,Iconografie,e73_CreationActors,256eaded-a15e-57cd-83e0-8cf4eba910ee,ar,artists (visual artists),au::16151,au::16151:1,au::16151g:1,ontwerper,"dlod={""suggest"":[""/agents/people/1728157"",""au::16151"",""au::16151:1"",""ark:/83110/x0/256eaded-a15e-57cd-83e0-8cf4eba910ee"",""Peter Paul Rubens""],""name"":""Peter Paul Rubens"",""ark"":""ark:/83110/x0/256eaded-a15e-57cd-83e0-8cf4eba910ee"",""uri"":""/agents/people/1728157"",""id"":""au::16151:1"",""isCapacity"":false}",ark:/83110/x0/256eaded-a15e-57cd-83e0-8cf4eba910ee
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,mpm,mpmtk,Iconografie,e73_CreationActors,fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711,ar,artists (visual artists),au::20701,au::20701:1,au::20701g:1,,"dlod={""suggest"":[""/agents/people/2215007"",""au::20701"",""au::20701:1"",""ark:/83110/x0/fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711"",""Maerten de Vos""],""name"":""Maerten de Vos"",""ark"":""ark:/83110/x0/fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711"",""uri"":""/agents/people/2215007"",""id"":""au::20701:1"",""isCapacity"":false}",ark:/83110/x0/fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,mpm,mpmtk,Iconografie,e73_CreationActors,256eaded-a15e-57cd-83e0-8cf4eba910ee,ar,artists (visual artists),au::16151,au::16151:1,au::16151g:1,,"dlod={""suggest"":[""/agents/people/1728157"",""au::16151"",""au::16151:1"",""ark:/83110/x0/256eaded-a15e-57cd-83e0-8cf4eba910ee"",""Peter Paul Rubens""],""name"":""Peter Paul Rubens"",""ark"":""ark:/83110/x0/256eaded-a15e-57cd-83e0-8cf4eba910ee"",""uri"":""/agents/people/1728157"",""id"":""au::16151:1"",""isCapacity"":false}",ark:/83110/x0/256eaded-a15e-57cd-83e0-8cf4eba910ee
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,mpm,mpmtk,Iconografie,e73_CreationActors,0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,ar,artists (visual artists),au::15342,au::15342:1,au::15342g:1,,"dlod={""suggest"":[""/agents/people/1641594"",""au::15342"",""au::15342:1"",""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""Erasmus II Quellinus""],""name"":""Erasmus II Quellinus"",""ark"":""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""uri"":""/agents/people/1641594"",""id"":""au::15342:1"",""isCapacity"":false}",ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,mpm,mpmtk,Iconografie,e73_CreationActors,4c2593ff-6f39-5958-b785-bfb49d6cc786,ar,artists (visual artists),au::13830,au::13830:1,au::13830g:1,,"dlod={""suggest"":[""/agents/people/1479810"",""au::13830"",""au::13830:1"",""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""Adam van Noort""],""name"":""Adam van Noort"",""ark"":""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""uri"":""/agents/people/1479810"",""id"":""au::13830:1"",""isCapacity"":false}",ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,mpm,mpmtk,Iconografie,e73_CreationActors,4c2593ff-6f39-5958-b785-bfb49d6cc786,ar,artists (visual artists),au::13830,au::13830:1,au::13830g:1,AVN monogram links onderaan,"dlod={""suggest"":[""/agents/people/1479810"",""au::13830"",""au::13830:1"",""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""Adam van Noort""],""name"":""Adam van Noort"",""ark"":""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""uri"":""/agents/people/1479810"",""id"":""au::13830:1"",""isCapacity"":false}",ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,mpm,mpmtk,Iconografie,e73_CreationActors,0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,ar,artists (visual artists),au::15342,au::15342:1,au::15342g:1,,"dlod={""suggest"":[""/agents/people/1641594"",""au::15342"",""au::15342:1"",""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""Erasmus II Quellinus""],""name"":""Erasmus II Quellinus"",""ark"":""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""uri"":""/agents/people/1641594"",""id"":""au::15342:1"",""isCapacity"":false}",ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,mpm,mpmtk,Iconografie,e73_CreationActors,80abb133-7c38-5ef5-aa40-d82d46a3245d,ar,artists (visual artists),au::14164,au::14164:1,au::14164g:1,Vermoedelijke kunstenaar,"dlod={""suggest"":[""/agents/people/1515548"",""au::14164"",""au::14164:1"",""ark:/83110/x0/80abb133-7c38-5ef5-aa40-d82d46a3245d"",""Abraham Ortelius""],""name"":""Abraham Ortelius"",""ark"":""ark:/83110/x0/80abb133-7c38-5ef5-aa40-d82d46a3245d"",""uri"":""/agents/people/1515548"",""id"":""au::14164:1"",""isCapacity"":false}",ark:/83110/x0/80abb133-7c38-5ef5-aa40-d82d46a3245d
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,mpm,mpmtk,Iconografie,e73_CreationActors,01c9e18d-54b1-528b-9c98-c578a4502bf6,ar,artists (visual artists),au::108916,au::108916:1,au::108916g:1,,"dlod={""suggest"":[""/agents/people/11654012"",""au::108916"",""au::108916:1"",""ark:/83110/x0/01c9e18d-54b1-528b-9c98-c578a4502bf6"",""Jan Christoffel Jegher""],""name"":""Jan Christoffel Jegher"",""ark"":""ark:/83110/x0/01c9e18d-54b1-528b-9c98-c578a4502bf6"",""uri"":""/agents/people/11654012"",""id"":""au::108916:1"",""isCapacity"":false}",ark:/83110/x0/01c9e18d-54b1-528b-9c98-c578a4502bf6
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,mpm,mpmtk,Iconografie,e73_CreationActors,0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,ar,artists (visual artists),au::15342,au::15342:1,au::15342g:1,,"dlod={""suggest"":[""/agents/people/1641594"",""au::15342"",""au::15342:1"",""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""Erasmus II Quellinus""],""name"":""Erasmus II Quellinus"",""ark"":""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""uri"":""/agents/people/1641594"",""id"":""au::15342:1"",""isCapacity"":false}",ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0
