ResourceID,brocade.id,card,order,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,e73_ExternalRelations,1,gerelateerde publicatie,titelpagina vol. 2-4,Nederlands,remarks,c:lvd:389068,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_ExternalRelations,1,gerelateerde publicatie,p. 266-268,Nederlands,remarks,c:lvd:3150577,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:268004,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:495262,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,e73_ExternalRelations,1,gerelateerde publicatie,p. 170,Nederlands,remarks,c:lvd:839899,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,e73_ExternalRelations,1,gerelateerde publicatie,p. 24,Nederlands,remarks,c:lvd:839899,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:371295,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,e73_ExternalRelations,1,gerelateerde publicatie,TEK 596/6 - Cat. 179/6,Nederlands,remarks,c:lvd:6157678,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_ExternalRelations,1,gerelateerde publicatie,,,,c:lvd:13136549,https://anet.be/record/opacanet/,Publicaties in de Anet catalogus
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:517673,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_ExternalRelations,1,gerelateerde publicatie,"nr. 73a, p. 303-305",Nederlands,remarks,c:lvd:239025,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,e73_ExternalRelations,1,gerelateerde publicatie,"nr. 73a, p. 270-271",Nederlands,remarks,c:lvd:239025,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,e73_ExternalRelations,2,ontwerp voor,,,,c:lvd:494695,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,tg:mpmtk:37,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:517673,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,1,gerelateerde publicatie,TEK 591 / Cat. 151,Nederlands,remarks,c:lvd:6157678,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,2,gerelateerde publicatie,GVd 25,Nederlands,remarks,c:lvd:1276,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,3,gerelateerde publicatie,nr. 95,Nederlands,remarks,c:lvd:1096796,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,4,online catalogs,,,,207765,https://search.museumplantinmoretus.be/,Link naar record in search.museumplantinmoretus.be
f9f1deb6-85f5-53d9-b775-253f66648d52,tg:mpmtk:35,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:641973,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_ExternalRelations,1,gerelateerde publicatie,p. 346,Nederlands,remarks,c:lvd:839899,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_ExternalRelations,1,ontwerp voor,,,,c:lvd:632549,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus
