ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier
bfe48296-c4a6-58f7-af03-286feaa9ed31,tg:mpmtk:31_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:31_#1,https://data.museumplantinmoretus.be/ark:/11975/bfe48296-c4a6-58f7-af03-286feaa9ed31
cd351e07-50be-5522-b7a2-e07a00587c9d,tg:mpmtk:21_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:21_#1,https://data.museumplantinmoretus.be/ark:/11975/cd351e07-50be-5522-b7a2-e07a00587c9d
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:28_#1,https://data.museumplantinmoretus.be/ark:/11975/5bab3548-b070-576a-a984-24465d558e3a
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:39_#1,https://data.museumplantinmoretus.be/ark:/11975/e81669e6-53d4-5085-9633-335775557e15
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:29_#1,https://data.museumplantinmoretus.be/ark:/11975/71c29626-cc06-5877-8867-f3a93b17dd9f
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:32_#1,https://data.museumplantinmoretus.be/ark:/11975/499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:22_#1,https://data.museumplantinmoretus.be/ark:/11975/0d8b93fa-fe92-5008-a567-164e0385914b
f035fc19-9010-52c0-9131-0d35856aa2bd,tg:mpmtk:23_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:23_#1,https://data.museumplantinmoretus.be/ark:/11975/f035fc19-9010-52c0-9131-0d35856aa2bd
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:33_#1,https://data.museumplantinmoretus.be/ark:/11975/29f3ce22-a988-5b01-a9dd-b7fcd935cb9b
76f134ef-a5a9-5370-bb23-79ec548601e7,tg:mpmtk:15_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:15_#1,https://data.museumplantinmoretus.be/ark:/11975/76f134ef-a5a9-5370-bb23-79ec548601e7
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:19_#1,https://data.museumplantinmoretus.be/ark:/11975/4da61ed6-63a1-5d83-bea9-45f5dca96b0b
8728bea8-6a2c-5026-94f0-c46e37d67921,tg:mpmtk:36_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:36_#1,https://data.museumplantinmoretus.be/ark:/11975/8728bea8-6a2c-5026-94f0-c46e37d67921
8fab448e-5bb1-5697-bcc5-dd5235f9ffd8,tg:mpmtk:26_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:26_#1,https://data.museumplantinmoretus.be/ark:/11975/8fab448e-5bb1-5697-bcc5-dd5235f9ffd8
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:27_#1,https://data.museumplantinmoretus.be/ark:/11975/5ce72c6f-ee27-57e7-9692-959c34f60bcb
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:37_#1,https://data.museumplantinmoretus.be/ark:/11975/2b787120-27fe-5e35-8e20-c8423eb83c0c
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:11_#1,https://data.museumplantinmoretus.be/ark:/11975/d1e34e67-207a-52e4-97d1-3dec92f7b7d2
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:35_#1,https://data.museumplantinmoretus.be/ark:/11975/339485b6-089d-5448-8363-32ed32b78487
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:24_#1,https://data.museumplantinmoretus.be/ark:/11975/f7b959e3-1609-5a91-8d2f-57b2f02f87bb
8e9ab46a-1948-5000-b52e-1e56003b44bc,tg:mpmtk:34_#1,AA,0,Museum Plantin-Moretus,tg:mpmtk:34_#1,https://data.museumplantinmoretus.be/ark:/11975/8e9ab46a-1948-5000-b52e-1e56003b44bc
