ResourceID,brocade.id,card,order,Mark Text,Mark Type,Mark Language
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Marks,1,"<p>Lotharius II Lotharingiae Rex</p>
",inscriptions,Nederlands
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Marks,2,"<p>int cleijn boelerende wesende ionck ende wulps</p>
",inscriptions,Nederlands
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Marks,1,"<p>Ara, Patera et Simpulum Pietatem / Religionem et Sacra indicent / Lira et Hederacea Corona Poesim</p>
",inscriptions,Nederlands
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_Marks,1,"<p>Ludovicus et Carlomannus Lothar. Reges/ XIII. Brabantiae Principes</p>
",inscriptions,Nederlands
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_Marks,1,"<p>Le Siege / de la Ville / de Dole / Capitale / de la Franche-Comte / et / son heurese [sic] delvrance [sic] / Discrits [het woord &quot;Racontes&quot; geschrapt] par M. I.</p>
",inscriptions,Nederlands
0d8b93fa-fe92-5008-a567-164e0385914b,tg:mpmtk:22_#1,e22_Marks,1,"<p>AVN&quot; monogram beneden links</p>
",signatures (names),Nederlands
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_Marks,1,"<p>In lit. R. nae der ordenienge van mijn / lijste ofte catalogus, an mijn heer / Balthasar Moretus, voor / 14 dagen naer Antwerpen / ghesonden. / Anno 1646. 19/29 Septem.</p>
",inscriptions,Nederlands
8728bea8-6a2c-5026-94f0-c46e37d67921,tg:mpmtk:36_#1,e22_Marks,1,"<p>Erasmus Quellinius delin.</p>
",signatures (names),Nederlands
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Marks,1,"<p>Nota quod Musa / habeat Pennam / in capite qua / differt ab Apolline</p>
",inscriptions,Nederlands
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Marks,2,"<p>Habes hic Musam sive Poesim cum Minerva seu Virtute / forma Hermatenis coniunctam nam musam pro Mercurio / apposui quod pluribus exemplis licet, nescio an tibi meum commentum / placebit ego certo mihi hoc invento valde placeo / ne dicam gratulor</p>
",inscriptions,Nederlands
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Marks,1,"<p>E. Quellinius inventor</p>
",signatures (names),Nederlands
