ResourceID,brocade.id,card,order,Keeper,Object Number (nl),Object Identifier,Record Type
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,AA,0,Museum Plantin-Moretus,tg:mpmtk:31,https://data.museumplantinmoretus.be/ark:/11975/92b6bc82-97d3-511b-b41e-09c0ea48083e,Tekeningen
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,AA,0,Museum Plantin-Moretus,tg:mpmtk:21,https://data.museumplantinmoretus.be/ark:/11975/e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,Tekeningen
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,AA,0,Museum Plantin-Moretus,tg:mpmtk:28,https://data.museumplantinmoretus.be/ark:/11975/5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,Tekeningen
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,AA,0,Museum Plantin-Moretus,tg:mpmtk:39,https://data.museumplantinmoretus.be/ark:/11975/8386be2c-d073-50f9-b5c8-923ae1460715,Tekeningen
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,AA,0,Museum Plantin-Moretus,tg:mpmtk:29,https://data.museumplantinmoretus.be/ark:/11975/6e00a7bd-8a35-5967-8fa7-543a30c85074,Tekeningen
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,AA,0,Museum Plantin-Moretus,tg:mpmtk:32,https://data.museumplantinmoretus.be/ark:/11975/00d08c3f-d02d-5604-bcb4-b1036cf771a6,Tekeningen
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,AA,0,Museum Plantin-Moretus,tg:mpmtk:22,https://data.museumplantinmoretus.be/ark:/11975/ac9d2a5c-033f-511c-a651-d32fc8b9cb89,Tekeningen
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,AA,0,Museum Plantin-Moretus,tg:mpmtk:23,https://data.museumplantinmoretus.be/ark:/11975/b352a12a-d714-52f2-894d-3f3bd5481d42,Tekeningen
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,AA,0,Museum Plantin-Moretus,tg:mpmtk:33,https://data.museumplantinmoretus.be/ark:/11975/b7844246-831e-5339-bb8e-494ce76fca52,Tekeningen
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,AA,0,Museum Plantin-Moretus,tg:mpmtk:15,https://data.museumplantinmoretus.be/ark:/11975/c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,Tekeningen
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,AA,0,Museum Plantin-Moretus,tg:mpmtk:19,https://data.museumplantinmoretus.be/ark:/11975/f2a88090-8fa8-59c3-a946-6065c95ecdcb,Tekeningen
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,AA,0,Museum Plantin-Moretus,tg:mpmtk:36,https://data.museumplantinmoretus.be/ark:/11975/7179bdd9-690d-53ab-a1bf-99848c8138b2,Tekeningen
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,AA,0,Museum Plantin-Moretus,tg:mpmtk:26,https://data.museumplantinmoretus.be/ark:/11975/ad8839e6-3553-5f26-9c38-c52a8ec05cb8,Tekeningen
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,AA,0,Museum Plantin-Moretus,tg:mpmtk:27,https://data.museumplantinmoretus.be/ark:/11975/7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,Tekeningen
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,tg:mpmtk:37,AA,0,Museum Plantin-Moretus,tg:mpmtk:37,https://data.museumplantinmoretus.be/ark:/11975/74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,Tekeningen
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,AA,0,Museum Plantin-Moretus,tg:mpmtk:11,https://data.museumplantinmoretus.be/ark:/11975/3d7a61cb-2404-5110-ae89-8b5ff60be96b,Tekeningen
f9f1deb6-85f5-53d9-b775-253f66648d52,tg:mpmtk:35,AA,0,Museum Plantin-Moretus,tg:mpmtk:35,https://data.museumplantinmoretus.be/ark:/11975/f9f1deb6-85f5-53d9-b775-253f66648d52,Tekeningen
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,AA,0,Museum Plantin-Moretus,tg:mpmtk:24,https://data.museumplantinmoretus.be/ark:/11975/251d4f80-80c8-5190-a8e5-e63866de74cd,Tekeningen
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,AA,0,Museum Plantin-Moretus,tg:mpmtk:34,https://data.museumplantinmoretus.be/ark:/11975/5355e3fa-7908-52d1-9652-e164ac0c8c43,Tekeningen
