ResourceID,card,order,source_field,Legacy Information Value (nl),Legacy Information Type,Legacy Information Published
92b6bc82-97d3-511b-b41e-09c0ea48083e,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000014,referentienummer,False
92b6bc82-97d3-511b-b41e-09c0ea48083e,e73_LegacyInformation,1,brocade.id,tg:mpmtk:31,brocade id,False
92b6bc82-97d3-511b-b41e-09c0ea48083e,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:31/N,brocade url,False
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000007,referentienummer,False
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,e73_LegacyInformation,1,brocade.id,tg:mpmtk:21,brocade id,False
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:21/N,brocade url,False
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000012,referentienummer,False
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,e73_LegacyInformation,1,brocade.id,tg:mpmtk:28,brocade id,False
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:28/N,brocade url,False
8386be2c-d073-50f9-b5c8-923ae1460715,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000022,referentienummer,False
8386be2c-d073-50f9-b5c8-923ae1460715,e73_LegacyInformation,1,brocade.id,tg:mpmtk:39,brocade id,False
8386be2c-d073-50f9-b5c8-923ae1460715,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:39/N,brocade url,False
6e00a7bd-8a35-5967-8fa7-543a30c85074,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000013,referentienummer,False
6e00a7bd-8a35-5967-8fa7-543a30c85074,e73_LegacyInformation,1,brocade.id,tg:mpmtk:29,brocade id,False
6e00a7bd-8a35-5967-8fa7-543a30c85074,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:29/N,brocade url,False
00d08c3f-d02d-5604-bcb4-b1036cf771a6,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000015,referentienummer,False
00d08c3f-d02d-5604-bcb4-b1036cf771a6,e73_LegacyInformation,1,brocade.id,tg:mpmtk:32,brocade id,False
00d08c3f-d02d-5604-bcb4-b1036cf771a6,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:32/N,brocade url,False
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/386,referentienummer,False
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,e73_LegacyInformation,1,brocade.id,tg:mpmtk:22,brocade id,False
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:22/N,brocade url,False
b352a12a-d714-52f2-894d-3f3bd5481d42,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000008,referentienummer,False
b352a12a-d714-52f2-894d-3f3bd5481d42,e73_LegacyInformation,1,brocade.id,tg:mpmtk:23,brocade id,False
b352a12a-d714-52f2-894d-3f3bd5481d42,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:23/N,brocade url,False
b7844246-831e-5339-bb8e-494ce76fca52,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000016,referentienummer,False
