ResourceID,mmb_id,card,source_field,source_date,Copyright Type,Copyright Revision Date
d09b5e79-9464-5a3e-acbf-43a8e3dff970,tg:mmbtk:2,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
aa39b248-07e0-5ff3-b68a-bce898d9475e,tg:mmbtk:3,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
31974045-851a-52a1-934b-2abd151aa9f7,tg:mmbtk:4,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
76c0675a-64c4-5e73-a725-a520c17d8941,tg:mmbtk:5,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
64f22bc5-5102-5d31-a7dd-7257e09498d1,tg:mmbtk:6,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
1d2b7bbf-1b65-5d19-8cff-321195d587de,tg:mmbtk:7,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
b9f42507-3e99-5e3d-8e72-ac739a7d61ff,tg:mmbtk:8,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,tg:mmbtk:9,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
6bf3f579-da04-53db-8326-2c7f3823d0e3,tg:mmbtk:10,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
a794ea41-d1b8-5afc-9c3a-6d4f93481aa9,tg:mmbtk:11,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,tg:mmbtk:12,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
c7ea80a7-8b45-578a-8d11-2a001103ea38,tg:mmbtk:13,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
8385935b-a2e4-5df2-80e8-755ba80a4032,tg:mmbtk:14,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
dad02000-1591-5282-9693-240b3a52ca34,tg:mmbtk:15,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
0e6625ef-48ba-56ad-9380-98181c7cbf25,tg:mmbtk:16,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
36eba54e-750e-5a42-9b05-fc2c81a34c4e,tg:mmbtk:17,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
231cd7d5-7048-5452-b4ec-77986a0e1a9a,tg:mmbtk:18,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
a98ff5c9-79a5-543a-aa2a-2e68f7d83cc9,tg:mmbtk:19,e73_Copyrights,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965
56bae6e2-59b1-5775-8fcb-931044b4d3c8,tg:mmbtk:1,e73_Copyrights,begindatum,nan,Copyright Undetermined,nan
