ResourceID,mmb_id_mat,card,source_field,source_date,Restriction Type
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_UsageRestrictions,begindatum,1850,open
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_UsageRestrictions,begindatum,1850,open
e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,tg:mmbtk:4_#1,e22_UsageRestrictions,begindatum,1850,open
c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,tg:mmbtk:5_#1,e22_UsageRestrictions,begindatum,1850,open
bdebbf22-8cba-53d8-b061-91b121132463,tg:mmbtk:6_#1,e22_UsageRestrictions,begindatum,1850,open
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_UsageRestrictions,begindatum,1850,open
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_UsageRestrictions,begindatum,1850,open
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_UsageRestrictions,begindatum,1850,open
cac4f6aa-9ae5-5293-a319-4056ac10e320,tg:mmbtk:10_#1,e22_UsageRestrictions,begindatum,1850,open
d1e773b7-7faa-5684-952b-d256d4026e22,tg:mmbtk:11_#1,e22_UsageRestrictions,begindatum,1850,open
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_UsageRestrictions,begindatum,1850,open
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_UsageRestrictions,begindatum,1850,open
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_UsageRestrictions,begindatum,1850,open
e4e0060b-ec49-5908-8fcd-da70137aec17,tg:mmbtk:15_#1,e22_UsageRestrictions,begindatum,1850,open
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_UsageRestrictions,begindatum,1850,open
fafa34f9-fa2f-5a23-97fa-90308d228031,tg:mmbtk:17_#1,e22_UsageRestrictions,begindatum,1850,open
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_UsageRestrictions,begindatum,1850,open
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_UsageRestrictions,begindatum,1850,open
aa901457-d319-5707-82f0-6d6664aae111,tg:mmbtk:1_#1,e22_UsageRestrictions,begindatum,nan,permission required
