ResourceID,mmb_id_mat,card,order,Image URL,Image Manifest,Image Manifest Type,Image URL Type
aa901457-d319-5707-82f0-6d6664aae111,tg:mmbtk:1_#1,e22_Images,1,https://dams.antwerpen.be/asset/B2PIbHsZ6MsE8Ph7OTAOqrZe,https://dams.antwerpen.be/iiif/B2PIbHsZ6MsE8Ph7OTAOqrZe/manifest,DAMS Manifest,DAMS Image
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_Images,1,https://dams.antwerpen.be/asset/z2qUZWhjBRHOOXXP4ZkrS3C9,https://dams.antwerpen.be/iiif/z2qUZWhjBRHOOXXP4ZkrS3C9/manifest,DAMS Manifest,DAMS Image
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_Images,1,https://dams.antwerpen.be/asset/sNZREXPPJXHTZccfToSs5Dd8,https://dams.antwerpen.be/iiif/sNZREXPPJXHTZccfToSs5Dd8/manifest,DAMS Manifest,DAMS Image
e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,tg:mmbtk:4_#1,e22_Images,1,https://dams.antwerpen.be/asset/Z2RcVPBEOmhiZbBCVSsgkptJ,https://dams.antwerpen.be/iiif/Z2RcVPBEOmhiZbBCVSsgkptJ/manifest,DAMS Manifest,DAMS Image
c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,tg:mmbtk:5_#1,e22_Images,1,https://dams.antwerpen.be/asset/tZhKQHXIWVWRI9ImlHuj6HhR,https://dams.antwerpen.be/iiif/tZhKQHXIWVWRI9ImlHuj6HhR/manifest,DAMS Manifest,DAMS Image
bdebbf22-8cba-53d8-b061-91b121132463,tg:mmbtk:6_#1,e22_Images,1,https://dams.antwerpen.be/asset/U2RdHbxnxvTvSVhbWcSdoB6h,https://dams.antwerpen.be/iiif/U2RdHbxnxvTvSVhbWcSdoB6h/manifest,DAMS Manifest,DAMS Image
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_Images,1,https://dams.antwerpen.be/asset/F1jTDLWqGZXldchSWJpCHSn3,https://dams.antwerpen.be/iiif/F1jTDLWqGZXldchSWJpCHSn3/manifest,DAMS Manifest,DAMS Image
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_Images,1,https://dams.antwerpen.be/asset/lPIFQRb67KChKlqIhebpESCQ,https://dams.antwerpen.be/iiif/lPIFQRb67KChKlqIhebpESCQ/manifest,DAMS Manifest,DAMS Image
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_Images,1,https://dams.antwerpen.be/asset/M1BcUbrY9XPRU8QgSUmcP51V,https://dams.antwerpen.be/iiif/M1BcUbrY9XPRU8QgSUmcP51V/manifest,DAMS Manifest,DAMS Image
cac4f6aa-9ae5-5293-a319-4056ac10e320,tg:mmbtk:10_#1,e22_Images,1,https://dams.antwerpen.be/asset/AlYiUUclEMf6JoOrozlJLCpm,https://dams.antwerpen.be/iiif/AlYiUUclEMf6JoOrozlJLCpm/manifest,DAMS Manifest,DAMS Image
