ResourceID,card,order,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Record Type,Description Type,Description Language,Description
56bae6e2-59b1-5775-8fcb-931044b4d3c8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/56bae6e2-59b1-5775-8fcb-931044b4d3c8,object identifier,tg:mmbtk:1,record identifiers,MMB.A.1618,constructed titles,Kruis van de orde van Malta,Tekeningen,,,
d09b5e79-9464-5a3e-acbf-43a8e3dff970,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d09b5e79-9464-5a3e-acbf-43a8e3dff970,object identifier,tg:mmbtk:2,record identifiers,MMB.A.2501,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Racines (Planche I)
aa39b248-07e0-5ff3-b68a-bce898d9475e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/aa39b248-07e0-5ff3-b68a-bce898d9475e,object identifier,tg:mmbtk:3,record identifiers,MMB.A.2502,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Tiges (Planche II)
31974045-851a-52a1-934b-2abd151aa9f7,AA,0,https://data.museummayervandenbergh.be/ark:/59511/31974045-851a-52a1-934b-2abd151aa9f7,object identifier,tg:mmbtk:4,record identifiers,MMB.A.2503,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Feuilles (Planche III)
76c0675a-64c4-5e73-a725-a520c17d8941,AA,0,https://data.museummayervandenbergh.be/ark:/59511/76c0675a-64c4-5e73-a725-a520c17d8941,object identifier,tg:mmbtk:5,record identifiers,MMB.A.2504,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Fleurs (Planche IV)
64f22bc5-5102-5d31-a7dd-7257e09498d1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/64f22bc5-5102-5d31-a7dd-7257e09498d1,object identifier,tg:mmbtk:6,record identifiers,MMB.A.2505,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Organographie - Fruits et Graines (Planche V)
1d2b7bbf-1b65-5d19-8cff-321195d587de,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1d2b7bbf-1b65-5d19-8cff-321195d587de,object identifier,tg:mmbtk:7,record identifiers,MMB.A.2506,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Acotyledones - Amphigames et Gryptogames  (Planche VI)
b9f42507-3e99-5e3d-8e72-ac739a7d61ff,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b9f42507-3e99-5e3d-8e72-ac739a7d61ff,object identifier,tg:mmbtk:8,record identifiers,MMB.A.2507,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monohypogynie (Planche VII)
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2498657f-a53d-5a72-b2fe-c8b6b918a6d1,object identifier,tg:mmbtk:9,record identifiers,MMB.A.2508,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monoperigynie (Planche VIII)
6bf3f579-da04-53db-8326-2c7f3823d0e3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6bf3f579-da04-53db-8326-2c7f3823d0e3,object identifier,tg:mmbtk:10,record identifiers,MMB.A.2509,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monoepyginie (Planche IX)
